UndefinedColor,Blue,Red,Green,ns since start,ns since issuance
0,0,0,0,81290000,0
0,0,0,0,178661000,0
0,0,0,0,279213600,0
0,0,0,0,378836100,0
0,0,0,0,478862800,0
0,0,0,0,580116300,0
0,0,0,0,678695800,0
0,0,0,0,778889800,0
0,0,0,0,878532200,0
0,0,0,0,986511100,0
0,0,0,0,1081845000,0
0,0,0,0,1210181600,0
0,0,0,0,1294217200,0
0,0,0,0,1413345200,0
0,0,0,0,1482867400,0
0,0,0,0,1611245900,0
0,0,0,0,1678716100,0
0,0,0,0,1791440100,0
0,0,0,0,1882308200,0
0,0,0,0,2061583800,0
0,0,0,0,2179330900,0
0,0,0,0,2245024100,0
0,0,0,0,2379634800,0
0,0,0,0,2565198400,0
0,0,0,0,3012190300,0
0,0,0,0,3127286700,0
0,0,0,0,3263416300,0
0,0,0,0,3530229500,0
0,0,0,0,3666349600,0
0,0,0,0,3695914000,0
0,0,0,0,3828961900,0
0,0,0,0,3977516800,0
0,0,0,0,4323904700,0
0,0,0,0,4386476200,0
0,0,0,0,4798649200,0
0,0,0,0,4879079600,0
0,0,0,0,5035943700,0
0,0,0,0,5112528300,0
0,0,0,0,5211110000,0
0,0,0,0,5408649000,0
0,0,0,0,5422478800,0
0,0,0,0,5508289500,0
0,0,0,0,5630341500,0
0,0,0,0,5836763500,0
0,0,0,0,5887062000,0
0,0,0,0,5983325000,0
0,0,0,0,6113366900,0
0,0,0,0,6709866000,0
0,0,0,0,6748426100,0
0,0,0,0,6814315200,0
0,0,0,0,6922745100,0
0,0,0,0,6979124300,0
0,0,0,0,7182352300,0
0,0,0,0,7284441800,0
0,0,0,0,7388682100,0
0,0,0,0,7561221600,0
0,0,0,0,7744262500,0
0,0,0,0,7834225100,0
0,0,0,0,7879092000,0
0,0,0,0,7978604800,0
0,0,0,0,8078947900,0
0,0,0,0,8191124600,0
0,0,0,0,8306045200,0
0,0,0,0,8379229500,0
0,0,0,0,8497371500,0
0,0,0,0,8678008900,0
0,0,0,0,8692306300,0
0,0,0,0,8814085300,0
0,0,0,0,8909852600,0
0,0,0,0,9068162000,0
0,0,0,0,9092595200,0
0,0,0,0,9206302700,0
0,0,0,0,9297626700,0
0,0,0,0,9394385500,0
0,0,0,0,9574864600,0
0,0,0,0,9613835800,0
0,0,0,0,9686991000,0
0,0,0,0,9811910900,0
0,0,0,0,9952595800,0
0,0,0,0,10130919200,0
0,0,0,0,10198148500,0
0,0,0,0,10298733600,0
0,0,0,0,10456659300,0
0,0,0,0,10507558800,0
0,0,0,0,10599687900,0
0,0,0,0,10678531200,0
0,0,0,0,10782062200,0
0,0,0,0,10940674400,0
0,0,0,0,11000048700,0
0,0,0,0,11090413600,0
0,0,0,0,11195076000,0
0,0,0,0,11287465200,0
0,0,0,0,11444702600,0
0,0,0,0,11494016700,0
0,0,0,0,11582909300,0
0,0,0,0,11764998000,0
0,0,0,0,11836129100,0
0,0,0,0,12001939700,0
0,0,0,0,12262997900,0
0,0,0,0,12323322700,0
0,0,0,0,12381517700,0
0,0,0,0,12995504500,0
0,0,0,0,13120134500,0
0,0,0,0,13199538900,0
0,0,0,0,13278860700,0
0,0,0,0,13398898800,0
0,0,0,0,13492896900,0
0,0,0,0,13589655700,0
0,0,0,0,13766824300,0
0,0,0,0,13807524000,0
0,0,0,0,13971866600,0
0,0,0,0,13995496200,0
0,0,0,0,14149634800,0
0,0,0,0,14315271300,0
0,0,0,0,14424851300,0
0,0,0,0,14478724800,0
0,0,0,0,14610412800,0
0,0,0,0,14678808100,0
0,0,0,0,14848988000,0
0,0,0,0,14978455900,0
0,0,0,0,14981705400,0
0,0,0,0,15081819200,0
0,0,0,0,15187046200,0
0,0,0,0,15359496200,0
0,0,0,0,15425853000,0
0,0,0,0,15623067700,0
0,0,0,0,15758697600,0
0,0,0,0,15813549400,0
0,0,0,0,15916393600,0
0,0,0,0,16062550300,0
