Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685801640,444554100,0,1,22,737212900
3,1685801640,438108300,1,2,24,800027500
5,1685801640,354771200,3,3,26,804402600
12,1685801640,302049000,5,4,39,961624100
17,1685801640,281840800,12,5,40,961787900
2,1685801640,997857400,0,6,66,1351188600
7,1685801640,869689900,2,7,66,1351272800
22,1685801641,730446300,17,8,80,1467500700
24,1685801641,673563200,22,9,80,1473416600
31,1685801641,606152700,24,10,81,1483168900
9,1685801640,1054921600,7,11,87,1546405200
39,1685801641,625357000,31,12,90,1586872700
18,1685801640,912323700,5,13,91,1594673000
15,1685801640,983437500,9,14,98,1660455300
40,1685801641,699063600,39,15,98,1660733200
25,1685801641,863634900,15,16,99,1666679000
26,1685801641,870209000,25,17,99,1673514000
11,1685801640,1042430900,3,18,102,1700624900
29,1685801641,968529800,26,19,106,1787811400
19,1685801640,1219520600,11,20,118,1926337100
35,1685801641,995951900,19,21,120,1946898800
21,1685801640,1339134400,1,22,129,2063994400
44,1685801641,1049443100,29,23,130,2093546900
80,1685801641,672564400,40,24,137,2139953400
94,1685801641,529877100,80,25,139,2150340800
107,1685801642,455237500,94,26,146,2243290800
63,1685801641,903484800,35,27,146,2243470900
13,1685801640,1597664200,1,28,147,2257417800
41,1685801641,1302118500,18,29,147,2266440600
37,1685801641,1324956000,21,30,151,2284825500
56,1685801641,1065855200,40,31,155,2327356800
114,1685801642,464858400,107,32,157,2338435300
121,1685801642,385629600,114,33,159,2347532200
42,1685801641,1396962500,37,34,160,2365199600
14,1685801640,1712164800,3,35,160,2379171500
27,1685801641,1591814500,5,36,160,2410016500
66,1685801641,1198608400,41,37,172,2548106300
46,1685801641,1450592000,13,38,172,2548393300
53,1685801641,1291162200,46,39,172,2548461700
137,1685801642,408810400,121,40,173,2548624200
139,1685801642,398384300,137,41,174,2548715500
146,1685801642,305680900,139,42,175,2548871300
157,1685801642,210768600,146,43,176,2549097000
88,1685801641,1002401800,56,44,176,2549205400
34,1685801641,1831493200,5,45,198,2780018000
