Witness Weight,Time (ns)
0,2248645100
2,8877095100
5,8877631500
9,10546244100
14,10546459200
20,10546593900
27,10546724000
35,12425200000
44,12428489200
54,12428757500
65,12769322500
77,12842028700
90,12842204800
104,12932927900
119,12933610600
135,19844713800
152,20617581300
170,21390811100
189,21391010800
209,21393189400
230,21395534800
252,23509748900
275,23509991300
299,28816416900
324,28816656400
350,28816894300
377,28817095300
405,28818040700
434,36690755400
464,36691122700
495,36902752600
527,38042825200
560,38045465800
594,38045560100
629,38046241400
665,38046448500
702,42721917900
740,42722156900
779,54825376000
819,54825705600
860,54825913500
902,54828426600
