UndefinedColor,Blue,Red,Green,ns since start,ns since issuance
0,0,0,0,203655600,0
0,0,0,0,219993800,0
0,0,0,0,318895200,0
0,0,0,0,418376700,0
0,0,0,0,517611100,0
0,0,0,0,617703900,0
0,0,0,0,795225500,0
0,0,0,0,955237000,0
0,0,0,0,1014606700,0
0,0,0,0,1087669000,0
0,0,0,0,1161204500,0
0,0,0,0,1222951300,0
0,0,0,0,1324558900,0
0,0,0,0,1428724500,0
0,0,0,0,1828793500,0
0,0,0,0,1954001300,0
0,0,0,0,2288923700,0
0,0,0,0,2342284100,0
0,0,0,0,2664516800,0
0,0,0,0,2727311000,0
0,0,0,0,2908728300,0
0,0,0,0,3401126300,0
0,0,0,0,3701096100,0
0,0,0,0,3794392700,0
0,0,0,0,4210173600,0
0,0,0,0,5053922200,0
0,0,0,0,5286226800,0
0,0,0,0,6205139500,0
0,0,0,0,7281722600,0
0,0,0,0,7335923100,0
0,0,0,0,7431278300,0
0,0,0,0,7520188200,0
0,0,0,0,7845222600,0
0,0,0,0,7898384600,0
0,0,0,0,7918423600,0
0,0,0,0,8020637700,0
0,0,0,0,9965369800,0
0,0,0,0,10049984700,0
0,0,0,0,10121085300,0
0,0,0,0,10243569000,0
0,0,0,0,11581550900,0
0,0,0,0,11884084200,0
0,0,0,0,11933958400,0
0,0,0,0,12086834800,0
0,0,0,0,12346747900,0
0,0,0,0,12849025900,0
0,0,0,0,13079488600,0
0,0,0,0,13535139900,0
0,0,0,0,13633553300,0
0,0,0,0,13883807100,0
0,0,0,0,13945386700,0
0,0,0,0,14167662600,0
0,0,0,0,14591441500,0
0,0,0,0,15056130000,0
0,0,0,0,15119171800,0
0,0,0,0,15223139600,0
0,0,0,0,16592670400,0
0,0,0,0,17301171900,0
0,0,0,0,17385104900,0
0,0,0,0,17537066500,0
0,0,0,0,17693887000,0
0,0,0,0,18531578200,0
0,0,0,0,19132267600,0
0,0,0,0,20808150300,0
0,0,0,0,21237715200,0
0,0,0,0,21317747800,0
0,0,0,0,21434252000,0
0,0,0,0,21520272300,0
0,0,0,0,21907604500,0
0,0,0,0,21933260700,0
0,0,0,0,22286753800,0
0,0,0,0,25726438300,0
0,0,0,0,26189867400,0
0,0,0,0,26644416400,0
0,0,0,0,28509017200,0
0,0,0,0,30477694000,0
0,0,0,0,31108917800,0
0,0,0,0,31169456400,0
0,0,0,0,32189528200,0
0,0,0,0,32237893100,0
0,0,0,0,32367573000,0
0,0,0,0,32421168000,0
0,0,0,0,32630724500,0
0,0,0,0,33357115500,0
0,0,0,0,33364519600,0
0,0,0,0,33882681100,0
0,0,0,0,33926781000,0
0,0,0,0,34407657500,0
0,0,0,0,34541065300,0
0,0,0,0,35041063900,0
0,0,0,0,35358545700,0
0,0,0,0,35448737600,0
0,0,0,0,35600531300,0
0,0,0,0,35673359000,0
0,0,0,0,36001636400,0
0,0,0,0,37185621700,0
0,0,0,0,37317551500,0
0,0,0,0,37451218300,0
0,0,0,0,37956904900,0
0,0,0,0,38144338700,0
0,0,0,0,38366365600,0
0,0,0,0,38637509500,0
0,0,0,0,39172984800,0
0,0,0,0,39220233600,0
0,0,0,0,39415395400,0
0,0,0,0,39646708900,0
0,0,0,0,39964370900,0
0,0,0,0,40342716300,0
0,0,0,0,40356715200,0
0,0,0,0,41133587700,0
0,0,0,0,41244606200,0
0,0,0,0,41322581900,0
0,0,0,0,41461245300,0
0,0,0,0,42598392900,0
0,0,0,0,43567251700,0
0,0,0,0,43736440200,0
0,0,0,0,44208366400,0
0,0,0,0,45389856000,0
0,0,0,0,45396957000,0
0,0,0,0,45482975300,0
0,0,0,0,45933776700,0
0,0,0,0,47018120800,0
0,0,0,0,47027853000,0
0,0,0,0,48204569800,0
0,0,0,0,49755587100,0
0,0,0,0,50523519200,0
0,0,0,0,50621558400,0
0,0,0,0,50731664200,0
0,0,0,0,51447531800,0
0,0,0,0,51583849100,0
0,0,0,0,51686981300,0
0,0,0,0,52331019000,0
0,0,0,0,53237061700,0
0,0,0,0,53337871100,0
0,0,0,0,53908145400,0
0,0,0,0,53981632900,0
0,0,0,0,54341363400,0
0,0,0,0,54663459700,0
0,0,0,0,54756323900,0
0,0,0,0,54897399400,0
0,0,0,0,57118399600,0
0,0,0,0,57195146500,0
0,0,0,0,57276234000,0
0,0,0,0,58818530800,0
0,0,0,0,58975299500,0
0,0,0,0,60261788800,0
