Witness Weight,Time (ns)
0,466216500
2,2342898300
5,2344336700
8,3995690900
12,7800545000
16,7801513900
21,7849432000
26,8008994300
32,9194111800
39,12063929600
45,16815017700
52,17273522400
60,18981844600
68,18982262300
77,19456395800
85,21439479800
94,22295232400
103,27817347900
113,28236584000
123,28522363900
133,28522588800
144,30088726400
155,30707663900
167,33631841900
178,33633485900
190,33668336300
203,37896250400
216,37901997500
230,41208965100
245,42880672400
257,49657788200
271,49910268000
286,52256482800
299,52256773000
313,56234699400
329,56398719800
345,57131055600
362,58413227900
