UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,155296000
0,0,0,0,0,0,0,0,0,202322300
0,0,0,0,0,0,0,0,0,238705800
1,0,0,0,2,0,0,0,2,339824800
1,0,0,0,2,0,0,0,2,438120700
1,0,0,0,5,0,0,0,10,537750000
2,0,0,0,8,0,0,0,15,642535900
3,0,0,0,12,0,0,0,23,741511700
3,0,0,0,17,0,0,0,27,837928400
5,0,0,0,19,0,0,0,36,951381000
7,0,0,0,26,0,0,0,38,1037521200
9,0,0,0,31,0,0,0,47,1281092900
10,0,0,0,34,0,0,0,52,1366185300
10,0,0,0,40,0,0,0,66,1555002400
10,0,0,0,41,0,0,0,66,1598614500
11,0,0,0,46,0,0,0,74,1687339000
11,0,0,0,50,0,0,0,77,1770331900
16,0,0,0,68,0,0,0,104,2163127600
16,0,0,0,69,0,0,0,105,2511751900
30,0,0,0,109,0,0,0,148,3732456600
30,0,0,0,109,0,0,0,148,3853460800
30,0,0,0,109,0,0,0,148,3986262100
45,0,0,0,171,0,0,0,281,4870278900
45,0,0,0,171,0,0,0,281,4872097500
45,0,0,0,172,0,0,0,281,5056756500
45,0,0,0,172,0,0,0,281,5250783700
53,0,0,0,206,0,0,0,304,5372031800
53,0,0,0,207,0,0,0,309,5447841400
53,0,0,0,207,0,0,0,309,5554556900
53,0,0,0,214,0,0,0,314,5702989200
54,0,0,0,215,0,0,0,319,5810171900
54,0,0,0,215,0,0,0,319,7790543400
54,0,0,0,215,0,0,0,319,8051655900
54,0,0,0,232,0,0,0,570,9313066800
54,0,0,0,232,0,0,0,570,9357208200
54,0,0,0,232,0,0,0,570,10226996300
54,0,0,0,233,0,0,0,570,10413733100
54,0,0,0,234,0,0,0,782,10466752500
55,0,0,0,235,0,0,0,782,11082427500
55,0,0,0,235,0,0,0,788,11326719100
55,0,0,0,235,0,0,0,788,11331179400
55,0,0,0,235,0,0,0,788,11368030800
55,0,0,0,236,0,0,0,788,11458225600
55,0,0,0,236,0,0,0,788,11683107600
55,0,0,0,236,0,0,0,863,11726484600
55,0,0,0,236,0,0,0,863,11756351600
55,0,0,0,236,0,0,0,863,11843989200
55,0,0,0,237,0,0,0,863,11995103200
55,0,0,0,237,0,0,0,863,12182711900
55,0,0,0,237,0,0,0,863,12188060000
55,0,0,0,237,0,0,0,863,12241316200
55,0,0,0,237,0,0,0,890,12527728900
56,0,0,0,237,0,0,0,890,12587109200
56,0,0,0,238,0,0,0,890,12678683200
56,0,0,0,238,0,0,0,944,12747436100
56,0,0,0,238,0,0,0,944,12916343500
56,0,0,0,239,0,0,0,1005,14598707000
56,0,0,0,239,0,0,0,1005,14607332900
60,0,0,0,262,0,0,0,1129,14797673700
60,0,0,0,262,0,0,0,1129,14816723200
60,0,0,0,263,0,0,0,1137,14873570500
60,0,0,0,263,0,0,0,1137,15340702100
60,0,0,0,263,0,0,0,1137,15514343700
60,0,0,0,263,0,0,0,1137,15566521400
60,0,0,0,264,0,0,0,1189,16998018700
60,0,0,0,265,0,0,0,1189,17752819700
60,0,0,0,265,0,0,0,1327,17885381300
66,0,0,0,285,0,0,0,1396,18061569600
66,0,0,0,285,0,0,0,1396,18241546500
66,0,0,0,286,0,0,0,1396,18491527200
80,0,0,0,337,0,0,0,1499,19302824000
80,0,0,0,338,0,0,0,1511,20912395400
80,0,0,0,339,0,0,0,1667,21344183900
118,0,0,0,528,0,0,0,1771,22327570200
118,0,0,0,528,0,0,0,1771,22686561400
118,0,0,0,529,0,0,0,1771,22778215900
118,0,0,0,529,0,0,0,1802,23270763100
139,0,0,0,583,0,0,0,1824,23621120900
139,0,0,0,583,0,0,0,1824,23701891900
139,0,0,0,584,0,0,0,1852,23779537300
139,0,0,0,584,0,0,0,1852,24217503700
139,0,0,0,584,0,0,0,1852,24527896800
139,0,0,0,584,0,0,0,1852,24555294900
139,0,0,0,584,0,0,0,1852,24689560800
139,0,0,0,584,0,0,0,1852,24756525100
139,0,0,0,585,0,0,0,1852,25866353000
167,0,0,0,687,0,0,0,2023,26462659900
168,0,0,0,688,0,0,0,2023,26574852500
168,0,0,0,688,0,0,0,2023,26645050200
169,0,0,0,698,0,0,0,2066,26947966800
169,0,0,0,698,0,0,0,2066,26974406100
169,0,0,0,698,0,0,0,2066,27059667000
169,0,0,0,698,0,0,0,2066,27315776600
169,0,0,0,698,0,0,0,2066,27316975300
169,0,0,0,698,0,0,0,2066,27359442100
169,0,0,0,699,0,0,0,2066,27473147300
189,0,0,0,784,0,0,0,2127,27594338300
189,0,0,0,784,0,0,0,2127,27717789400
201,0,0,0,828,0,0,0,2141,28290054200
201,0,0,0,829,0,0,0,2141,29950301500
234,0,0,0,970,0,0,0,2405,33425565500
234,0,0,0,971,0,0,0,2550,33548763000
234,0,0,0,971,0,0,0,2550,33701834700
234,0,0,0,972,0,0,0,2583,34595095700
234,0,0,0,972,0,0,0,2583,34675784400
234,0,0,0,973,0,0,0,2662,35309706400
234,0,0,0,973,0,0,0,2662,35783479500
234,0,0,0,973,0,0,0,2662,36675816900
234,0,0,0,973,0,0,0,2662,36785018600
234,0,0,0,974,0,0,0,2662,36786917300
234,0,0,0,974,0,0,0,2662,36991973900
234,0,0,0,974,0,0,0,2766,37394350600
234,0,0,0,975,0,0,0,2766,37440457900
252,0,0,0,1072,0,0,0,2836,38238718400
252,0,0,0,1072,0,0,0,2836,38242500700
265,0,0,0,1169,0,0,0,2894,38386731700
269,0,0,0,1258,0,0,0,2904,38507808400
269,0,0,0,1259,0,0,0,2907,39486746900
269,0,0,0,1259,0,0,0,2907,39492197600
269,0,0,0,1259,0,0,0,2907,39756823100
269,0,0,0,1260,0,0,0,2992,41431971700
269,0,0,0,1260,0,0,0,2992,41471015600
269,0,0,0,1261,0,0,0,3107,41549480700
269,0,0,0,1261,0,0,0,3107,41637536400
279,0,0,0,1382,0,0,0,3198,43332048500
279,0,0,0,1382,0,0,0,3198,43354443700
279,0,0,0,1382,0,0,0,3198,43499149400
279,0,0,0,1388,0,0,0,3368,45440038200
279,0,0,0,1388,0,0,0,3368,45635397600
279,0,0,0,1389,0,0,0,3385,45931194600
279,0,0,0,1389,0,0,0,3385,45998341100
279,0,0,0,1389,0,0,0,3385,46043402100
279,0,0,0,1389,0,0,0,3385,46177843200
279,0,0,0,1390,0,0,0,3385,46240768800
279,0,0,0,1390,0,0,0,3407,46388073800
279,0,0,0,1390,0,0,0,3407,47539421500
279,0,0,0,1390,0,0,0,3407,47827098400
279,0,0,0,1390,0,0,0,3407,47853909600
279,0,0,0,1390,0,0,0,3407,47950077800
279,0,0,0,1391,0,0,0,3554,48106070200
279,0,0,0,1391,0,0,0,3554,48270645500
279,0,0,0,1393,0,0,0,3592,50516128700
283,0,0,0,1449,0,0,0,3703,51246991700
283,0,0,0,1449,0,0,0,3703,51273349300
285,0,0,0,1501,0,0,0,3747,51832995000
285,0,0,0,1501,0,0,0,3747,51876577900
289,0,0,0,1687,0,0,0,3971,54458895300
289,0,0,0,1688,0,0,0,3981,56499809700
291,0,0,0,1763,0,0,0,4344,59549136700
291,0,0,0,1763,0,0,0,4344,60427780200
