Witness Weight,Time (ns)
0,1253267200
2,2697597700
5,3256125600
9,3257988100
14,4739810600
20,6214529000
27,6595859700
35,6596025500
44,6596192000
54,8244650600
65,9740504100
77,11567849500
90,12018781700
104,12761727000
119,13038643300
135,16033298700
152,16033476400
170,16033671300
189,16033843100
209,16034005300
230,16828254000
252,16831677900
275,16831920200
299,19514905100
324,23214429300
350,23555788500
377,24984870800
405,28543754500
434,37277169200
464,37277295200
495,37277405400
527,39879650200
560,43117766500
594,43284045500
629,43619862300
665,43918679400
702,43918948400
740,43919521700
779,43921279000
819,51737812700
860,51738013600
902,51738231200
945,51739567700
989,54219007500
1034,54221445300
1080,57455786100
1127,57456075100
1175,58722092600
1224,58722292400
1274,60068151800
1325,60069203000
1377,60069380500
