Peer ID,Neighbor ID,Network Delay (ns),Packet Loss (%),Weight
0,62,100000000,0,12341
0,36,100000000,0,12341
0,83,100000000,0,12341
0,28,100000000,0,12341
0,46,100000000,0,12341
1,14,100000000,0,7061
1,51,100000000,0,7061
1,86,100000000,0,7061
1,75,100000000,0,7061
1,83,100000000,0,7061
1,78,100000000,0,7061
1,21,100000000,0,7061
2,77,100000000,0,5105
2,87,100000000,0,5105
2,13,100000000,0,5105
2,73,100000000,0,5105
2,3,100000000,0,5105
3,62,100000000,0,4055
3,25,100000000,0,4055
3,59,100000000,0,4055
3,38,100000000,0,4055
3,57,100000000,0,4055
3,85,100000000,0,4055
3,47,100000000,0,4055
3,2,100000000,0,4055
3,29,100000000,0,4055
4,34,100000000,0,3392
4,17,100000000,0,3392
4,82,100000000,0,3392
4,7,100000000,0,3392
4,91,100000000,0,3392
4,33,100000000,0,3392
5,57,100000000,0,2932
5,76,100000000,0,2932
5,54,100000000,0,2932
5,50,100000000,0,2932
5,29,100000000,0,2932
5,17,100000000,0,2932
5,92,100000000,0,2932
5,89,100000000,0,2932
6,57,100000000,0,2591
6,26,100000000,0,2591
6,79,100000000,0,2591
6,89,100000000,0,2591
6,37,100000000,0,2591
7,87,100000000,0,2329
7,11,100000000,0,2329
7,38,100000000,0,2329
7,4,100000000,0,2329
7,41,100000000,0,2329
7,59,100000000,0,2329
8,69,100000000,0,2119
8,93,100000000,0,2119
8,46,100000000,0,2119
8,54,100000000,0,2119
8,71,100000000,0,2119
8,53,100000000,0,2119
8,84,100000000,0,2119
9,34,100000000,0,1948
9,57,100000000,0,1948
9,26,100000000,0,1948
9,56,100000000,0,1948
10,98,100000000,0,1805
10,90,100000000,0,1805
10,63,100000000,0,1805
10,70,100000000,0,1805
10,89,100000000,0,1805
10,55,100000000,0,1805
10,52,100000000,0,1805
11,58,100000000,0,1683
11,33,100000000,0,1683
11,43,100000000,0,1683
11,40,100000000,0,1683
11,29,100000000,0,1683
11,7,100000000,0,1683
11,98,100000000,0,1683
11,48,100000000,0,1683
11,76,100000000,0,1683
12,56,100000000,0,1579
12,92,100000000,0,1579
12,30,100000000,0,1579
12,52,100000000,0,1579
12,96,100000000,0,1579
12,89,100000000,0,1579
12,62,100000000,0,1579
13,96,100000000,0,1488
13,78,100000000,0,1488
13,42,100000000,0,1488
13,2,100000000,0,1488
13,43,100000000,0,1488
13,48,100000000,0,1488
14,44,100000000,0,1408
14,89,100000000,0,1408
14,65,100000000,0,1408
14,59,100000000,0,1408
14,66,100000000,0,1408
14,68,100000000,0,1408
14,1,100000000,0,1408
14,96,100000000,0,1408
14,63,100000000,0,1408
14,43,100000000,0,1408
15,41,100000000,0,1337
15,46,100000000,0,1337
15,38,100000000,0,1337
15,68,100000000,0,1337
15,79,100000000,0,1337
15,69,100000000,0,1337
16,57,100000000,0,1274
16,96,100000000,0,1274
16,25,100000000,0,1274
16,39,100000000,0,1274
16,88,100000000,0,1274
16,33,100000000,0,1274
16,51,100000000,0,1274
16,58,100000000,0,1274
17,22,100000000,0,1217
17,73,100000000,0,1217
17,53,100000000,0,1217
17,24,100000000,0,1217
17,54,100000000,0,1217
17,5,100000000,0,1217
17,4,100000000,0,1217
17,44,100000000,0,1217
18,68,100000000,0,1165
18,30,100000000,0,1165
18,81,100000000,0,1165
18,62,100000000,0,1165
18,61,100000000,0,1165
18,71,100000000,0,1165
18,90,100000000,0,1165
19,84,100000000,0,1119
19,82,100000000,0,1119
19,35,100000000,0,1119
19,40,100000000,0,1119
19,27,100000000,0,1119
19,99,100000000,0,1119
20,48,100000000,0,1076
20,65,100000000,0,1076
20,22,100000000,0,1076
20,52,100000000,0,1076
20,72,100000000,0,1076
21,89,100000000,0,1036
21,67,100000000,0,1036
21,91,100000000,0,1036
21,37,100000000,0,1036
21,1,100000000,0,1036
21,72,100000000,0,1036
21,48,100000000,0,1036
21,42,100000000,0,1036
21,82,100000000,0,1036
22,20,100000000,0,1000
22,81,100000000,0,1000
22,84,100000000,0,1000
22,33,100000000,0,1000
22,36,100000000,0,1000
22,58,100000000,0,1000
22,93,100000000,0,1000
22,55,100000000,0,1000
22,17,100000000,0,1000
23,28,100000000,0,967
23,99,100000000,0,967
23,61,100000000,0,967
23,51,100000000,0,967
23,81,100000000,0,967
23,57,100000000,0,967
23,30,100000000,0,967
23,44,100000000,0,967
23,91,100000000,0,967
24,17,100000000,0,936
24,36,100000000,0,936
24,99,100000000,0,936
24,85,100000000,0,936
24,38,100000000,0,936
24,43,100000000,0,936
24,90,100000000,0,936
24,27,100000000,0,936
24,74,100000000,0,936
24,62,100000000,0,936
24,65,100000000,0,936
25,59,100000000,0,907
25,97,100000000,0,907
25,3,100000000,0,907
25,88,100000000,0,907
25,85,100000000,0,907
25,70,100000000,0,907
25,39,100000000,0,907
25,83,100000000,0,907
25,16,100000000,0,907
26,9,100000000,0,880
26,6,100000000,0,880
26,32,100000000,0,880
26,42,100000000,0,880
26,50,100000000,0,880
26,78,100000000,0,880
26,93,100000000,0,880
27,52,100000000,0,854
27,69,100000000,0,854
27,19,100000000,0,854
27,88,100000000,0,854
27,79,100000000,0,854
27,77,100000000,0,854
27,56,100000000,0,854
27,58,100000000,0,854
27,49,100000000,0,854
27,94,100000000,0,854
27,42,100000000,0,854
27,24,100000000,0,854
28,74,100000000,0,831
28,91,100000000,0,831
28,72,100000000,0,831
28,0,100000000,0,831
28,56,100000000,0,831
28,49,100000000,0,831
28,23,100000000,0,831
28,36,100000000,0,831
28,41,100000000,0,831
29,5,100000000,0,809
29,11,100000000,0,809
29,48,100000000,0,809
29,89,100000000,0,809
29,3,100000000,0,809
30,84,100000000,0,788
30,12,100000000,0,788
30,23,100000000,0,788
30,60,100000000,0,788
30,36,100000000,0,788
30,18,100000000,0,788
30,82,100000000,0,788
30,96,100000000,0,788
30,59,100000000,0,788
31,61,100000000,0,768
31,45,100000000,0,768
31,84,100000000,0,768
31,60,100000000,0,768
31,85,100000000,0,768
31,71,100000000,0,768
31,67,100000000,0,768
32,89,100000000,0,749
32,44,100000000,0,749
32,26,100000000,0,749
32,70,100000000,0,749
32,85,100000000,0,749
32,95,100000000,0,749
32,76,100000000,0,749
33,22,100000000,0,731
33,16,100000000,0,731
33,70,100000000,0,731
33,4,100000000,0,731
33,81,100000000,0,731
33,78,100000000,0,731
33,11,100000000,0,731
33,96,100000000,0,731
34,4,100000000,0,715
34,56,100000000,0,715
34,79,100000000,0,715
34,45,100000000,0,715
34,85,100000000,0,715
34,9,100000000,0,715
34,73,100000000,0,715
35,19,100000000,0,699
35,60,100000000,0,699
35,45,100000000,0,699
35,51,100000000,0,699
35,54,100000000,0,699
36,55,100000000,0,684
36,22,100000000,0,684
36,24,100000000,0,684
36,28,100000000,0,684
36,71,100000000,0,684
36,45,100000000,0,684
36,70,100000000,0,684
36,56,100000000,0,684
36,37,100000000,0,684
36,0,100000000,0,684
36,30,100000000,0,684
36,84,100000000,0,684
37,6,100000000,0,669
37,94,100000000,0,669
37,66,100000000,0,669
37,21,100000000,0,669
37,36,100000000,0,669
38,62,100000000,0,655
38,46,100000000,0,655
38,3,100000000,0,655
38,69,100000000,0,655
38,24,100000000,0,655
38,65,100000000,0,655
38,7,100000000,0,655
38,15,100000000,0,655
38,70,100000000,0,655
38,97,100000000,0,655
38,75,100000000,0,655
39,82,100000000,0,642
39,25,100000000,0,642
39,87,100000000,0,642
39,46,100000000,0,642
39,90,100000000,0,642
39,76,100000000,0,642
39,77,100000000,0,642
39,47,100000000,0,642
39,16,100000000,0,642
40,92,100000000,0,630
40,90,100000000,0,630
40,19,100000000,0,630
40,74,100000000,0,630
40,91,100000000,0,630
40,11,100000000,0,630
41,86,100000000,0,618
41,93,100000000,0,618
41,66,100000000,0,618
41,28,100000000,0,618
41,74,100000000,0,618
41,7,100000000,0,618
41,59,100000000,0,618
41,15,100000000,0,618
41,71,100000000,0,618
42,72,100000000,0,606
42,57,100000000,0,606
42,27,100000000,0,606
42,26,100000000,0,606
42,86,100000000,0,606
42,21,100000000,0,606
42,13,100000000,0,606
43,13,100000000,0,595
43,48,100000000,0,595
43,93,100000000,0,595
43,74,100000000,0,595
43,97,100000000,0,595
43,24,100000000,0,595
43,91,100000000,0,595
43,65,100000000,0,595
43,11,100000000,0,595
43,46,100000000,0,595
43,63,100000000,0,595
43,14,100000000,0,595
44,78,100000000,0,584
44,61,100000000,0,584
44,84,100000000,0,584
44,32,100000000,0,584
44,14,100000000,0,584
44,57,100000000,0,584
44,55,100000000,0,584
44,23,100000000,0,584
44,17,100000000,0,584
44,93,100000000,0,584
45,73,100000000,0,574
45,36,100000000,0,574
45,69,100000000,0,574
45,34,100000000,0,574
45,95,100000000,0,574
45,96,100000000,0,574
45,31,100000000,0,574
45,94,100000000,0,574
45,35,100000000,0,574
45,58,100000000,0,574
46,0,100000000,0,564
46,95,100000000,0,564
46,56,100000000,0,564
46,43,100000000,0,564
46,38,100000000,0,564
46,39,100000000,0,564
46,8,100000000,0,564
46,15,100000000,0,564
47,80,100000000,0,555
47,3,100000000,0,555
47,39,100000000,0,555
47,56,100000000,0,555
47,88,100000000,0,555
47,83,100000000,0,555
47,78,100000000,0,555
47,55,100000000,0,555
47,77,100000000,0,555
48,13,100000000,0,546
48,66,100000000,0,546
48,56,100000000,0,546
48,29,100000000,0,546
48,88,100000000,0,546
48,43,100000000,0,546
48,11,100000000,0,546
48,21,100000000,0,546
48,95,100000000,0,546
48,20,100000000,0,546
48,53,100000000,0,546
49,80,100000000,0,537
49,98,100000000,0,537
49,60,100000000,0,537
49,68,100000000,0,537
49,28,100000000,0,537
49,91,100000000,0,537
49,27,100000000,0,537
50,99,100000000,0,529
50,95,100000000,0,529
50,5,100000000,0,529
50,26,100000000,0,529
50,78,100000000,0,529
50,60,100000000,0,529
50,71,100000000,0,529
50,83,100000000,0,529
51,23,100000000,0,521
51,99,100000000,0,521
51,81,100000000,0,521
51,35,100000000,0,521
51,84,100000000,0,521
51,68,100000000,0,521
51,56,100000000,0,521
51,16,100000000,0,521
51,1,100000000,0,521
51,86,100000000,0,521
51,73,100000000,0,521
52,87,100000000,0,513
52,20,100000000,0,513
52,27,100000000,0,513
52,10,100000000,0,513
52,98,100000000,0,513
52,64,100000000,0,513
52,12,100000000,0,513
53,81,100000000,0,505
53,8,100000000,0,505
53,17,100000000,0,505
53,90,100000000,0,505
53,48,100000000,0,505
54,35,100000000,0,498
54,71,100000000,0,498
54,8,100000000,0,498
54,17,100000000,0,498
54,79,100000000,0,498
54,99,100000000,0,498
54,5,100000000,0,498
55,22,100000000,0,491
55,94,100000000,0,491
55,10,100000000,0,491
55,91,100000000,0,491
55,36,100000000,0,491
55,44,100000000,0,491
55,47,100000000,0,491
55,70,100000000,0,491
56,48,100000000,0,484
56,46,100000000,0,484
56,28,100000000,0,484
56,47,100000000,0,484
56,62,100000000,0,484
56,34,100000000,0,484
56,9,100000000,0,484
56,27,100000000,0,484
56,36,100000000,0,484
56,82,100000000,0,484
56,51,100000000,0,484
56,95,100000000,0,484
56,12,100000000,0,484
57,3,100000000,0,477
57,44,100000000,0,477
57,9,100000000,0,477
57,16,100000000,0,477
57,93,100000000,0,477
57,5,100000000,0,477
57,23,100000000,0,477
57,42,100000000,0,477
57,6,100000000,0,477
58,11,100000000,0,470
58,16,100000000,0,470
58,22,100000000,0,470
58,27,100000000,0,470
58,45,100000000,0,470
59,3,100000000,0,464
59,72,100000000,0,464
59,30,100000000,0,464
59,14,100000000,0,464
59,7,100000000,0,464
59,25,100000000,0,464
59,67,100000000,0,464
59,65,100000000,0,464
59,41,100000000,0,464
60,35,100000000,0,458
60,49,100000000,0,458
60,30,100000000,0,458
60,67,100000000,0,458
60,68,100000000,0,458
60,50,100000000,0,458
60,63,100000000,0,458
60,31,100000000,0,458
61,44,100000000,0,452
61,84,100000000,0,452
61,18,100000000,0,452
61,96,100000000,0,452
61,73,100000000,0,452
61,31,100000000,0,452
61,23,100000000,0,452
61,76,100000000,0,452
62,99,100000000,0,446
62,38,100000000,0,446
62,0,100000000,0,446
62,18,100000000,0,446
62,3,100000000,0,446
62,12,100000000,0,446
62,24,100000000,0,446
62,56,100000000,0,446
63,10,100000000,0,441
63,95,100000000,0,441
63,70,100000000,0,441
63,14,100000000,0,441
63,43,100000000,0,441
63,60,100000000,0,441
63,88,100000000,0,441
63,72,100000000,0,441
64,86,100000000,0,435
64,52,100000000,0,435
64,88,100000000,0,435
64,80,100000000,0,435
64,81,100000000,0,435
65,94,100000000,0,430
65,24,100000000,0,430
65,43,100000000,0,430
65,20,100000000,0,430
65,84,100000000,0,430
65,86,100000000,0,430
65,59,100000000,0,430
65,38,100000000,0,430
65,14,100000000,0,430
66,99,100000000,0,425
66,91,100000000,0,425
66,48,100000000,0,425
66,14,100000000,0,425
66,41,100000000,0,425
66,37,100000000,0,425
67,60,100000000,0,420
67,59,100000000,0,420
67,77,100000000,0,420
67,31,100000000,0,420
67,21,100000000,0,420
68,60,100000000,0,415
68,49,100000000,0,415
68,14,100000000,0,415
68,71,100000000,0,415
68,76,100000000,0,415
68,73,100000000,0,415
68,51,100000000,0,415
68,18,100000000,0,415
68,15,100000000,0,415
69,38,100000000,0,410
69,27,100000000,0,410
69,45,100000000,0,410
69,15,100000000,0,410
69,8,100000000,0,410
69,84,100000000,0,410
70,63,100000000,0,406
70,55,100000000,0,406
70,25,100000000,0,406
70,33,100000000,0,406
70,89,100000000,0,406
70,83,100000000,0,406
70,81,100000000,0,406
70,36,100000000,0,406
70,38,100000000,0,406
70,32,100000000,0,406
70,10,100000000,0,406
71,18,100000000,0,401
71,50,100000000,0,401
71,68,100000000,0,401
71,8,100000000,0,401
71,36,100000000,0,401
71,31,100000000,0,401
71,82,100000000,0,401
71,54,100000000,0,401
71,41,100000000,0,401
72,42,100000000,0,397
72,20,100000000,0,397
72,21,100000000,0,397
72,59,100000000,0,397
72,63,100000000,0,397
72,95,100000000,0,397
72,28,100000000,0,397
73,61,100000000,0,392
73,34,100000000,0,392
73,17,100000000,0,392
73,2,100000000,0,392
73,45,100000000,0,392
73,51,100000000,0,392
73,68,100000000,0,392
74,28,100000000,0,388
74,75,100000000,0,388
74,24,100000000,0,388
74,97,100000000,0,388
74,41,100000000,0,388
74,43,100000000,0,388
74,40,100000000,0,388
75,87,100000000,0,384
75,96,100000000,0,384
75,97,100000000,0,384
75,38,100000000,0,384
75,1,100000000,0,384
75,74,100000000,0,384
75,83,100000000,0,384
76,92,100000000,0,380
76,77,100000000,0,380
76,11,100000000,0,380
76,5,100000000,0,380
76,68,100000000,0,380
76,61,100000000,0,380
76,97,100000000,0,380
76,32,100000000,0,380
76,39,100000000,0,380
77,95,100000000,0,376
77,39,100000000,0,376
77,97,100000000,0,376
77,92,100000000,0,376
77,76,100000000,0,376
77,90,100000000,0,376
77,67,100000000,0,376
77,2,100000000,0,376
77,47,100000000,0,376
77,27,100000000,0,376
77,98,100000000,0,376
78,1,100000000,0,372
78,47,100000000,0,372
78,26,100000000,0,372
78,50,100000000,0,372
78,13,100000000,0,372
78,44,100000000,0,372
