Witness Weight,Time (ns)
0,201200
2,412800
5,485400
9,756200
14,12553100
20,12851500
27,13078700
35,13313100
44,13768900
54,14284300
65,57414500
77,2479548100
90,3530676100
104,4884575300
119,7716071600
135,7717360200
152,7717490300
170,7717840300
189,7718138800
209,8914016000
230,8939428200
252,8943070600
275,8946003200
299,8947217800
324,8947523000
350,8947785500
377,8949081400
405,8950833000
434,8964086600
464,9801169500
477,10777157800
508,11065190900
540,11065399500
573,11068377600
607,12451585000
642,12451965700
678,12455215300
692,12657644300
729,12765244100
744,15945163300
757,20195634100
795,20195745000
810,20195933200
826,20196195900
865,20196507800
905,20200651500
919,20201081000
934,20201233000
950,22534544900
991,22535432400
1007,22624436900
1024,22626289300
1066,22626711300
1109,22627052100
1153,22627487100
1198,22627954100
1244,22833859500
1291,23739377600
1308,32140990000
1356,32142300400
1405,32200565500
1455,34341751800
1469,41312092200
1520,41367308600
1572,41389696800
1625,41390817900
1679,41397572300
1734,41406697700
1790,41409225300
1847,41409570300
1905,43952838200
1964,43953173200
2024,43953887300
2085,43954253500
2147,43954462400
2210,43954898600
2274,43955329300
2291,43956104100
2356,57507358100
2422,57507766300
2489,57508128400
2557,57508704900
2626,57508990900
2644,57509056400
2663,57509290300
2683,57509426000
2704,57509621300
2726,59670839000
2749,59673346500
2767,59673956500
2782,59674164000
2798,61499128200
2868,61726551500
2939,65646656600
3011,65647243100
3084,65647483900
3158,65647828900
