Witness Weight,Time (ns)
0,250716700
2,251135700
5,554547700
9,713355100
14,1143880900
20,1144084100
24,1255147700
30,1854387600
37,1854628800
45,1862523600
54,2063971400
61,2064351700
71,2064495700
82,2307646500
94,3061795700
107,3062162100
121,3062448100
136,3610078600
152,3851165300
169,3935992400
174,4101054100
181,4112499500
189,5084408100
207,5225236700
226,5225495900
246,5225680900
267,5225885200
289,5226475400
312,6115187800
336,6115758300
361,6164507800
387,8408547200
396,9052996200
423,9053173300
451,9058118800
480,9058461800
510,9062781500
541,10593436400
551,10605754600
583,10610510100
615,10610981300
648,13684099600
682,13686934900
717,13756952300
753,13758825500
790,13808649900
801,13808835900
813,14708803200
821,16570673300
859,16570930300
898,16571081400
938,16571206100
979,16571325700
1021,16571392400
1064,16571575700
1108,16571762900
1121,16662477900
1166,16664027100
1212,17347375800
1259,17348116300
1307,19413455900
1356,19413702500
1406,19413937500
1455,19430290100
1506,19430506400
1558,19430701500
1611,19433182100
1665,19433430000
1720,22170498100
1776,22171013000
1833,22183848300
1891,22184022400
1924,22184091300
1958,22184334700
2017,22399727100
2077,22399971600
2138,22400341300
2200,22400574300
2263,22401618900
2327,22783408200
2392,22783959200
2458,23849916800
2525,23850285100
2593,23850471100
2662,23850662700
2732,23850842500
2803,23851384000
2875,23851599900
2948,26182762000
2962,26822109700
3036,28027931300
3042,28028077100
3049,28029191700
3124,28029433600
3200,28348271500
3277,28348472300
3342,28348755600
3420,28350605800
3499,28355937400
3579,28357477700
3594,28358037100
3675,28358289800
3683,28358562200
3765,28359357700
3848,28359902800
3932,28953606400
4017,33073586200
4103,33073840000
4190,33074072500
4278,33077332900
4367,33077650300
4457,33077973800
4466,37508295300
4557,37508616000
4649,37509093800
4742,38564752000
4758,38570125300
4852,41812066100
4947,41812421000
5043,41817500300
5140,41817774200
5238,41818220400
5337,41818869400
5437,42393859300
5538,42394213600
5640,42395333800
5743,42395640700
5847,42397018400
5952,42397383300
6058,45588546200
6165,45591068000
6273,53347716700
6283,53348231500
6294,54988345500
6403,54988932100
6513,60249402300
6624,60249979900
6736,60250685100
6849,60253129300
6963,61529531100
6980,64001260300
7095,64505787200
7104,65064861300
7114,65148353300
7126,65151919100
7242,65152301800
7359,65152587100
7477,65152892600
7596,65153191000
7716,65154749600
7837,65154800500
7850,65155712000
7972,65779818300
8095,66768152200
8219,66768727200
