UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,129010100
0,0,0,0,0,0,0,0,0,154739900
0,0,0,0,1,0,0,0,1,279295300
1,0,0,0,3,0,0,0,3,354012300
1,0,0,0,4,0,0,0,5,455077500
1,0,0,0,4,0,0,0,5,554243300
1,0,0,0,6,0,0,0,7,654678900
2,0,0,0,8,0,0,0,9,754657900
3,0,0,0,9,0,0,0,10,854713500
4,0,0,0,10,0,0,0,12,954682700
4,0,0,0,11,0,0,0,14,1056384800
6,0,0,0,15,0,0,0,19,1154950200
7,0,0,0,17,0,0,0,22,1253956500
7,0,0,0,20,0,0,0,27,1366476600
7,0,0,0,25,0,0,0,32,1467340900
7,0,0,0,28,0,0,0,34,1558772600
8,0,0,0,30,0,0,0,37,1686042100
9,0,0,0,32,0,0,0,39,1801623700
9,0,0,0,38,0,0,0,45,1915994600
9,0,0,0,39,0,0,0,50,1994803800
11,0,0,0,44,0,0,0,53,2157024000
11,0,0,0,44,0,0,0,53,2225274000
15,0,0,0,52,0,0,0,61,2427151100
15,0,0,0,55,0,0,0,69,2494631100
15,0,0,0,57,0,0,0,71,2559789300
17,0,0,0,62,0,0,0,80,2678999600
17,0,0,0,70,0,0,0,83,2764892100
19,0,0,0,77,0,0,0,87,2914254900
19,0,0,0,78,0,0,0,89,3000407400
21,0,0,0,92,0,0,0,97,3201181600
21,0,0,0,93,0,0,0,101,3259271400
21,0,0,0,94,0,0,0,104,3354534700
23,0,0,0,99,0,0,0,109,3460202900
24,0,0,0,107,0,0,0,117,3578046500
24,0,0,0,109,0,0,0,119,3657381800
27,0,0,0,114,0,0,0,123,3763660100
27,0,0,0,117,0,0,0,125,3854699300
29,0,0,0,122,0,0,0,128,3957889000
29,0,0,0,128,0,0,0,136,4082339300
29,0,0,0,133,0,0,0,140,4154567200
29,0,0,0,136,0,0,0,141,4254701200
31,0,0,0,141,0,0,0,147,4354590600
31,0,0,0,142,0,0,0,148,4477109900
32,0,0,0,145,0,0,0,155,4555307000
32,0,0,0,147,0,0,0,160,4671478000
32,0,0,0,149,0,0,0,161,4761526000
34,0,0,0,155,0,0,0,168,4862371800
35,0,0,0,163,0,0,0,174,4958712900
36,0,0,0,166,0,0,0,177,5143769700
37,0,0,0,175,0,0,0,185,5194752700
37,0,0,0,176,0,0,0,191,5264348800
38,0,0,0,180,0,0,0,197,5358976300
39,0,0,0,190,0,0,0,203,5454241900
39,0,0,0,194,0,0,0,207,5562730800
39,0,0,0,196,0,0,0,207,5676385500
41,0,0,0,202,0,0,0,211,5757245700
41,0,0,0,204,0,0,0,216,5854183200
42,0,0,0,207,0,0,0,220,5967584600
42,0,0,0,215,0,0,0,223,6054295300
