UndefinedColor,Blue,Red,Green,ns since start,ns since issuance
0,0,0,0,138405800,0
0,0,0,0,199283300,0
0,0,0,0,246218300,0
0,0,0,0,346971100,0
0,0,0,0,446220000,0
0,0,0,0,546379200,0
0,0,0,0,646294700,0
0,0,0,0,746682500,0
0,0,0,0,846049800,0
0,0,0,0,946035100,0
0,0,0,0,1046989400,0
0,0,0,0,1146070400,0
0,0,0,0,1246016100,0
0,0,0,0,1347492600,0
0,0,0,0,1446029900,0
0,0,0,0,1547148500,0
0,0,0,0,1646778100,0
0,0,0,0,1746210400,0
0,0,0,0,1864020200,0
0,0,0,0,1946116900,0
0,0,0,0,2046035200,0
0,0,0,0,2175505300,0
0,0,0,0,2254262800,0
0,0,0,0,2414986900,0
0,0,0,0,2553207700,0
0,0,0,0,2663198700,0
0,0,0,0,3038760300,0
0,0,0,0,3369171500,0
0,0,0,0,3498033800,0
0,0,0,0,3683475100,0
0,0,0,0,4092714000,0
0,0,0,0,4361561900,0
0,0,0,0,4451134200,0
0,0,0,0,4555992800,0
0,0,0,0,4947839800,0
0,0,0,0,5046028400,0
0,0,0,0,5165212700,0
0,0,0,0,5267095700,0
0,0,0,0,5358975600,0
0,0,0,0,5446783600,0
0,0,0,0,5728684300,0
0,0,0,0,5801303600,0
0,0,0,0,5892613100,0
0,0,0,0,5955309300,0
0,0,0,0,6047821600,0
0,0,0,0,6430495700,0
0,0,0,0,6781991600,0
0,0,0,0,6984847100,0
0,0,0,0,7130717100,0
0,0,0,0,7175628300,0
0,0,0,0,7246980000,0
0,0,0,0,7346161200,0
0,0,0,0,7461581600,0
0,0,0,0,7547098100,0
0,0,0,0,7739800200,0
0,0,0,0,7788351800,0
0,0,0,0,7846076700,0
0,0,0,0,8559190300,0
0,0,0,0,9108251700,0
0,0,0,0,9162326500,0
0,0,0,0,9466602700,0
0,0,0,0,9474386600,0
0,0,0,0,9550661800,0
0,0,0,0,9646736900,0
0,0,0,0,9924513900,0
0,0,0,0,9927666600,0
0,0,0,0,10191915100,0
0,0,0,0,10336647600,0
0,0,0,0,10363381300,0
0,0,0,0,10468514800,0
0,0,0,0,10576974700,0
0,0,0,0,10845235400,0
0,0,0,0,10880414700,0
0,0,0,0,10967064500,0
0,0,0,0,11085935000,0
0,0,0,0,11586038000,0
0,0,0,0,12011563800,0
0,0,0,0,12060593200,0
0,0,0,0,12145990200,0
0,0,0,0,12246557800,0
0,0,0,0,12510543600,0
0,0,0,0,12681761900,0
0,0,0,0,12774630500,0
0,0,0,0,13159418900,0
0,0,0,0,13762993600,0
0,0,0,0,13863801800,0
0,0,0,0,14406484100,0
0,0,0,0,14715375500,0
0,0,0,0,15624265200,0
