UndefinedColor,Blue,Red,Green,ns since start,ns since issuance
0,0,0,0,98580500,0
0,0,0,0,187096200,0
0,0,0,0,286854300,0
0,0,0,0,387084400,0
0,0,0,0,487101300,0
0,0,0,0,586668200,0
0,0,0,0,687063200,0
0,0,0,0,787198900,0
0,0,0,0,886482900,0
0,0,0,0,986833400,0
0,0,0,0,1086579500,0
0,0,0,0,1186554100,0
0,0,0,0,1288243900,0
0,0,0,0,1448715800,0
0,0,0,0,1495213200,0
0,0,0,0,1587151100,0
0,0,0,0,1687315400,0
0,0,0,0,1786559800,0
0,0,0,0,1887244400,0
0,0,0,0,1986756400,0
0,0,0,0,2087911000,0
0,0,0,0,2187680300,0
0,0,0,0,2290363300,0
0,0,0,0,2387246300,0
0,0,0,0,2487050900,0
0,0,0,0,2586803400,0
0,0,0,0,2686487200,0
0,0,0,0,2803113700,0
0,0,0,0,2904337300,0
0,0,0,0,3074351500,0
0,0,0,0,3109693600,0
0,0,0,0,3380984400,0
0,0,0,0,3450926600,0
0,0,0,0,3487143000,0
0,0,0,0,3588747800,0
0,0,0,0,3711198500,0
0,0,0,0,3830588800,0
0,0,0,0,3892869600,0
0,0,0,0,4159305500,0
0,0,0,0,4201251700,0
0,0,0,0,4287989600,0
0,0,0,0,4388006900,0
0,0,0,0,4495766500,0
0,0,0,0,4598937800,0
0,0,0,0,4686574100,0
0,0,0,0,4786586900,0
0,0,0,0,4889829800,0
0,0,0,0,4997594600,0
0,0,0,0,5089477800,0
0,0,0,0,5246858200,0
0,0,0,0,5291391100,0
0,0,0,0,5387173200,0
0,0,0,0,5502230200,0
0,0,0,0,5586532500,0
0,0,0,0,5686626400,0
0,0,0,0,5838001500,0
0,0,0,0,5886883000,0
0,0,0,0,6001417900,0
0,0,0,0,6094930300,0
0,0,0,0,6186937100,0
0,0,0,0,6323676600,0
0,0,0,0,6386613700,0
0,0,0,0,6490711400,0
0,0,0,0,6615913200,0
0,0,0,0,6686610500,0
0,0,0,0,6786695000,0
0,0,0,0,6916400500,0
0,0,0,0,6987592300,0
0,0,0,0,7087049800,0
0,0,0,0,7186450200,0
0,0,0,0,7286541100,0
0,0,0,0,7387225400,0
0,0,0,0,7487041300,0
0,0,0,0,7587867800,0
0,0,0,0,7686747100,0
0,0,0,0,7786946000,0
0,0,0,0,7901844700,0
0,0,0,0,7986548500,0
0,0,0,0,8086570100,0
0,0,0,0,8312757300,0
0,0,0,0,8322707400,0
0,0,0,0,8418606200,0
0,0,0,0,8544339800,0
0,0,0,0,8586621700,0
0,0,0,0,8692782900,0
0,0,0,0,8800356900,0
0,0,0,0,8905777400,0
0,0,0,0,9043038100,0
0,0,0,0,9087402900,0
0,0,0,0,9189481400,0
0,0,0,0,9286527700,0
0,0,0,0,9427322600,0
0,0,0,0,9487569000,0
0,0,0,0,9586478200,0
0,0,0,0,9686994800,0
0,0,0,0,9812304800,0
0,0,0,0,9976414800,0
0,0,0,0,9987919700,0
0,0,0,0,10086483800,0
0,0,0,0,10188638200,0
0,0,0,0,10321304100,0
0,0,0,0,10386794400,0
0,0,0,0,10486661700,0
0,0,0,0,10589716300,0
0,0,0,0,10784130600,0
0,0,0,0,10822800800,0
0,0,0,0,10887331600,0
0,0,0,0,10987593000,0
0,0,0,0,11104266600,0
0,0,0,0,11186888600,0
0,0,0,0,11286854300,0
0,0,0,0,11407554600,0
0,0,0,0,11490768200,0
0,0,0,0,11587902900,0
0,0,0,0,11743824400,0
0,0,0,0,11853314300,0
0,0,0,0,11887977700,0
0,0,0,0,11987758400,0
0,0,0,0,12172459100,0
0,0,0,0,12194013300,0
0,0,0,0,12286824300,0
0,0,0,0,12393425700,0
0,0,0,0,12562784900,0
0,0,0,0,12604978500,0
0,0,0,0,12735857500,0
0,0,0,0,12786619500,0
0,0,0,0,12983243500,0
0,0,0,0,13028517600,0
0,0,0,0,13092442600,0
0,0,0,0,13187067500,0
0,0,0,0,13317593900,0
0,0,0,0,13387920200,0
0,0,0,0,13488379600,0
0,0,0,0,13586984100,0
0,0,0,0,13746080800,0
0,0,0,0,13788349200,0
0,0,0,0,13886567600,0
0,0,0,0,14007787500,0
0,0,0,0,14087150000,0
0,0,0,0,14186519000,0
0,0,0,0,14292735000,0
0,0,0,0,14568869700,0
0,0,0,0,14592345200,0
0,0,0,0,14688913100,0
0,0,0,0,14792181900,0
0,0,0,0,15016915100,0
0,0,0,0,15076018100,0
0,0,0,0,15088522100,0
0,0,0,0,15188193800,0
0,0,0,0,15295944000,0
0,0,0,0,15424252100,0
0,0,0,0,15489495800,0
0,0,0,0,15586743700,0
0,0,0,0,15697909300,0
0,0,0,0,15816632000,0
0,0,0,0,15890704900,0
0,0,0,0,15986619800,0
0,0,0,0,16087031400,0
0,0,0,0,16186519300,0
0,0,0,0,16292247300,0
0,0,0,0,16386967900,0
0,0,0,0,16486643800,0
0,0,0,0,16595725000,0
0,0,0,0,16691245400,0
0,0,0,0,16832019900,0
0,0,0,0,16892274900,0
0,0,0,0,16987098600,0
0,0,0,0,17095222700,0
0,0,0,0,17299329100,0
0,0,0,0,17306965400,0
0,0,0,0,17391679200,0
0,0,0,0,17488887800,0
0,0,0,0,17601027700,0
0,0,0,0,17772598500,0
0,0,0,0,17799963800,0
0,0,0,0,17939247600,0
0,0,0,0,17988629400,0
0,0,0,0,18088567300,0
0,0,0,0,18313420500,0
0,0,0,0,18463834400,0
0,0,0,0,18554772400,0
0,0,0,0,18635421600,0
0,0,0,0,18709861600,0
0,0,0,0,18792292000,0
0,0,0,0,18972120500,0
0,0,0,0,18987169300,0
0,0,0,0,19147907700,0
0,0,0,0,19325210900,0
0,0,0,0,19576132600,0
0,0,0,0,19603230200,0
0,0,0,0,20031654000,0
0,0,0,0,20499847800,0
0,0,0,0,20779321800,0
0,0,0,0,20801442900,0
0,0,0,0,20943394600,0
0,0,0,0,21249685200,0
0,0,0,0,21404089700,0
0,0,0,0,21490931200,0
0,0,0,0,21605066900,0
0,0,0,0,21709876700,0
0,0,0,0,21789153300,0
0,0,0,0,21906486100,0
0,0,0,0,22107151100,0
0,0,0,0,22197514200,0
0,0,0,0,22314753800,0
0,0,0,0,22386945900,0
0,0,0,0,22517238100,0
0,0,0,0,22906072200,0
0,0,0,0,23003907200,0
0,0,0,0,23145888700,0
0,0,0,0,23513335800,0
0,0,0,0,23589022000,0
0,0,0,0,23702453100,0
0,0,0,0,23830492400,0
0,0,0,0,24194226000,0
0,0,0,0,24282440400,0
0,0,0,0,24300610200,0
0,0,0,0,24595586100,0
0,0,0,0,24747303600,0
0,0,0,0,24834963300,0
0,0,0,0,24910561200,0
0,0,0,0,24987356300,0
0,0,0,0,25088376400,0
0,0,0,0,25192091500,0
0,0,0,0,25320594500,0
0,0,0,0,25510041000,0
0,0,0,0,25588956100,0
0,0,0,0,25689265500,0
0,0,0,0,26099302500,0
0,0,0,0,26374163500,0
0,0,0,0,26865525800,0
0,0,0,0,26886501500,0
0,0,0,0,26999070300,0
0,0,0,0,27087907100,0
0,0,0,0,27196296400,0
0,0,0,0,27316319100,0
0,0,0,0,28660955200,0
0,0,0,0,28728832900,0
0,0,0,0,28964692200,0
0,0,0,0,29200268400,0
0,0,0,0,29291980000,0
0,0,0,0,29388137300,0
0,0,0,0,29503923500,0
0,0,0,0,29737221700,0
0,0,0,0,29984591400,0
0,0,0,0,29988017600,0
0,0,0,0,30147869700,0
0,0,0,0,30194648900,0
0,0,0,0,30562323400,0
0,0,0,0,31071629600,0
0,0,0,0,31339601300,0
0,0,0,0,31419668400,0
0,0,0,0,31505131900,0
0,0,0,0,31748743400,0
0,0,0,0,31895955200,0
0,0,0,0,32008568300,0
0,0,0,0,32133066600,0
0,0,0,0,32594752500,0
0,0,0,0,33597389900,0
0,0,0,0,33912158500,0
0,0,0,0,33990928200,0
0,0,0,0,34104057400,0
0,0,0,0,34193548800,0
0,0,0,0,34334034600,0
0,0,0,0,34482617500,0
0,0,0,0,34516675700,0
0,0,0,0,34956937700,0
0,0,0,0,35024913700,0
0,0,0,0,35878029400,0
0,0,0,0,36036642700,0
0,0,0,0,36094226600,0
0,0,0,0,36521388300,0
0,0,0,0,36785858800,0
0,0,0,0,37110099000,0
0,0,0,0,37198334300,0
0,0,0,0,37293714800,0
0,0,0,0,37389771400,0
0,0,0,0,37526554400,0
0,0,0,0,37894946300,0
0,0,0,0,38196622200,0
0,0,0,0,39231848500,0
0,0,0,0,39790530000,0
0,0,0,0,40227134200,0
0,0,0,0,40306908600,0
0,0,0,0,40421218200,0
0,0,0,0,40490899200,0
0,0,0,0,41392277100,0
0,0,0,0,41639441300,0
0,0,0,0,41694288300,0
0,0,0,0,42088792200,0
0,0,0,0,42334026300,0
0,0,0,0,42838233800,0
0,0,0,0,43168077500,0
0,0,0,0,43231152200,0
0,0,0,0,43319011400,0
0,0,0,0,43563022700,0
0,0,0,0,43693113400,0
0,0,0,0,43897267700,0
0,0,0,0,43970119000,0
0,0,0,0,43989645600,0
0,0,0,0,44708458600,0
0,0,0,0,45023136100,0
0,0,0,0,45095180500,0
0,0,0,0,45216368800,0
0,0,0,0,45323250500,0
0,0,0,0,46386817200,0
0,0,0,0,46557417700,0
0,0,0,0,46803112900,0
0,0,0,0,47498470500,0
0,0,0,0,47626224700,0
0,0,0,0,47753066700,0
0,0,0,0,47894405100,0
0,0,0,0,48035680100,0
0,0,0,0,48088653500,0
0,0,0,0,48864072400,0
0,0,0,0,49906076400,0
0,0,0,0,50318502500,0
0,0,0,0,50395431400,0
0,0,0,0,52078518300,0
0,0,0,0,52221515200,0
0,0,0,0,52331871600,0
0,0,0,0,52447416700,0
0,0,0,0,52788677500,0
0,0,0,0,54401113200,0
0,0,0,0,55300400700,0
0,0,0,0,55389517200,0
0,0,0,0,55826827900,0
0,0,0,0,55968055200,0
0,0,0,0,55997858800,0
0,0,0,0,56197095500,0
0,0,0,0,56478770900,0
0,0,0,0,57067222300,0
0,0,0,0,57347462900,0
0,0,0,0,57641891000,0
0,0,0,0,57722535500,0
0,0,0,0,57791993100,0
0,0,0,0,58923531400,0
0,0,0,0,61010254900,0
