Witness Weight,Time (ns)
0,580005300
2,3639255900
5,3786916700
8,3787137400
12,3880292300
17,3880513600
22,3890493600
27,4109097000
33,6619777600
39,8346188100
43,8346670200
49,9526186500
55,10887190400
61,10901746300
68,11155975500
73,17325212300
79,20325156900
86,23301743500
93,24533488600
101,27723256000
107,30833425200
115,31342191100
124,32404653000
132,35362979500
139,37853641200
146,37854252400
154,38233868700
163,38784176300
172,45424949500
181,47018997200
188,50345628600
198,50577532900
