UndefinedColor,Blue,Red,Green,ns since start,ns since issuance
0,0,0,0,120527700,0
0,0,0,0,179586800,0
0,0,0,0,236669000,0
0,0,0,0,335842700,0
0,0,0,0,435902900,0
0,0,0,0,535281000,0
0,0,0,0,635358800,0
0,0,0,0,736916000,0
0,0,0,0,841622300,0
0,0,0,0,938989200,0
0,0,0,0,1045654000,0
0,0,0,0,1135577200,0
0,0,0,0,1244048800,0
0,0,0,0,1335866400,0
0,0,0,0,1484647100,0
0,0,0,0,1554642000,0
0,0,0,0,1635631200,0
0,0,0,0,1802772300,0
0,0,0,0,2445906800,0
0,0,0,0,2472440400,0
0,0,0,0,2586781100,0
0,0,0,0,2727591000,0
0,0,0,0,2859461700,0
0,0,0,0,2967085100,0
0,0,0,0,3129897100,0
0,0,0,0,4034642000,0
0,0,0,0,4367373500,0
0,0,0,0,4732880000,0
0,0,0,0,4739136100,0
0,0,0,0,4835737200,0
0,0,0,0,5078928400,0
0,0,0,0,5753564800,0
0,0,0,0,5784530600,0
0,0,0,0,6324436900,0
0,0,0,0,6393669100,0
0,0,0,0,6861893900,0
0,0,0,0,7938583900,0
0,0,0,0,8545820300,0
0,0,0,0,8635481500,0
0,0,0,0,8804965000,0
0,0,0,0,8915863800,0
0,0,0,0,9478300400,0
0,0,0,0,9876607600,0
0,0,0,0,11726768500,0
0,0,0,0,11751346700,0
0,0,0,0,11845341500,0
0,0,0,0,13128722900,0
0,0,0,0,13163341900,0
0,0,0,0,13252486800,0
0,0,0,0,14519007000,0
0,0,0,0,14553984700,0
0,0,0,0,14651166900,0
0,0,0,0,14736515300,0
0,0,0,0,15002506400,0
0,0,0,0,15271086100,0
0,0,0,0,15468996100,0
0,0,0,0,16187427300,0
0,0,0,0,17266595100,0
0,0,0,0,17347145100,0
0,0,0,0,17506629200,0
0,0,0,0,17598712900,0
0,0,0,0,17715383600,0
0,0,0,0,18133872900,0
0,0,0,0,18136869600,0
0,0,0,0,18983518700,0
0,0,0,0,19053240000,0
0,0,0,0,19159569400,0
0,0,0,0,19591006300,0
0,0,0,0,19667306400,0
0,0,0,0,19946061300,0
0,0,0,0,21804822800,0
0,0,0,0,21842950900,0
0,0,0,0,22062660300,0
0,0,0,0,22594433300,0
0,0,0,0,22636864700,0
0,0,0,0,22741954400,0
0,0,0,0,22949880700,0
0,0,0,0,23692757300,0
0,0,0,0,23816851500,0
0,0,0,0,24085010500,0
0,0,0,0,24168231200,0
0,0,0,0,24248315300,0
0,0,0,0,24337181100,0
0,0,0,0,24456129800,0
0,0,0,0,24550275400,0
0,0,0,0,25507908400,0
0,0,0,0,25538884000,0
0,0,0,0,26249739100,0
0,0,0,0,27532008000,0
0,0,0,0,28422169700,0
0,0,0,0,28471318300,0
0,0,0,0,28577478500,0
0,0,0,0,28761078200,0
0,0,0,0,28886383300,0
0,0,0,0,28946488300,0
0,0,0,0,29209686900,0
0,0,0,0,30419177000,0
0,0,0,0,30460495800,0
0,0,0,0,30633984500,0
0,0,0,0,31006109600,0
0,0,0,0,31061964100,0
0,0,0,0,31286499400,0
0,0,0,0,34048386200,0
0,0,0,0,34511171800,0
0,0,0,0,34604350700,0
0,0,0,0,34674328300,0
0,0,0,0,34985255600,0
0,0,0,0,35366985100,0
0,0,0,0,35641104100,0
0,0,0,0,37630377100,0
0,0,0,0,37703891200,0
0,0,0,0,39193391800,0
0,0,0,0,39240276200,0
0,0,0,0,39380540700,0
0,0,0,0,39633989000,0
0,0,0,0,40280813600,0
0,0,0,0,41604726600,0
0,0,0,0,41821615300,0
0,0,0,0,41887675600,0
0,0,0,0,41993761200,0
0,0,0,0,42278408500,0
0,0,0,0,43045779900,0
0,0,0,0,43080876700,0
0,0,0,0,43135664100,0
0,0,0,0,43484308000,0
0,0,0,0,45720275600,0
0,0,0,0,47363896200,0
0,0,0,0,48099490200,0
0,0,0,0,49501070200,0
0,0,0,0,50605504500,0
0,0,0,0,50661696800,0
0,0,0,0,50737151700,0
0,0,0,0,50836747500,0
0,0,0,0,50935908600,0
0,0,0,0,51038758800,0
0,0,0,0,51327896900,0
0,0,0,0,51346691600,0
0,0,0,0,51453839300,0
0,0,0,0,51595190300,0
0,0,0,0,51757879700,0
0,0,0,0,51950096300,0
0,0,0,0,52051957800,0
0,0,0,0,52138483000,0
0,0,0,0,52687969100,0
0,0,0,0,52878147000,0
0,0,0,0,52963672100,0
0,0,0,0,53106759700,0
0,0,0,0,53472823200,0
0,0,0,0,53781576800,0
0,0,0,0,54495530000,0
0,0,0,0,56204583600,0
0,0,0,0,56375290100,0
0,0,0,0,56589266100,0
0,0,0,0,56667977400,0
0,0,0,0,56863919000,0
0,0,0,0,57120387900,0
0,0,0,0,57135745700,0
0,0,0,0,57652741500,0
0,0,0,0,58265916600,0
0,0,0,0,58290782000,0
0,0,0,0,58379444400,0
0,0,0,0,58537535500,0
0,0,0,0,59280044700,0
0,0,0,0,59605904300,0
0,0,0,0,59912921100,0
0,0,0,0,59994250500,0
0,0,0,0,60461262800,0
