Witness Weight,Time (ns)
0,563066500
2,1785667300
5,2369899200
9,2370399100
13,4638774400
18,4639829600
23,4639953800
29,4642396800
35,4960840000
42,4961112000
50,7995222100
57,10797894700
66,13418715500
74,13418969600
83,13447884900
93,14169838800
103,14194790500
114,14196331400
126,14270437600
139,18336832100
150,19767358800
164,25331072400
176,25332064700
189,25899888100
203,29606213200
218,29606445500
234,30713700900
249,30721940000
266,30738863400
282,32722080700
300,32812632800
317,33729059100
336,34177253800
354,35324534400
374,35539422200
395,43569327200
414,45311245300
436,49995097000
459,50538537200
