Witness Weight,Time (ns)
0,408150100
2,3985964200
5,5757781100
9,6770142400
14,6814026100
20,6920118500
24,6920220600
31,9160131700
39,19007910100
48,19637894900
58,19639149000
69,19639187800
81,23271735800
86,23437210300
99,23810557000
113,32547171700
128,32548519700
144,32548928800
161,40134218600
167,40134334800
174,40957390300
182,40957545700
191,40957676300
201,44014296200
219,44018713000
238,48693266800
249,48693445800
261,48693675800
274,54429159900
294,54429277300
315,67998168000
337,67998482600
