Witness Weight,Time (ns)
0,2744763600
2,2746203000
5,4460469300
9,8505701300
14,8506634700
20,8506828300
27,8664943400
35,8665107800
40,8669857500
49,8672732100
59,8673018600
70,11587826400
76,12779527900
81,14403186800
92,15134903100
104,15135324700
116,15136368300
129,15136609700
143,15136791500
158,15136915300
174,15137118100
191,15137386100
209,15137599100
228,15137796200
248,18938132200
253,18939719500
259,18940204700
266,20412330100
278,23411636600
299,23596972900
321,23597197900
344,23598249100
368,23598518500
393,23598685000
419,23598770000
446,23599009300
474,23599226900
503,23599416400
533,23613749800
554,23613942000
560,28062284300
572,28268867000
585,29708228800
599,29742187800
611,29742408700
624,34707716600
639,35430260100
670,35430431900
702,35430592700
735,35430741300
769,35430894500
804,35434038900
817,42805463200
853,42806609300
867,42807057600
904,42808638400
942,42812403500
981,42812701000
1021,42812796300
1062,42813063800
1104,42813271800
1147,49667873900
1155,52455222900
