Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,ns since start
16,17,15,16,12,23,17,15,19,16,12,19,13,15,16,13,20,19,19,19,19,13,21,20,14,20,22,21,21,16,17,17,16,19,20,12,13,14,17,15,12,12,19,17,20,13,15,18,21,21,15,14,23,12,14,13,14,15,21,11,15,13,18,18,20,21,20,18,20,22,16,20,17,13,21,17,17,21,20,14,15,13,19,13,21,18,14,19,14,14,7,21,20,13,14,21,14,17,12,13,1911511600
26,20,15,19,21,23,21,23,20,16,12,19,22,19,22,22,21,27,19,20,20,13,22,23,14,20,22,22,21,16,27,18,22,21,21,23,15,14,24,15,12,12,26,21,24,17,15,19,24,22,15,20,23,18,14,13,23,15,21,22,19,13,20,21,21,21,21,23,24,24,21,21,18,24,26,22,18,22,23,14,22,13,19,13,23,19,22,20,18,15,11,21,20,13,21,24,17,18,13,22,2107909500
26,20,15,19,21,23,21,25,20,16,12,19,22,19,22,22,21,27,27,20,20,13,22,24,22,20,22,22,21,29,28,18,22,27,21,23,15,14,24,15,12,12,26,21,24,17,15,19,24,22,15,20,23,18,14,23,25,15,21,22,19,13,20,21,21,21,21,23,28,25,22,21,18,24,26,24,18,22,25,18,22,22,19,13,23,19,22,20,18,15,11,24,30,13,21,24,17,18,13,22,2163587500
26,20,15,19,21,23,21,27,20,16,28,19,22,19,22,22,21,27,27,20,20,30,23,24,26,20,22,22,21,30,28,18,22,27,21,23,15,14,24,20,12,12,26,21,24,17,15,19,24,22,20,20,23,18,14,25,25,28,21,22,19,13,20,24,21,21,21,25,29,25,22,21,18,24,26,25,18,22,25,27,28,24,19,13,30,19,22,20,18,15,14,30,30,25,21,24,17,18,24,22,2239044200
26,31,30,19,22,24,32,27,27,16,29,24,30,32,30,22,31,31,28,20,20,33,23,25,29,20,22,28,22,30,29,18,22,28,21,29,29,14,33,32,30,12,27,21,24,32,15,19,31,22,30,27,23,18,14,30,26,29,22,23,33,13,20,25,21,28,22,30,29,25,22,28,18,24,26,30,18,23,30,32,31,27,20,13,31,31,29,20,24,15,30,33,30,29,22,24,17,33,28,27,2370980200
32,32,30,33,22,32,32,32,27,16,29,33,30,34,30,22,31,31,33,20,20,34,23,33,31,20,22,29,22,31,33,18,22,29,21,34,29,14,35,33,33,12,32,22,29,32,16,19,34,30,30,27,23,34,14,30,26,31,33,23,34,14,20,36,21,28,22,33,32,35,31,35,33,31,34,32,18,31,30,32,34,27,20,14,35,34,32,20,24,33,35,33,30,29,22,24,18,35,30,27,2484519600
33,35,33,35,22,32,32,32,27,16,29,33,30,36,32,33,34,31,36,34,33,34,23,33,35,20,34,29,35,31,33,18,37,29,33,35,35,14,35,33,35,12,34,22,38,33,16,35,34,35,32,31,23,34,14,30,26,31,36,36,34,14,20,36,21,28,37,33,35,37,31,36,35,31,34,36,19,36,36,32,34,27,35,14,35,37,34,20,31,33,37,34,30,35,36,24,18,36,30,28,2585300400
33,35,37,35,39,38,35,39,39,40,38,38,39,41,34,33,39,38,36,34,33,37,24,40,36,42,40,38,36,40,37,38,39,40,33,37,40,42,38,44,36,39,40,38,39,38,37,36,38,37,43,31,23,36,36,41,39,38,38,36,36,40,38,39,40,30,38,39,36,39,41,36,38,40,41,36,37,39,37,40,40,34,42,40,40,39,34,41,33,34,37,41,30,35,39,41,28,38,31,31,2891129700
33,35,37,35,39,38,35,39,39,40,38,38,39,41,34,33,39,38,36,34,38,37,24,40,36,42,40,38,36,40,37,38,39,40,33,38,44,42,38,44,43,39,40,42,40,38,37,36,38,40,45,31,23,36,36,41,39,39,39,36,36,40,38,39,40,30,38,39,36,39,41,36,38,40,41,36,37,40,37,40,40,34,42,40,40,39,34,41,37,34,37,41,34,35,39,41,28,38,31,31,2900904500
39,35,37,35,40,41,41,45,39,44,45,47,48,47,47,39,42,47,47,42,42,37,29,47,36,42,40,42,44,40,41,38,44,42,33,41,46,46,45,44,44,43,40,44,40,40,37,42,44,41,48,42,23,36,36,45,39,39,45,47,44,48,38,39,47,34,38,39,36,39,45,46,38,41,44,45,37,40,47,46,44,39,42,45,44,49,34,44,44,45,40,41,47,48,39,48,39,45,45,47,3114386400
39,44,37,35,40,41,41,45,39,44,45,47,48,47,47,39,42,47,47,43,42,37,29,47,54,42,40,49,44,40,41,38,52,42,49,41,46,52,45,44,52,44,40,46,40,41,55,42,44,41,48,42,48,36,55,45,39,39,45,47,52,48,38,39,47,34,38,53,36,39,45,46,39,41,52,45,48,40,47,55,44,39,42,55,45,50,34,45,45,45,40,41,47,48,39,48,39,45,45,48,3188751800
39,54,37,45,40,41,41,45,56,44,45,47,48,47,47,39,42,47,47,43,42,37,29,47,54,42,40,51,44,40,41,38,55,42,49,41,46,52,45,47,54,44,40,55,40,41,56,42,44,41,48,42,48,36,55,45,39,39,45,47,53,48,41,57,47,34,38,53,46,39,45,46,39,41,52,45,49,40,47,55,44,39,44,55,45,50,53,45,45,45,40,41,47,48,39,48,39,45,45,48,3231203300
40,64,63,59,46,43,41,45,61,44,45,47,48,47,47,39,42,47,47,43,42,42,29,47,57,56,54,52,57,61,41,52,59,42,57,41,46,58,45,53,54,44,62,58,51,41,56,42,44,41,48,42,61,59,55,45,53,56,45,47,53,48,57,57,47,34,42,53,60,62,45,46,39,41,52,59,57,43,47,61,45,55,56,57,45,57,56,45,45,45,40,58,47,48,59,48,39,45,45,48,3360132000
