Witness Weight,Time (ns)
0,1940019600
2,1940166900
5,1940511300
9,2472271900
14,2536183600
19,2536280100
25,2536366300
32,2536517100
40,2536608800
49,2911888400
54,4055560600
59,9185923300
69,11129821300
75,11131816700
80,11146969300
86,11164352600
92,11164878700
99,11203041300
105,11249486500
110,11265884000
121,11266213700
128,11266433600
140,11266762200
146,11281141600
157,20178568400
162,20778299900
169,28882757900
177,30983676000
184,30983781100
192,30983876500
201,30987448100
207,30990003600
215,32612289600
220,32612518800
226,32622451900
233,32626223200
245,32699537700
258,32700511100
272,37237196200
279,37238854900
285,42590019100
291,42596516000
304,47782501300
312,49849681000
320,49849850400
329,49884742500
338,55939403200
344,58851134000
354,58851302300
365,58851394500
