Witness Weight,Time (ns)
0,202157900
2,1233771200
5,1838058600
9,2636739900
14,2883221800
19,3027999900
25,3953599000
32,4725811400
40,4733342200
48,4955938300
54,5556532300
63,5556678100
72,5949117600
82,5951792900
91,8004997200
102,8339990300
109,9171189100
121,9697816300
129,9976711200
142,9978538400
152,11278530800
166,11338679600
175,11550604300
190,11558118800
205,12266332700
221,13070739400
238,13074363000
256,13074791800
275,13422835700
295,16723936600
304,16998730900
325,18343508400
335,19062151700
357,19062245000
380,19422839900
404,19844931300
414,20537453500
439,20540992900
465,21332678900
476,22363533700
503,23297646300
513,24259934700
524,24336191700
552,24972920300
581,25069844300
592,25073475000
604,26374759800
616,26510933100
628,26511421700
641,27281580000
654,27500785200
666,27579495000
682,30639130500
695,30815346900
725,30817019900
742,31175552700
753,31175888900
770,35084200900
788,37500590800
800,37511083200
831,37623757200
844,38574561100
857,38579853800
889,41016414700
903,41019940400
917,41094475700
950,41519272500
964,41523688200
979,42667411300
993,42726791600
1027,42832656300
1062,42833009700
1098,43525365800
1114,43781319800
1151,43782548700
1189,43960184900
1228,48311342300
1268,48324323600
1286,48326001300
1327,48326290900
1369,48331024200
1412,49938581100
1427,52997790700
1471,53024357300
1516,53042369100
1562,53058230400
1578,53074981400
1595,53112551900
1612,53113086500
1626,53117809600
1641,53130219900
1688,53157444700
1736,53157638000
1754,53301074500
1769,53303813400
1818,53403885600
1837,54924127800
1856,55021653900
