Witness Weight,Time (ns)
0,579468900
2,579707000
5,1873524100
9,1873724800
14,1873885500
20,1874028400
27,2939713000
35,2948452400
44,2950856800
54,2951025800
62,3634311500
73,3668082200
85,3668166600
98,4006116500
112,4270261800
127,4735630600
143,5725745900
160,5984895700
178,6809760200
197,7199149200
217,7475363300
238,8543958600
260,9811717100
283,9811900900
307,9935266900
332,11473039700
358,12654647000
385,12741531200
413,15040743100
442,15041015900
472,16434513600
503,16434706500
535,17004585700
544,18841764600
577,18841999300
611,18842157500
646,18904387200
682,19602677500
719,20539956300
757,20540914900
796,20541728300
836,21627949300
877,21628924900
919,21629260100
958,22899988100
1001,22913497000
1045,23973978600
1090,23981779700
1136,23982325600
1183,23982824300
1231,27500534800
1280,27505006700
1330,27510201700
1381,27510867900
1433,27511701900
1486,28014296100
1540,37833812200
1595,37861428700
1651,37861894300
1708,37862183400
1766,38273921300
1825,38274208000
1885,38291464700
1946,38292030400
2008,38868344300
2071,38868619700
2135,38869188400
2200,38872071400
2210,38872396200
2221,42203538900
2287,42235914500
2354,44198464700
2422,51525548500
2491,51525724100
2561,57706641400
2632,57708545700
