UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,108467500
0,0,0,0,0,0,0,0,0,165250200
0,0,0,0,1,0,0,0,1,296572700
1,0,0,0,2,0,0,0,3,357644300
1,0,0,0,3,0,0,0,7,458238400
3,0,0,0,7,0,0,0,17,563354500
4,0,0,0,13,0,0,0,22,669756700
6,0,0,0,16,0,0,0,27,768933500
9,0,0,0,21,0,0,0,30,858168300
10,0,0,0,25,0,0,0,35,960889000
13,0,0,0,32,0,0,0,43,1072568000
15,0,0,0,35,0,0,0,49,1204938300
16,0,0,0,37,0,0,0,55,1258899300
18,0,0,0,44,0,0,0,65,1403476200
19,0,0,0,46,0,0,0,67,1526458100
20,0,0,0,53,0,0,0,75,1577975400
24,0,0,0,63,0,0,0,87,1704952200
25,0,0,0,65,0,0,0,88,1809598700
25,0,0,0,65,0,0,0,88,1989159400
25,0,0,0,65,0,0,0,89,2117635700
30,0,0,0,88,0,0,0,124,2252483000
33,0,0,0,97,0,0,0,129,2429653100
38,0,0,0,120,0,0,0,188,2881196700
38,0,0,0,120,0,0,0,188,2886451600
38,0,0,0,120,0,0,0,188,3017732100
38,0,0,0,120,0,0,0,188,3124489000
38,0,0,0,121,0,0,0,215,3297893000
38,0,0,0,121,0,0,0,215,3389855000
41,0,0,0,134,0,0,0,279,4083323600
41,0,0,0,134,0,0,0,279,4158814500
41,0,0,0,134,0,0,0,279,4258330500
41,0,0,0,134,0,0,0,279,4693194600
41,0,0,0,134,0,0,0,279,4729691100
41,0,0,0,134,0,0,0,279,4870191500
41,0,0,0,135,0,0,0,333,4934910200
41,0,0,0,135,0,0,0,333,4966798400
41,0,0,0,136,0,0,0,333,5157475400
41,0,0,0,136,0,0,0,333,6588936700
50,0,0,0,171,0,0,0,654,7647825900
50,0,0,0,171,0,0,0,654,7716723100
56,0,0,0,187,0,0,0,695,8344659600
56,0,0,0,187,0,0,0,695,8361462100
61,0,0,0,207,0,0,0,744,8458481300
68,0,0,0,236,0,0,0,775,9004982300
71,0,0,0,243,0,0,0,808,9236536000
71,0,0,0,244,0,0,0,808,9291331000
72,0,0,0,245,0,0,0,823,9462867400
72,0,0,0,245,0,0,0,823,9491365300
72,0,0,0,246,0,0,0,829,9726167000
72,0,0,0,246,0,0,0,829,9746880100
72,0,0,0,246,0,0,0,829,9798441700
72,0,0,0,246,0,0,0,829,9858472900
72,0,0,0,246,0,0,0,829,9980780700
72,0,0,0,246,0,0,0,829,10063151300
72,0,0,0,246,0,0,0,829,10350645600
76,0,0,0,275,0,0,0,928,10611598600
76,0,0,0,275,0,0,0,928,10724418500
91,0,0,0,336,0,0,0,1070,11964189100
91,0,0,0,336,0,0,0,1070,11965749300
109,0,0,0,391,0,0,0,1116,12891512900
112,0,0,0,409,0,0,0,1163,13078717000
112,0,0,0,409,0,0,0,1163,13080556000
113,0,0,0,423,0,0,0,1201,13952635300
113,0,0,0,423,0,0,0,1201,13964101400
114,0,0,0,424,0,0,0,1222,14447534400
114,0,0,0,424,0,0,0,1222,14573841900
114,0,0,0,424,0,0,0,1222,15050680400
115,0,0,0,425,0,0,0,1222,15121521900
115,0,0,0,425,0,0,0,1222,15233818100
115,0,0,0,425,0,0,0,1312,15395917100
117,0,0,0,432,0,0,0,1354,15648810200
117,0,0,0,433,0,0,0,1369,15680711000
117,0,0,0,433,0,0,0,1369,15843381300
125,0,0,0,468,0,0,0,1453,16842563200
125,0,0,0,468,0,0,0,1453,16970039800
127,0,0,0,486,0,0,0,1570,18616881500
127,0,0,0,486,0,0,0,1570,18784569300
127,0,0,0,486,0,0,0,1570,19304943300
128,0,0,0,487,0,0,0,1595,20436170000
128,0,0,0,487,0,0,0,1595,20482511900
137,0,0,0,529,0,0,0,1744,20593313200
137,0,0,0,529,0,0,0,1744,20687339300
137,0,0,0,529,0,0,0,1744,20889474600
137,0,0,0,530,0,0,0,1756,20908871100
137,0,0,0,530,0,0,0,1756,20961876700
137,0,0,0,530,0,0,0,1756,21066280200
137,0,0,0,530,0,0,0,1756,21421927900
137,0,0,0,530,0,0,0,1756,21425591900
137,0,0,0,530,0,0,0,1756,21491698100
137,0,0,0,530,0,0,0,1756,21582540100
137,0,0,0,530,0,0,0,1756,21670122200
137,0,0,0,530,0,0,0,1756,21889464600
137,0,0,0,540,0,0,0,1894,22853446100
143,0,0,0,580,0,0,0,2029,23956217400
143,0,0,0,581,0,0,0,2029,23962668500
143,0,0,0,581,0,0,0,2029,24058883900
143,0,0,0,581,0,0,0,2029,24420776400
144,0,0,0,589,0,0,0,2152,25216941100
144,0,0,0,606,0,0,0,2177,26288542200
146,0,0,0,615,0,0,0,2199,26837313100
146,0,0,0,616,0,0,0,2234,26863755000
146,0,0,0,616,0,0,0,2234,27034258900
146,0,0,0,616,0,0,0,2234,27833870200
146,0,0,0,616,0,0,0,2234,27884928600
146,0,0,0,616,0,0,0,2234,28015206000
147,0,0,0,617,0,0,0,2296,28423559300
148,0,0,0,617,0,0,0,2296,28440616800
148,0,0,0,617,0,0,0,2296,28510401200
148,0,0,0,617,0,0,0,2296,28824370500
148,0,0,0,617,0,0,0,2296,28826307800
148,0,0,0,617,0,0,0,2296,28869220000
148,0,0,0,618,0,0,0,2333,29187369000
149,0,0,0,619,0,0,0,2333,29383683600
149,0,0,0,619,0,0,0,2333,29540541200
149,0,0,0,619,0,0,0,2333,29622248200
149,0,0,0,619,0,0,0,2333,29718443700
149,0,0,0,619,0,0,0,2393,29940770800
149,0,0,0,620,0,0,0,2601,31927402900
149,0,0,0,621,0,0,0,2626,31972422700
149,0,0,0,621,0,0,0,2626,32024754500
150,0,0,0,622,0,0,0,2626,32107622000
150,0,0,0,625,0,0,0,2653,32566359600
151,0,0,0,625,0,0,0,2653,32621583400
151,0,0,0,626,0,0,0,2653,32673472300
151,0,0,0,626,0,0,0,2699,32774150900
151,0,0,0,626,0,0,0,2699,33664645400
151,0,0,0,626,0,0,0,2699,33792239800
160,0,0,0,660,0,0,0,2753,33969832700
160,0,0,0,660,0,0,0,2753,33993472500
160,0,0,0,660,0,0,0,2753,34112288100
160,0,0,0,661,0,0,0,2758,34286501500
160,0,0,0,661,0,0,0,2758,34318821200
160,0,0,0,661,0,0,0,2758,34367252600
160,0,0,0,662,0,0,0,2781,34678883500
160,0,0,0,663,0,0,0,2803,34703361000
160,0,0,0,663,0,0,0,2803,34791590900
160,0,0,0,663,0,0,0,2803,34873125500
160,0,0,0,663,0,0,0,2803,35086897900
160,0,0,0,663,0,0,0,2803,35088821100
160,0,0,0,663,0,0,0,2803,35164027800
160,0,0,0,664,0,0,0,2803,35405487100
160,0,0,0,667,0,0,0,2902,36002041900
162,0,0,0,686,0,0,0,2946,36980626600
162,0,0,0,687,0,0,0,2970,37296722400
162,0,0,0,687,0,0,0,2970,37350744300
162,0,0,0,687,0,0,0,2970,37608182000
162,0,0,0,688,0,0,0,2982,38164663200
162,0,0,0,689,0,0,0,3054,38452650400
162,0,0,0,689,0,0,0,3054,38564011300
162,0,0,0,689,0,0,0,3054,38861218800
162,0,0,0,689,0,0,0,3054,38891580600
162,0,0,0,690,0,0,0,3054,38979310200
162,0,0,0,690,0,0,0,3054,39363778600
162,0,0,0,690,0,0,0,3054,40527478800
162,0,0,0,690,0,0,0,3054,40574676300
163,0,0,0,698,0,0,0,3372,41897111600
163,0,0,0,698,0,0,0,3372,41971984900
163,0,0,0,698,0,0,0,3372,42199708300
163,0,0,0,698,0,0,0,3372,42571021600
163,0,0,0,700,0,0,0,3443,43446020200
170,0,0,0,752,0,0,0,3469,43890102200
170,0,0,0,752,0,0,0,3469,43898252500
170,0,0,0,752,0,0,0,3469,44060680700
170,0,0,0,759,0,0,0,3536,44708109300
170,0,0,0,766,0,0,0,3592,44790915900
170,0,0,0,766,0,0,0,3592,44864317900
170,0,0,0,773,0,0,0,3646,46173469700
170,0,0,0,773,0,0,0,3646,46175120700
173,0,0,0,824,0,0,0,3690,46417175700
173,0,0,0,825,0,0,0,3690,46620748800
173,0,0,0,825,0,0,0,3690,46713423500
173,0,0,0,825,0,0,0,3690,46776876200
173,0,0,0,825,0,0,0,3690,47576673500
173,0,0,0,825,0,0,0,3697,47942397100
173,0,0,0,825,0,0,0,3697,48415547800
173,0,0,0,825,0,0,0,3697,48435847600
173,0,0,0,826,0,0,0,3816,48516899600
173,0,0,0,826,0,0,0,3816,48586432300
173,0,0,0,827,0,0,0,3816,49219017900
174,0,0,0,845,0,0,0,4003,50737003000
176,0,0,0,911,0,0,0,4057,51445858600
177,0,0,0,911,0,0,0,4057,51471242000
177,0,0,0,912,0,0,0,4057,51582018900
177,0,0,0,935,0,0,0,4146,52397893000
177,0,0,0,935,0,0,0,4146,52417052100
177,0,0,0,936,0,0,0,4146,52509302600
177,0,0,0,936,0,0,0,4157,52734951000
177,0,0,0,936,0,0,0,4157,53805717100
185,0,0,0,1059,0,0,0,4312,54480898900
185,0,0,0,1065,0,0,0,4366,55649023900
185,0,0,0,1065,0,0,0,4366,56195570400
185,0,0,0,1066,0,0,0,4422,56445803100
185,0,0,0,1066,0,0,0,4422,56484550600
185,0,0,0,1067,0,0,0,4447,56580763700
185,0,0,0,1068,0,0,0,4453,56719838800
185,0,0,0,1068,0,0,0,4453,56783563600
187,0,0,0,1115,0,0,0,4534,57334989700
187,0,0,0,1116,0,0,0,4534,57341081800
187,0,0,0,1116,0,0,0,4534,57376448000
187,0,0,0,1128,0,0,0,4541,58004817300
188,0,0,0,1153,0,0,0,4623,58964885700
189,0,0,0,1173,0,0,0,4713,60629115100
