Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685808204,384166000,0,1,14,821411800
2,1685808204,738447100,1,2,29,1207942500
3,1685808204,687264000,2,3,30,1208313500
10,1685808205,536780000,3,4,31,1208413000
11,1685808205,1027340900,10,5,40,1703260800
14,1685808205,882073900,11,6,41,1703282000
29,1685808205,496014800,14,7,42,1703795900
30,1685808205,495828600,29,8,43,1703969400
31,1685808205,495746900,30,9,44,1704142800
40,1685808206,257591400,31,10,51,1960761100
9,1685808205,1294949300,0,11,51,1962026000
22,1685808205,1693643800,9,12,93,2851345700
41,1685808206,1525374900,40,13,113,3228651600
42,1685808206,1524953700,41,14,113,3228739400
43,1685808206,1525078000,42,15,114,3228964400
4,1685808204,2707373800,0,16,114,3229369500
44,1685808206,1525400000,43,17,115,3229463400
5,1685808205,2638215800,4,18,115,3229569300
47,1685808206,1364309500,44,19,115,3242702800
7,1685808205,2629040800,5,20,115,3243261500
8,1685808205,2595855000,7,21,115,3243684800
23,1685808205,2086137600,22,22,115,3243949100
21,1685808205,4177602600,14,23,227,5323440800
26,1685808205,4129725500,23,24,227,5324194200
27,1685808205,4129343300,26,25,227,5324353500
35,1685808205,3922136900,27,26,227,5325045000
113,1685808207,2097677100,47,27,230,5326238600
114,1685808207,2097500400,113,28,231,5326359600
15,1685808205,4499070400,8,29,231,5326784200
115,1685808207,2812556800,114,30,253,6041936600
36,1685808205,5087119800,35,31,280,6490163300
19,1685808205,5362603000,3,32,282,6504904000
131,1685808207,3031123300,19,33,282,6505053500
132,1685808207,3030600000,131,34,282,6505200200
133,1685808207,3030534800,132,35,282,6505222000
152,1685808208,2502870100,133,36,282,6505464800
12,1685808205,5772298100,0,37,283,6506226800
24,1685808205,5329459800,12,38,283,6506349600
32,1685808205,5267819400,24,39,283,6506480000
68,1685808206,4114527000,21,40,283,6506957900
228,1685808209,1181389300,115,41,284,6507233400
229,1685808209,1181390700,228,42,285,6507381300
230,1685808209,1181391500,229,43,286,6507533300
231,1685808209,1181430100,230,44,287,6507686800
28,1685808205,5307263900,14,45,287,6508625200
69,1685808206,4115138000,68,46,287,6508644100
232,1685808209,1282804700,231,47,290,6610089500
284,1685808210,103075000,232,48,291,6610184900
285,1685808210,103192200,284,49,292,6610454300
286,1685808210,103566200,285,50,293,6610978100
45,1685808206,4854894500,21,51,293,6611277000
287,1685808210,103861300,286,52,294,6611429800
13,1685808205,6089170700,2,53,311,6902555400
18,1685808205,5918697200,13,54,311,6902797700
153,1685808208,2901597600,152,55,311,6904301500
16,1685808205,9185212400,3,56,489,10061392000
290,1685808211,6708058000,287,57,695,13318003200
291,1685808211,6708028200,290,58,696,13318185000
154,1685808208,9316055600,153,59,696,13318847700
125,1685808207,9929546800,14,60,696,13318882800
126,1685808207,9926184000,125,61,696,13319152500
292,1685808211,6801476500,291,62,701,13411808300
293,1685808211,6801268900,292,63,702,13412160500
294,1685808211,6801329800,293,64,703,13412629000
695,1685808217,111495900,294,65,705,13429353100
59,1685808206,11187579500,8,66,705,13429799300
20,1685808205,12287667800,16,67,705,13430973900
696,1685808217,113086500,695,68,706,13431148700
17,1685808205,12447780300,3,69,706,13431354600
701,1685808217,19927200,696,70,707,13431542700
702,1685808217,19795500,701,71,708,13431772600
64,1685808206,11102712600,32,72,708,13432197900
102,1685808207,10419735000,64,73,708,13443016100
39,1685808206,11772223900,15,74,708,13443055800
703,1685808217,30898400,702,75,709,13443374100
66,1685808206,11100683100,21,76,709,13443436000
76,1685808206,10920121700,66,77,709,13443533700
78,1685808206,10908717300,76,78,709,13443722700
53,1685808206,11333420000,36,79,709,13444158800
54,1685808206,11333181400,53,80,709,13444257600
55,1685808206,11332127200,54,81,709,13444480200
348,1685808212,5841729100,78,82,709,13444759800
349,1685808212,5840773300,348,83,709,13444780900
704,1685808217,32225200,703,84,710,13444955900
706,1685808217,14580600,704,85,711,13445590100
707,1685808217,14388200,706,86,712,13445764000
708,1685808217,220054200,707,87,728,13651668300
709,1685808217,208662600,708,88,729,13651949100
710,1685808217,207241400,709,89,730,13652182100
711,1685808217,207290100,710,90,731,13652766900
712,1685808217,207929300,711,91,732,13653575400
120,1685808207,10291599700,18,92,732,13653828800
121,1685808207,10292235300,120,93,732,13654577500
122,1685808207,10291942500,121,94,732,13654733400
34,1685808205,12303603400,14,95,732,13655567900
723,1685808217,141802400,712,96,733,13655763700
729,1685808218,4189400,723,97,734,13655989700
730,1685808218,38708200,729,98,740,13690762000
731,1685808218,38377200,730,99,741,13690996900
732,1685808218,37691200,731,100,742,13691160900
733,1685808218,35706400,732,101,743,13691307600
734,1685808218,35624700,733,102,744,13691490900
735,1685808218,28159300,734,103,745,13691654800
741,1685808218,924100,735,104,746,13691808200
742,1685808218,901100,741,105,747,13691972000
743,1685808218,1116800,742,106,748,13692337500
744,1685808218,1150300,743,107,749,13692520900
745,1685808218,1114700,744,108,750,13692678900
746,1685808218,1126100,745,109,751,13692847000
48,1685808206,11810309800,28,110,751,13693002000
159,1685808208,9581772400,126,111,751,13693118100
63,1685808206,11394660700,47,112,751,13694738800
74,1685808206,11179962700,69,113,751,13694918500
93,1685808207,10846234600,55,114,751,13695940400
142,1685808208,9871444300,45,115,751,13696418000
747,1685808218,5941900,746,116,752,13697812900
748,1685808218,5938400,747,117,753,13698192500
749,1685808218,6085000,748,118,754,13698514900
750,1685808218,6199200,749,119,755,13698793800
751,1685808218,6176200,750,120,756,13698936100
752,1685808218,1530600,751,121,757,13699313400
753,1685808218,133021500,752,122,764,13831118300
6,1685808205,13234906300,0,123,764,13831622100
83,1685808207,11095076900,6,124,764,13832029900
84,1685808207,11095251700,83,125,764,13832249900
70,1685808206,11432181100,47,126,764,13832389600
60,1685808206,11590364400,59,127,764,13833174100
62,1685808206,11562040300,60,128,764,13833329200
79,1685808206,11282423000,62,129,764,13833493700
167,1685808208,9632728300,79,130,764,13833652600
85,1685808207,11093875600,84,131,765,13845950500
754,1685808218,148102400,753,132,766,13846452700
141,1685808208,10067649600,45,133,766,13846926700
33,1685808205,14848886300,14,134,944,16116477800
103,1685808207,13054611100,93,135,944,16116791200
755,1685808218,2418719200,754,136,945,16117379900
355,1685808212,8314896400,349,137,945,16117701100
356,1685808212,8315263500,355,138,945,16118227300
357,1685808212,8315447800,356,139,945,16118404400
75,1685808206,13603707500,74,140,945,16118819200
756,1685808218,2420869100,755,141,946,16119799500
58,1685808206,13967211300,15,142,946,16120151400
123,1685808207,12755882600,58,143,946,16120733500
118,1685808207,12831279000,47,144,946,16125339100
272,1685808210,9748119200,118,145,946,16125513700
289,1685808211,9532858500,272,146,946,16126177100
144,1685808208,12150658500,39,147,947,16137640400
182,1685808208,11646205600,167,148,947,16137675600
51,1685808206,14547693100,20,149,987,16493940300
109,1685808207,13275845500,102,150,987,16494174100
90,1685808207,13687896100,75,151,987,16494719200
119,1685808207,13148453000,70,152,987,16495329400
328,1685808211,9152001000,182,153,987,16495635300
329,1685808211,9151677300,328,154,987,16495739500
25,1685808205,15306937600,11,155,987,16496271700
247,1685808210,10582921000,25,156,987,16496482700
248,1685808210,10565632100,247,157,987,16496576500
437,1685808213,7416485400,248,158,987,16496679200
438,1685808213,7414817000,437,159,987,16496709900
757,1685808218,2797894000,756,160,988,16497086000
764,1685808218,2666300700,757,161,989,16497288000
766,1685808218,2651202100,764,162,990,16497531700
