Peer ID,Neighbor ID,Network Delay (ns),Packet Loss (%),Weight
0,161,100000000,0,10104
0,188,100000000,0,10104
0,52,100000000,0,10104
0,99,100000000,0,10104
0,12,100000000,0,10104
0,34,100000000,0,10104
0,175,100000000,0,10104
0,28,100000000,0,10104
1,88,100000000,0,5745
1,184,100000000,0,5745
1,131,100000000,0,5745
1,137,100000000,0,5745
1,13,100000000,0,5745
1,53,100000000,0,5745
1,90,100000000,0,5745
1,38,100000000,0,5745
1,14,100000000,0,5745
1,27,100000000,0,5745
2,84,100000000,0,4154
2,60,100000000,0,4154
2,93,100000000,0,4154
2,111,100000000,0,4154
2,172,100000000,0,4154
2,97,100000000,0,4154
2,82,100000000,0,4154
2,76,100000000,0,4154
2,88,100000000,0,4154
2,134,100000000,0,4154
3,145,100000000,0,3300
3,186,100000000,0,3300
3,90,100000000,0,3300
3,25,100000000,0,3300
3,51,100000000,0,3300
3,71,100000000,0,3300
3,170,100000000,0,3300
3,192,100000000,0,3300
4,103,100000000,0,2760
4,102,100000000,0,2760
4,118,100000000,0,2760
4,60,100000000,0,2760
4,146,100000000,0,2760
4,167,100000000,0,2760
4,141,100000000,0,2760
5,78,100000000,0,2385
5,29,100000000,0,2385
5,32,100000000,0,2385
5,28,100000000,0,2385
5,14,100000000,0,2385
5,132,100000000,0,2385
6,86,100000000,0,2109
6,115,100000000,0,2109
6,101,100000000,0,2109
6,15,100000000,0,2109
6,83,100000000,0,2109
6,37,100000000,0,2109
6,156,100000000,0,2109
6,29,100000000,0,2109
7,30,100000000,0,1895
7,88,100000000,0,1895
7,45,100000000,0,1895
7,35,100000000,0,1895
7,191,100000000,0,1895
7,16,100000000,0,1895
7,181,100000000,0,1895
8,81,100000000,0,1724
8,186,100000000,0,1724
8,135,100000000,0,1724
8,82,100000000,0,1724
8,126,100000000,0,1724
8,38,100000000,0,1724
8,84,100000000,0,1724
9,175,100000000,0,1585
9,191,100000000,0,1585
9,133,100000000,0,1585
9,187,100000000,0,1585
9,88,100000000,0,1585
10,63,100000000,0,1469
10,57,100000000,0,1469
10,23,100000000,0,1469
10,120,100000000,0,1469
10,127,100000000,0,1469
10,184,100000000,0,1469
10,168,100000000,0,1469
10,141,100000000,0,1469
10,99,100000000,0,1469
10,117,100000000,0,1469
10,14,100000000,0,1469
11,33,100000000,0,1370
11,128,100000000,0,1370
11,121,100000000,0,1370
11,54,100000000,0,1370
11,159,100000000,0,1370
11,132,100000000,0,1370
11,138,100000000,0,1370
11,165,100000000,0,1370
11,16,100000000,0,1370
11,79,100000000,0,1370
11,193,100000000,0,1370
11,45,100000000,0,1370
12,185,100000000,0,1285
12,97,100000000,0,1285
12,0,100000000,0,1285
12,116,100000000,0,1285
12,194,100000000,0,1285
13,146,100000000,0,1211
13,62,100000000,0,1211
13,40,100000000,0,1211
13,72,100000000,0,1211
13,122,100000000,0,1211
13,142,100000000,0,1211
13,114,100000000,0,1211
13,173,100000000,0,1211
13,149,100000000,0,1211
