Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
272,1685538535,2182585500,112,140,455,6407529800
273,1685538535,2182555200,272,141,455,6407666100
91,1685538533,4461893100,34,142,455,6407796300
274,1685538535,2175797000,273,143,455,6408100200
61,1685538532,4863169900,51,144,455,6408224300
115,1685538533,4162653900,61,145,455,6408339800
198,1685538534,2890830500,184,146,455,6408455900
170,1685538534,3455310500,121,147,455,6408594100
32,1685538532,5453324600,11,148,455,6408721800
35,1685538532,5418442300,32,149,455,6408828500
219,1685538534,2640778500,35,150,455,6408947400
220,1685538534,2640776300,219,151,455,6409054100
127,1685538533,4029166700,56,152,455,6409474200
53,1685538532,5161394100,28,153,455,6409907200
119,1685538533,4216044100,118,154,464,6522320300
189,1685538534,3143852100,170,155,464,6522736400
151,1685538533,4178099300,115,156,501,6856929300
263,1685538535,2682188200,193,157,501,6857234200
312,1685538535,2213325100,198,158,501,6857953200
430,1685538537,637728400,312,159,501,6858075300
431,1685538537,636973900,430,160,501,6858193700
432,1685538537,636955600,431,161,501,6858304800
239,1685538535,2856038700,238,162,503,6860456500
88,1685538533,4943150500,74,163,503,6861644500
275,1685538535,2630486500,274,164,503,6863068400
276,1685538535,2630413900,275,165,503,6863094700
375,1685538536,1088171700,307,166,504,6863784700
133,1685538533,4371665800,77,167,504,6863964500
190,1685538534,3434962500,186,168,504,6864319000
286,1685538535,2564399000,190,169,504,6864529000
200,1685538534,3252741500,88,170,505,6875623200
410,1685538537,879767500,375,171,513,6920477600
295,1685538535,2566911300,263,172,513,6920692000
502,1685538538,139648700,410,173,524,6998135700
503,1685538538,521743800,502,174,562,7380559300
504,1685538538,747369200,503,175,579,7611047000
513,1685538538,1337584500,504,176,624,8257938300
524,1685538538,1260448500,513,177,625,8258342900
530,1685538538,1160864800,524,178,626,8258943900
100,1685538533,6267794400,80,179,626,8260163500
89,1685538533,6335847800,55,180,626,8260548500
563,1685538538,1542531800,530,181,659,8923928200
256,1685538535,4789746100,145,182,659,8924315400
277,1685538535,4691064100,256,183,659,8924399300
109,1685538533,6747629200,100,184,659,8924597900
154,1685538533,6155048500,151,185,659,8924871200
289,1685538535,4618870000,276,186,659,8925167800
310,1685538535,4767229200,289,187,715,9393870200
75,1685538532,7583864400,46,188,715,9394815000
87,1685538533,7502549500,70,189,715,9395798100
352,1685538536,4091523500,310,190,715,9396420900
353,1685538536,4091963300,352,191,715,9397003800
203,1685538534,5736330500,91,192,715,9397163400
287,1685538535,5093827500,286,193,716,9397296100
288,1685538535,5093736000,287,194,716,9397438700
356,1685538536,4062837800,288,195,716,9397469300
105,1685538533,7336593900,34,196,716,9398064500
153,1685538533,6633154500,120,197,716,9398809400
212,1685538534,5662507300,153,198,716,9399050900
213,1685538534,5660906400,212,199,716,9399237900
214,1685538534,5660999000,213,200,717,9399441900
411,1685538537,3345026100,214,201,717,9399553600
412,1685538537,3344423300,411,202,717,9399728800
413,1685538537,3344371700,412,203,717,9399799500
226,1685538535,5531659700,189,204,717,9400815000
25,1685538531,8621620900,8,205,717,9401378800
580,1685538538,1790333200,563,206,718,9401632800
264,1685538535,5220537800,25,207,719,9402514800
265,1685538535,5217255500,264,208,719,9402697000
625,1685538539,1144553600,580,209,721,9402879500
278,1685538535,5171714700,121,210,721,9406924700
279,1685538535,5168720800,278,211,721,9407079600
383,1685538537,3566661000,279,212,721,9407205600
626,1685538539,1148673100,625,213,722,9407384600
641,1685538539,881446900,626,214,723,9407875500
718,1685538540,6755300,641,215,724,9408225300
128,1685538533,7026634600,77,216,724,9409254600
195,1685538534,5933542600,172,217,724,9409365400
721,1685538540,7295600,718,218,725,9410031500
414,1685538537,3353525200,413,219,725,9410380400
360,1685538536,4067052000,356,220,725,9410696900
240,1685538535,5406139500,239,221,725,9410835500
296,1685538535,5044740700,240,222,725,9411991200
290,1685538535,5092566200,203,223,725,9412790900
283,1685538535,5120128500,172,224,725,9413525400
284,1685538535,5117391900,283,225,725,9413688000
285,1685538535,5117323200,284,226,725,9413859000
461,1685538537,2945300900,285,227,725,9414109700
532,1685538538,2260273400,461,228,725,9414413000
533,1685538538,2260714300,532,229,725,9414983900
534,1685538538,2255387400,533,230,725,9415196600
535,1685538538,2255596600,534,231,726,9415574300
536,1685538538,2252271500,535,232,726,9415785500
537,1685538538,2229838200,536,233,726,9415891700
539,1685538538,2215635700,537,234,726,9416228300
