Number of Requested Messages,ns since start
0,165933900
0,231047800
0,372720400
0,429740100
0,531070100
0,633643900
0,917513300
0,989173600
0,1235001400
0,1458515100
0,1481726300
0,1598750000
0,2019061300
0,2245341000
0,2318104600
0,2578017100
0,2587744700
0,2927499600
0,2954090000
0,3160323100
0,3234372100
0,3328591400
0,4096967100
0,4191346700
0,4662471600
0,4707117500
0,6129439900
0,6913478300
0,7662499600
0,7671695400
0,8010593300
0,8351544200
0,8460543900
0,8871147200
0,10825175800
0,10898592200
0,11129713300
0,13717576600
0,13725283100
0,13826180800
0,13922307400
0,15025812600
0,15090835800
0,15361339500
0,15503796400
0,15529502100
0,16514845300
0,16519779100
0,16655333100
0,16886885500
0,16988124800
0,17097550000
0,17667256700
0,17676228600
0,18882976200
0,19164393400
0,20418954500
0,21357037000
0,22590686500
0,22733162500
0,22857236500
0,23069885700
0,23109656200
0,23442460600
0,23806303200
0,24271848900
0,25204317900
0,25928987300
0,26284896400
0,26425088200
0,26620185600
0,26997650200
0,27617410500
0,27666727500
0,27735771400
0,27793258600
0,27952064600
0,27985711000
0,28470662600
0,28613860600
0,28731496600
0,28776969900
0,29448415900
0,29773581100
0,29897614500
0,29933850500
0,30066293600
0,30474238100
0,30660351300
0,30931212200
0,30936046400
0,31945292300
0,32530839800
0,32681210200
0,34338033500
0,34365114900
0,34835642300
0,35870461300
0,35912093000
0,36056834600
0,36325173700
0,37629556400
0,37697973500
0,37765451100
0,37787389700
0,38880658600
0,41527623100
0,41562785900
0,41744422900
0,41928119300
0,42075815700
0,42164943600
0,44223728000
0,44876292400
0,44877813800
0,45136235400
0,45324318800
0,45408604200
0,46134438600
0,46574303500
0,47205092600
0,47997573900
0,49651544900
0,49731199500
0,49777028400
0,49871942700
0,49964285600
0,50074724600
0,50339102900
0,50346971400
0,51070973100
0,52002306900
0,52046748600
0,52273625900
0,52980009100
0,52982904000
0,53029770100
0,54258484400
0,54264110700
0,55217600900
0,55225187900
0,55273465900
0,55683012800
0,55737413900
0,55984630300
0,56151900400
0,56424975000
0,56454273900
0,56459469600
0,56837175100
0,56847162600
0,57075236000
0,57351243400
0,57532337900
0,57585616100
0,57777923600
0,57816351800
0,58089459500
0,58265804900
0,58503449300
0,59179441700
0,60164595800
0,63016407800
