UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,142425000
0,0,0,0,0,0,0,0,0,223732200
1,0,0,0,2,0,0,0,2,327487100
1,0,0,0,4,0,0,0,5,421960200
1,0,0,0,5,0,0,0,8,521443600
1,0,0,0,6,0,0,0,12,623720400
2,0,0,0,9,0,0,0,15,726452700
3,0,0,0,12,0,0,0,20,823865000
5,0,0,0,16,0,0,0,28,1029815100
6,0,0,0,19,0,0,0,33,1105195700
6,0,0,0,19,0,0,0,33,1147190800
12,0,0,0,35,0,0,0,50,1536870900
13,0,0,0,36,0,0,0,50,1714654000
13,0,0,0,36,0,0,0,50,1852250600
17,0,0,0,45,0,0,0,71,2124225300
17,0,0,0,45,0,0,0,71,2320861000
31,0,0,0,91,0,0,0,127,2877610900
42,0,0,0,130,0,0,0,181,3525261800
42,0,0,0,130,0,0,0,181,3627611400
42,0,0,0,130,0,0,0,181,3744489900
42,0,0,0,131,0,0,0,181,4027347700
42,0,0,0,131,0,0,0,194,4186080600
42,0,0,0,131,0,0,0,194,4228529200
54,0,0,0,179,0,0,0,218,4772226200
58,0,0,0,205,0,0,0,253,4792935900
58,0,0,0,205,0,0,0,253,4887757300
59,0,0,0,207,0,0,0,265,4961462700
61,0,0,0,220,0,0,0,272,5105680900
65,0,0,0,230,0,0,0,278,5175591900
65,0,0,0,232,0,0,0,297,5407904400
66,0,0,0,241,0,0,0,313,5626730600
66,0,0,0,241,0,0,0,313,5632356000
66,0,0,0,242,0,0,0,341,6530275300
66,0,0,0,243,0,0,0,375,6583680300
88,0,0,0,324,0,0,0,515,8080490500
119,0,0,0,455,0,0,0,628,9459482000
119,0,0,0,455,0,0,0,628,9573883300
123,0,0,0,486,0,0,0,697,9757603100
123,0,0,0,487,0,0,0,697,9799839500
