Witness Weight,Time (ns)
0,250000
2,799800
5,303433100
9,1495515500
14,1640478700
20,1640794300
27,2543149800
35,2544124700
44,2546147200
54,2546775900
65,3514533300
77,3516494500
90,3690499700
104,3691137400
119,3873739300
135,3874797200
152,3875110600
170,3875729000
189,3876071600
209,3876420600
230,3891062700
252,3892916100
275,3894012700
299,4150335800
324,4161620900
350,5736836000
354,5737066200
381,5737668400
386,5737786000
414,5738546200
443,5739218500
473,5739432100
504,5739662300
536,10130273700
569,10790515400
603,10790977300
638,10791224100
674,14571795600
711,14572518300
749,14572978200
788,16226450900
828,16968678900
869,16969081200
911,16969706900
954,16981805700
998,18502978600
1043,18503413900
1089,18503650300
1136,18505353100
1184,18505657700
1233,18505935800
1283,18519778800
1334,27076234900
1386,27076826000
1439,27077194600
1493,27090582600
1548,27091201500
1604,28391602600
1661,28392232000
1719,28403444900
1778,29361394500
1784,29361674000
1791,29362061200
1799,29362655700
1808,29441401500
1818,29910380000
1878,30355990400
1939,30627266800
2001,32834332400
2012,33183680900
2024,34307222900
2037,35262439200
2100,37722939000
2114,37994625000
2178,37994944200
2243,38522192900
2309,38564055200
2376,40720471600
2444,40720794500
2513,40721077700
2583,40721738900
2654,40737654300
2726,40938194000
2799,40943662700
2873,40944368100
2948,40945125000
3024,40946895300
3101,41274590800
3179,41275124300
3258,41275768500
3338,41276064300
3419,41276394700
3501,41276960900
3584,41288881200
3668,41289655500
3753,41290462000
3839,41545346900
3926,41545916300
4014,42285605800
4103,62570203200
4193,66755517900
4208,66760494900
4299,66761485200
4391,66762786300
4484,68273656100
4578,68515277500
4673,68516144000
4769,68516898600
4866,68517465300
4964,68518675900
