UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,288856100
0,0,0,0,0,0,0,0,0,389615900
0,0,0,0,1,0,0,0,1,435113400
1,0,0,0,2,0,0,0,2,535740100
1,0,0,0,3,0,0,0,4,735895600
1,0,0,0,3,0,0,0,4,745083000
1,0,0,0,4,0,0,0,6,893520000
2,0,0,0,5,0,0,0,8,950925100
2,0,0,0,6,0,0,0,9,1051748000
3,0,0,0,7,0,0,0,12,1136901000
4,0,0,0,11,0,0,0,16,1235305100
6,0,0,0,15,0,0,0,19,1335397300
7,0,0,0,17,0,0,0,20,1466769300
8,0,0,0,20,0,0,0,24,1543921900
8,0,0,0,23,0,0,0,27,1634941600
8,0,0,0,27,0,0,0,34,1735458000
8,0,0,0,28,0,0,0,34,1836093800
9,0,0,0,34,0,0,0,41,1963502600
10,0,0,0,35,0,0,0,41,2049883400
12,0,0,0,40,0,0,0,49,2152721800
12,0,0,0,43,0,0,0,53,2239941000
13,0,0,0,48,0,0,0,58,2349748000
14,0,0,0,50,0,0,0,59,2450255400
15,0,0,0,54,0,0,0,62,2538723700
16,0,0,0,57,0,0,0,63,2639244100
17,0,0,0,59,0,0,0,65,2743941100
18,0,0,0,61,0,0,0,67,2837481300
19,0,0,0,63,0,0,0,74,2934552400
19,0,0,0,65,0,0,0,78,3044743800
19,0,0,0,68,0,0,0,80,3147462400
22,0,0,0,80,0,0,0,86,3260598600
22,0,0,0,80,0,0,0,86,3334569800
23,0,0,0,85,0,0,0,96,3447526000
23,0,0,0,89,0,0,0,100,3543799800
23,0,0,0,92,0,0,0,102,3675133800
26,0,0,0,99,0,0,0,107,3741423500
27,0,0,0,101,0,0,0,113,3837118600
28,0,0,0,104,0,0,0,116,3973548400
28,0,0,0,109,0,0,0,122,4046006400
29,0,0,0,114,0,0,0,125,4147123400
30,0,0,0,121,0,0,0,130,4284534400
30,0,0,0,121,0,0,0,130,4345851500
31,0,0,0,129,0,0,0,137,4439512600
32,0,0,0,132,0,0,0,138,4568039900
33,0,0,0,134,0,0,0,145,4665347700
33,0,0,0,135,0,0,0,148,4744619000
33,0,0,0,139,0,0,0,153,4853622900
34,0,0,0,142,0,0,0,155,4934621800
36,0,0,0,149,0,0,0,161,5037927300
36,0,0,0,154,0,0,0,167,5137221400
36,0,0,0,155,0,0,0,167,5241799800
38,0,0,0,163,0,0,0,171,5338243200
38,0,0,0,169,0,0,0,176,5659582000
39,0,0,0,174,0,0,0,181,5745645500
39,0,0,0,174,0,0,0,181,5777234600
40,0,0,0,176,0,0,0,194,5911440200
41,0,0,0,181,0,0,0,200,5994099100
41,0,0,0,181,0,0,0,200,6059035300
41,0,0,0,182,0,0,0,201,6143967400
41,0,0,0,183,0,0,0,203,6243144300
41,0,0,0,183,0,0,0,203,6354230700
41,0,0,0,184,0,0,0,203,6672596000
41,0,0,0,184,0,0,0,203,6825755200
41,0,0,0,184,0,0,0,213,6838550600
41,0,0,0,184,0,0,0,213,6943001500
41,0,0,0,184,0,0,0,213,7035232100
41,0,0,0,184,0,0,0,213,7137571800
41,0,0,0,185,0,0,0,251,7359897100
42,0,0,0,188,0,0,0,255,7372902400
57,0,0,0,254,0,0,0,278,7656861300
58,0,0,0,259,0,0,0,286,7843201100
58,0,0,0,259,0,0,0,286,7943993200
58,0,0,0,259,0,0,0,286,8071725000
58,0,0,0,260,0,0,0,286,8175174900
58,0,0,0,260,0,0,0,286,8285952700
58,0,0,0,260,0,0,0,297,8431443800
58,0,0,0,260,0,0,0,297,8449582300
58,0,0,0,260,0,0,0,297,8646164600
58,0,0,0,261,0,0,0,322,8664246400
60,0,0,0,276,0,0,0,328,8741653100
61,0,0,0,288,0,0,0,338,9091562800
61,0,0,0,288,0,0,0,354,9154940000
61,0,0,0,288,0,0,0,354,9249752800
64,0,0,0,319,0,0,0,377,9585748700
64,0,0,0,319,0,0,0,377,9588680200
64,0,0,0,320,0,0,0,380,9723717300
64,0,0,0,320,0,0,0,380,9755029100
70,0,0,0,347,0,0,0,397,10003775700
71,0,0,0,354,0,0,0,402,10180204800
71,0,0,0,354,0,0,0,402,10197010200
71,0,0,0,354,0,0,0,402,10247675200
71,0,0,0,355,0,0,0,409,10379522800
71,0,0,0,355,0,0,0,409,10491104300
71,0,0,0,355,0,0,0,409,10553418200
71,0,0,0,355,0,0,0,409,10704560500
71,0,0,0,356,0,0,0,409,10832956200
71,0,0,0,356,0,0,0,409,10836029100
71,0,0,0,356,0,0,0,409,10954982200
71,0,0,0,362,0,0,0,455,11159617900
75,0,0,0,375,0,0,0,471,11320648300
75,0,0,0,375,0,0,0,471,11447949000
75,0,0,0,376,0,0,0,484,11642446100
78,0,0,0,396,0,0,0,506,11737446800
87,0,0,0,441,0,0,0,525,12188337800
88,0,0,0,449,0,0,0,535,12725184700
88,0,0,0,449,0,0,0,535,12802651100
88,0,0,0,449,0,0,0,561,12900973100
88,0,0,0,452,0,0,0,586,13365202100
88,0,0,0,452,0,0,0,586,13430546100
88,0,0,0,452,0,0,0,586,13503794800
88,0,0,0,452,0,0,0,586,13608687100
88,0,0,0,453,0,0,0,596,13661908900
93,0,0,0,470,0,0,0,613,14249329400
94,0,0,0,471,0,0,0,639,14252326100
96,0,0,0,481,0,0,0,662,14703522800
97,0,0,0,484,0,0,0,662,15111963200
101,0,0,0,497,0,0,0,673,15356682800
101,0,0,0,497,0,0,0,673,15571039500
106,0,0,0,519,0,0,0,709,16406808200
106,0,0,0,519,0,0,0,709,16434623800
106,0,0,0,520,0,0,0,727,16580941200
106,0,0,0,520,0,0,0,727,16796016600
106,0,0,0,520,0,0,0,727,16892224500
109,0,0,0,546,0,0,0,763,17122463900
113,0,0,0,580,0,0,0,777,17415945300
113,0,0,0,580,0,0,0,777,17420351200
113,0,0,0,581,0,0,0,777,17796183900
113,0,0,0,581,0,0,0,796,18576340900
113,0,0,0,582,0,0,0,833,18600829800
113,0,0,0,582,0,0,0,833,18702553100
113,0,0,0,582,0,0,0,833,18864369500
113,0,0,0,582,0,0,0,833,19041017400
113,0,0,0,582,0,0,0,833,19049191700
113,0,0,0,582,0,0,0,833,19285760500
113,0,0,0,582,0,0,0,833,19318458300
113,0,0,0,584,0,0,0,847,19826365800
113,0,0,0,585,0,0,0,886,19905952300
113,0,0,0,585,0,0,0,886,19998403900
113,0,0,0,586,0,0,0,893,20416798000
113,0,0,0,586,0,0,0,893,20450941800
113,0,0,0,586,0,0,0,893,20766138700
113,0,0,0,587,0,0,0,893,20913769300
113,0,0,0,589,0,0,0,945,21610397100
113,0,0,0,592,0,0,0,961,21663128900
114,0,0,0,594,0,0,0,966,21832078500
124,0,0,0,630,0,0,0,1023,23836945700
124,0,0,0,631,0,0,0,1087,24345254500
124,0,0,0,631,0,0,0,1087,24407062400
125,0,0,0,632,0,0,0,1130,25204305300
125,0,0,0,632,0,0,0,1130,25249683800
134,0,0,0,656,0,0,0,1163,25526250700
134,0,0,0,657,0,0,0,1163,25607969600
134,0,0,0,657,0,0,0,1164,25683170800
134,0,0,0,657,0,0,0,1164,25758483300
160,0,0,0,972,0,0,0,1243,27546920100
160,0,0,0,973,0,0,0,1243,27677417300
166,0,0,0,1035,0,0,0,1296,28672117700
166,0,0,0,1035,0,0,0,1296,28754831300
166,0,0,0,1035,0,0,0,1303,28858707400
166,0,0,0,1035,0,0,0,1303,29105304600
166,0,0,0,1035,0,0,0,1303,29132911400
166,0,0,0,1035,0,0,0,1303,29207948700
166,0,0,0,1036,0,0,0,1317,29243689700
166,0,0,0,1042,0,0,0,1327,29558884300
166,0,0,0,1042,0,0,0,1327,29572657500
166,0,0,0,1043,0,0,0,1338,29644275400
166,0,0,0,1043,0,0,0,1338,29752091100
