Peer ID,Neighbor ID,Network Delay (ns),Packet Loss (%),Weight
0,38,100000000,0,10104
0,20,100000000,0,10104
0,104,100000000,0,10104
0,195,100000000,0,10104
0,5,100000000,0,10104
0,115,100000000,0,10104
0,76,100000000,0,10104
1,39,100000000,0,5745
1,16,100000000,0,5745
1,164,100000000,0,5745
1,161,100000000,0,5745
1,165,100000000,0,5745
1,45,100000000,0,5745
1,26,100000000,0,5745
2,145,100000000,0,4154
2,140,100000000,0,4154
2,149,100000000,0,4154
2,42,100000000,0,4154
2,187,100000000,0,4154
2,88,100000000,0,4154
2,181,100000000,0,4154
2,186,100000000,0,4154
2,14,100000000,0,4154
2,73,100000000,0,4154
2,171,100000000,0,4154
2,115,100000000,0,4154
3,192,100000000,0,3300
3,106,100000000,0,3300
3,111,100000000,0,3300
3,78,100000000,0,3300
3,100,100000000,0,3300
3,183,100000000,0,3300
3,134,100000000,0,3300
3,179,100000000,0,3300
3,43,100000000,0,3300
3,178,100000000,0,3300
3,115,100000000,0,3300
3,191,100000000,0,3300
4,167,100000000,0,2760
4,86,100000000,0,2760
4,18,100000000,0,2760
4,149,100000000,0,2760
4,67,100000000,0,2760
4,137,100000000,0,2760
5,0,100000000,0,2385
5,90,100000000,0,2385
5,193,100000000,0,2385
5,59,100000000,0,2385
5,47,100000000,0,2385
5,51,100000000,0,2385
5,33,100000000,0,2385
5,86,100000000,0,2385
5,65,100000000,0,2385
6,50,100000000,0,2109
6,87,100000000,0,2109
6,139,100000000,0,2109
6,123,100000000,0,2109
6,141,100000000,0,2109
6,120,100000000,0,2109
6,101,100000000,0,2109
6,110,100000000,0,2109
6,177,100000000,0,2109
6,68,100000000,0,2109
7,34,100000000,0,1895
7,75,100000000,0,1895
7,177,100000000,0,1895
7,187,100000000,0,1895
7,144,100000000,0,1895
8,81,100000000,0,1724
8,63,100000000,0,1724
8,124,100000000,0,1724
8,57,100000000,0,1724
8,77,100000000,0,1724
8,167,100000000,0,1724
8,188,100000000,0,1724
8,164,100000000,0,1724
8,199,100000000,0,1724
8,112,100000000,0,1724
8,127,100000000,0,1724
8,33,100000000,0,1724
9,134,100000000,0,1585
9,37,100000000,0,1585
9,197,100000000,0,1585
9,116,100000000,0,1585
9,108,100000000,0,1585
9,85,100000000,0,1585
10,76,100000000,0,1469
10,36,100000000,0,1469
10,111,100000000,0,1469
10,142,100000000,0,1469
10,131,100000000,0,1469
10,74,100000000,0,1469
10,182,100000000,0,1469
10,56,100000000,0,1469
10,175,100000000,0,1469
11,34,100000000,0,1370
11,100,100000000,0,1370
11,149,100000000,0,1370
11,26,100000000,0,1370
11,163,100000000,0,1370
11,93,100000000,0,1370
12,153,100000000,0,1285
12,97,100000000,0,1285
12,108,100000000,0,1285
12,74,100000000,0,1285
12,105,100000000,0,1285
12,102,100000000,0,1285
12,142,100000000,0,1285
13,191,100000000,0,1211
13,140,100000000,0,1211
13,157,100000000,0,1211
13,20,100000000,0,1211
13,189,100000000,0,1211
13,110,100000000,0,1211
14,142,100000000,0,1146
14,57,100000000,0,1146
14,2,100000000,0,1146
14,44,100000000,0,1146
14,29,100000000,0,1146
14,133,100000000,0,1146
14,191,100000000,0,1146
14,103,100000000,0,1146
15,136,100000000,0,1088
15,75,100000000,0,1088
15,30,100000000,0,1088
15,131,100000000,0,1088
15,108,100000000,0,1088
15,182,100000000,0,1088
15,41,100000000,0,1088
15,38,100000000,0,1088
15,34,100000000,0,1088
16,107,100000000,0,1037
16,126,100000000,0,1037
16,137,100000000,0,1037
16,114,100000000,0,1037
16,1,100000000,0,1037
16,143,100000000,0,1037
16,101,100000000,0,1037
17,184,100000000,0,990
17,32,100000000,0,990
17,70,100000000,0,990
17,26,100000000,0,990
17,31,100000000,0,990
17,182,100000000,0,990
17,144,100000000,0,990
18,195,100000000,0,948
18,176,100000000,0,948
18,64,100000000,0,948
18,98,100000000,0,948
18,93,100000000,0,948
18,58,100000000,0,948
18,149,100000000,0,948
18,144,100000000,0,948
18,4,100000000,0,948
18,120,100000000,0,948
19,136,100000000,0,910
19,193,100000000,0,910
19,147,100000000,0,910
19,122,100000000,0,910
19,152,100000000,0,910
19,115,100000000,0,910
19,82,100000000,0,910
19,114,100000000,0,910
19,105,100000000,0,910
19,143,100000000,0,910
19,155,100000000,0,910
19,192,100000000,0,910
20,169,100000000,0,875
20,0,100000000,0,875
20,166,100000000,0,875
20,116,100000000,0,875
20,13,100000000,0,875
20,88,100000000,0,875
20,196,100000000,0,875
21,138,100000000,0,843
21,53,100000000,0,843
21,150,100000000,0,843
21,105,100000000,0,843
21,90,100000000,0,843
21,97,100000000,0,843
21,169,100000000,0,843
21,136,100000000,0,843
21,32,100000000,0,843
21,82,100000000,0,843
21,103,100000000,0,843
21,33,100000000,0,843
22,27,100000000,0,814
22,67,100000000,0,814
22,104,100000000,0,814
22,39,100000000,0,814
22,94,100000000,0,814
22,103,100000000,0,814
22,73,100000000,0,814
22,120,100000000,0,814
23,127,100000000,0,787
23,41,100000000,0,787
23,152,100000000,0,787
23,160,100000000,0,787
23,164,100000000,0,787
23,30,100000000,0,787
24,161,100000000,0,761
24,75,100000000,0,761
24,50,100000000,0,761
24,199,100000000,0,761
24,111,100000000,0,761
24,40,100000000,0,761
24,43,100000000,0,761
24,96,100000000,0,761
24,88,100000000,0,761
24,154,100000000,0,761
25,70,100000000,0,738
25,84,100000000,0,738
25,106,100000000,0,738
25,93,100000000,0,738
25,160,100000000,0,738
25,180,100000000,0,738
26,11,100000000,0,716
26,66,100000000,0,716
26,17,100000000,0,716
26,135,100000000,0,716
26,189,100000000,0,716
26,1,100000000,0,716
26,50,100000000,0,716
27,133,100000000,0,695
27,85,100000000,0,695
27,22,100000000,0,695
27,159,100000000,0,695
27,55,100000000,0,695
27,63,100000000,0,695
27,138,100000000,0,695
