Witness Weight,Time (ns)
0,640907800
2,2840031700
5,2840545900
9,3763059300
13,3763256500
16,4891762700
19,5562974900
22,5939875400
26,5958526100
29,7168129600
34,7171892400
40,12116456100
45,12120731300
50,12120949100
55,14772619200
59,16285461900
64,17367772400
69,17374686600
74,20836386000
80,23146377300
87,25067943700
95,25936454700
99,32607876100
106,33593752400
111,33597086100
118,33597424400
124,34207121700
131,40334035300
138,40569558500
143,40590454200
147,40870921500
152,48274042300
158,49200240600
165,49201862500
173,55916082800
