Witness Weight,Time (ns)
0,236511300
2,499628600
5,2632655100
9,2632858000
14,2633006800
20,2633142600
27,2633275300
35,2633506700
44,2633702600
54,3255275600
65,5214310900
77,5214463200
90,8172032400
104,8172095400
119,8172297600
135,8220017100
152,10275749000
170,12023990500
189,12024066200
209,12159381200
230,12159712700
252,14045385200
275,14045830500
299,14046030600
324,14046232400
350,14046426900
377,14046612100
405,14046713500
434,15180523200
464,15181080200
495,15181482500
527,15635566500
560,15635812500
594,16148769000
629,17182938400
665,17183897400
702,17672148600
740,17672587800
779,17760236300
819,17760393200
860,18307384500
902,19261058400
945,24992678500
989,24992885400
1034,24999434400
1080,28423044900
1127,28676513000
1175,29253626200
1224,29258188400
1274,29259691100
1325,29660313100
1377,29660491600
1430,29660653100
1484,29660803900
1539,33735670300
1595,34422069300
1652,34422481200
1710,41182530900
1769,41182791700
1829,41182959400
1890,41183215900
1952,41183585800
2015,41725963800
2079,42223762800
2144,42224351800
2210,42225432600
2277,42225782400
2345,42226107000
2414,44162576900
2484,44429268700
2555,46335480500
2627,46336994100
2700,46337958800
2774,46338928400
2849,46339477500
2925,46340323000
3002,46340453500
3080,46340735000
3159,47917506000
3239,48398011300
3320,48556213600
3402,48556585900
3485,48706478200
3569,48707216600
3654,48708133800
3740,48708418100
3827,51927778500
3915,51929215500
4004,51930730800
4094,51940878300
4185,53175757300
4277,53176971200
4370,55499133500
4464,55499733000
