Witness Weight,Time (ns)
0,316286200
2,857570800
5,1420457700
9,6560297800
14,15217830200
20,15503292700
27,15633553400
35,16670113600
44,17745577300
54,18897023200
65,21006331600
77,21809847600
90,21997540500
104,23053317200
119,23094026500
135,24643799600
152,29553640600
170,30245858300
189,31900348500
209,33721440100
230,34523795700
252,34612324400
275,34953647300
299,35257664200
324,35665789700
350,37044770500
377,40178922400
405,40254749800
434,40337544100
464,43995877200
495,44516024700
527,46713988300
560,48214788100
594,49889681400
629,51488727600
665,53335227600
702,53399470100
740,53654735800
779,54359190200
