Witness Weight,Time (ns)
0,327364100
2,901448600
5,1096888600
8,1277528400
12,2047574200
16,2255251800
21,3034743700
27,3210024500
33,3535964100
40,3686860100
47,3877120100
54,3926152000
62,3958874900
67,4197257000
76,5270496300
84,5528637300
92,6454138000
101,6689786800
110,7447819700
120,8163786300
130,8930446500
141,9008081900
152,9339468800
158,9856302500
169,10174336200
181,10602107700
194,10928147400
206,10950331300
218,11059474100
231,11282946700
244,11380573100
258,12195585100
272,12380709300
279,12489359100
289,14049475500
303,14456788400
318,15071309100
333,15295091500
349,15341892200
366,15355794200
382,15635057700
397,15775012600
414,16742094300
432,17475690200
450,17552839700
469,18368081600
485,18539674300
505,18954298700
526,18984426000
545,19611199500
565,20199328200
573,20341585400
594,20562560700
616,20966481500
638,21037257400
661,21072083800
684,21166178400
708,21460562200
732,21866902000
743,22789705500
768,22992105600
785,23489088400
810,24243868600
822,24671499600
848,25165250300
866,25304504800
885,25520871100
911,26151611900
924,26270896500
944,26349234100
965,27513698900
992,27746883300
1019,28004288900
1047,28044594000
1069,28084176300
1083,28441589400
1106,28464843200
1134,28858249500
1163,28966725900
1192,29786574700
1207,30379397400
1231,30474081500
1261,30694432100
1286,31278225300
1302,31736904900
1333,31850621600
1365,31978792300
1398,32500540400
1415,32515345400
1449,32878389300
1479,33226498100
1510,33338682300
1545,33398307000
1581,33817281900
1607,34731302900
1639,35039952000
1672,35274541300
1706,35386231100
1743,35386916400
1781,35389011300
1799,35637540400
1838,36487485600
1878,36773348100
1905,38119442600
1940,39677121900
1949,40049888900
1985,40403364200
2026,40584514600
2068,40935209200
2111,41032914300
2148,41734916700
2158,42819182900
2202,42903046800
2240,42985195300
2279,44192825500
2319,44193115800
2360,45252174100
2388,45273601900
2407,45574315500
2452,46139441800
2497,46142155800
2539,46151398800
2585,46322479800
2605,46655304400
2634,48155602300
2677,48254124700
2724,48367386100
2772,48751702400
2816,49945690400
2846,50581317300
2877,50581897000
2907,50673258900
2952,51220289100
2973,51792886200
3019,51793040300
3066,52688134700
3112,53171716900
3161,53700177500
3209,53997991700
3259,54260260600
3308,54268187800
3330,54527175700
3381,55740010400
3433,55741065900
3486,55746086800
3536,55752456200
3590,55754226100
