Witness Weight,Time (ns)
0,1023181600
2,2494088100
5,5320466400
9,5560732200
14,5561003900
20,5562210900
27,5563524400
35,5567198700
44,5567356900
54,8446593000
65,8446730400
77,8446787500
90,8999856500
104,10190738400
119,12536182600
135,12541491000
152,15257848700
170,15595249500
189,15600112400
209,18020030600
230,18020231100
252,18020383600
275,18026420800
299,26281336900
324,26281564300
350,26493692600
377,26493991000
405,30076972900
434,30077116700
464,30077265000
495,33422366800
527,33424571500
560,39425364700
594,39426441800
629,39426585700
665,39426722100
702,57733671100
740,57736328000
