Witness Weight,Time (ns)
0,303057300
2,861772000
5,1946417900
9,2071045400
14,3335142300
20,3907122200
27,3978852400
35,4425667700
44,4500805600
54,4532534500
65,5534692000
77,6324763200
90,6381908400
104,6495439300
119,6619744600
135,6856171100
152,7469666200
170,8150117400
189,8617354700
209,8624653200
230,9006741200
252,9607604000
275,9819988400
299,10063355900
324,10500417400
350,10697121300
377,11334189000
405,11845220400
434,11956711300
464,12116385900
495,12307613400
527,12522408900
560,12609647300
594,13163808900
629,13164109800
665,13259366500
702,13542860200
740,13634903700
779,13635121700
819,13635363700
860,13877916200
902,13936884500
945,13939809000
989,13940074600
1034,14040312200
1080,14459679200
1127,14849747500
1175,15442881200
1224,16287584500
1274,16789625900
1325,17190501200
1377,17245584000
1430,17274486200
1484,17523948500
1539,17532939900
1595,17829236600
1652,18033751100
1710,19398453400
1769,21319284500
1829,21363933200
1890,21413170400
1952,22017995300
2015,22292898400
2079,22836593600
2144,23145052200
2210,23188820300
2277,23298266300
2345,23545455700
2414,24030700200
2484,24365451400
2555,24551204300
2627,24945730200
2700,25497441700
2774,27027842200
2849,27405035600
2925,28535787000
3002,28642591000
3080,28786734500
3159,29583768200
3239,29722992300
3320,29750760400
3402,29765742000
3485,29926220300
3569,30215855600
3654,30905623800
3740,31268566000
3827,31275374200
3915,31354420700
4004,31426418500
4094,32833150600
4185,33400951900
4277,33536563600
4370,33965696500
4464,34111926300
4559,34294306700
4655,34307778300
4752,35140671600
4850,35685484100
4949,36997999400
5049,36999364900
5150,37299229700
5252,37299515400
5355,37299741400
5459,37840306200
5564,37840787300
5670,37841105100
5777,37976265200
5885,38039383100
5994,38461475200
6104,38606361100
6215,38832716500
6327,39344475600
6440,39948947600
6554,40055055400
6669,40321156500
6785,41081182300
6902,41170560100
7020,41401725600
7139,41486624300
7259,42000756400
7380,42115301700
7502,42870021800
7625,43042983300
7749,43205458600
7874,43486504600
8000,43813752900
8127,43825113600
8255,43860065500
8384,43860336300
8514,43978156300
8645,44056791000
8777,44657251900
8910,44758284500
9044,45268278500
9179,46082689900
9315,46235205800
9452,46354056500
9590,46603164800
9729,46801102000
9869,46805139500
10010,46806562400
10152,47130962300
10295,47652901700
10439,47744526500
10584,48209039500
10730,48223628100
10877,48474534700
11025,48603825800
11174,49020219800
11324,49521274600
11475,49667176400
11627,49676655000
11780,49679672500
11934,50837368700
12089,50837733800
12245,51571866900
12402,51574319700
12560,51582907000
12719,52280042100
12879,52280219700
13040,52758331800
13202,53280584300
13365,53952023000
13529,53956974300
13694,53958175800
13860,54495951900
14027,54584254200
14195,55491842300
