Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685820270,1222733600,0,1,25,1591462600
4,1685820270,1773272000,1,2,51,2423752800
5,1685820271,1712496600,1,3,51,2424050800
10,1685820271,1496762100,4,4,56,2534354800
13,1685820271,1748466300,10,5,64,2828190400
11,1685820271,1983724800,5,6,71,3025669300
17,1685820271,1923147200,13,7,74,3114414500
18,1685820271,1972282400,11,8,78,3182546100
26,1685820271,1585152400,18,9,79,3192982900
31,1685820272,1427361800,26,10,85,3242639900
29,1685820272,1600373000,17,11,88,3318369900
6,1685820271,2692185600,1,12,93,3473380300
32,1685820272,1684866600,31,13,95,3503590900
2,1685820270,3108768100,0,14,97,3622995000
3,1685820270,3166560300,2,15,99,3712340800
37,1685820272,1782198800,32,16,99,3712556500
43,1685820272,1599012100,37,17,102,3779887200
12,1685820271,2774600000,3,18,104,3831465000
16,1685820271,2928725000,12,19,113,4093459600
21,1685820271,2636835500,16,20,114,4110899300
27,1685820271,2532163700,21,21,114,4157814800
55,1685820272,1696801600,43,22,116,4163799600
58,1685820272,1635151300,55,23,117,4205803700
71,1685820273,1364962200,58,24,121,4390507100
40,1685820272,2424485200,29,25,122,4469805600
78,1685820273,1304735500,71,26,124,4487202200
79,1685820273,1342214200,78,27,126,4535184500
7,1685820271,3847526800,6,28,133,4715741400
34,1685820272,2948804900,27,29,135,4807925400
14,1685820271,3758899600,7,30,139,4911295800
76,1685820273,1960220200,34,31,145,5080765800
33,1685820272,3315328100,14,32,146,5149791000
85,1685820273,1908590300,79,33,146,5149944500
24,1685820271,3615686000,13,34,146,5150038300
95,1685820273,1646548000,85,35,147,5150122700
86,1685820273,1989760300,76,36,153,5234358800
8,1685820271,4366866000,1,37,154,5275918100
35,1685820272,3417993600,33,38,154,5299957800
64,1685820273,2521054900,40,39,156,5316592400
9,1685820271,4460762700,8,40,158,5374379600
36,1685820272,3502496900,24,41,159,5389870300
102,1685820274,1783029600,95,42,164,5562903000
92,1685820273,2108962900,86,43,164,5563244900
99,1685820273,1920583900,92,44,164,5589965800
116,1685820274,1557689200,102,45,171,5721417900
