Witness Weight,Time (ns)
0,333524400
2,1108879700
5,2931438000
9,3185942000
14,5038880100
20,5160198000
27,5720300900
35,6655947700
44,7296291400
54,8300339000
65,10786243600
77,11767976300
89,14342635300
102,15656318700
116,15660635600
131,15740709800
147,17764911100
164,18418578600
181,18729133000
199,18739103400
218,18812666200
231,22572179400
251,22971033400
271,23568194600
292,24743323400
314,28028431700
335,29930824900
357,29931105600
380,29961381000
403,30032097200
427,36061373300
451,36062848900
476,40727969300
501,48983881600
527,49183375200
553,49214721800
580,49473303200
606,49575722100
632,49999950300
659,50490520000
687,51262914000
715,51541489000
742,56333094400
771,56335267100
799,56335533000
828,58754364800
