Message ID,Issuance Time (unix),Confirmation Time (ns),Weight,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685359571,465874900,14,1,18,691368300
2,1685359571,624515000,14,2,27,863239100
1,1685359571,637754200,20,3,27,863244700
3,1685359572,745296300,13,4,37,1011493600
2,1685359571,772775400,19,5,37,1011497800
1,1685359571,786008800,26,6,37,1011499400
5,1685359572,730415200,12,7,37,1041526800
3,1685359572,775334400,18,8,37,1041529900
2,1685359571,802810500,25,9,37,1041532600
1,1685359571,816043500,33,10,37,1041534100
7,1685359572,696887600,13,11,43,1113921000
10,1685359572,645131800,12,12,43,1122537600
7,1685359572,705511700,18,13,43,1122543800
5,1685359572,811479200,15,14,43,1122589400
3,1685359572,856396700,22,15,43,1122592200
2,1685359571,883871900,30,16,43,1122594000
1,1685359571,897105400,39,17,43,1122596200
5,1685359572,811532400,18,18,43,1122642900
3,1685359572,856449200,26,19,43,1122644500
2,1685359571,883923900,35,20,43,1122646000
1,1685359571,897157000,45,21,43,1122647600
5,1685359572,1057833700,22,22,56,1368945600
3,1685359572,1102752800,31,23,56,1368948200
2,1685359571,1130227700,41,24,56,1368949800
1,1685359571,1143460700,52,25,56,1368951200
10,1685359572,891821900,16,26,56,1369179400
7,1685359572,952152500,23,27,56,1369185900
5,1685359572,1058127200,25,28,56,1369238700
3,1685359572,1103045000,35,29,56,1369240400
2,1685359571,1130519800,46,30,56,1369241900
1,1685359571,1143752800,58,31,56,1369243300
10,1685359572,892076100,21,32,56,1369433100
7,1685359572,952404300,29,33,56,1369435600
5,1685359572,1060494800,29,34,57,1371609400
3,1685359572,1105420800,40,35,57,1371617800
2,1685359571,1132899600,52,36,57,1371621800
1,1685359571,1146133100,65,37,57,1371627200
5,1685359572,1127200000,34,38,61,1438312000
3,1685359572,1172121700,46,39,61,1438317300
2,1685359571,1199597700,59,40,61,1438320200
1,1685359571,1212853900,73,41,61,1438351900
6,1685359572,1079355300,14,42,61,1438531000
5,1685359572,1314652100,39,43,72,1625765700
3,1685359572,1359574600,52,44,72,1625770000
2,1685359571,1387050100,66,45,72,1625772500
1,1685359571,1400283800,81,46,72,1625774300
5,1685359572,1315269900,43,47,72,1626389200
3,1685359572,1360512900,57,48,72,1626715400
2,1685359571,1387995000,72,49,72,1626717200
1,1685359571,1401228700,88,50,72,1626719300
5,1685359572,1315963700,46,51,72,1627073800
3,1685359572,1360880800,61,52,72,1627076100
2,1685359571,1388355700,77,53,72,1627077900
1,1685359571,1401589200,94,54,72,1627080000
5,1685359572,1316030100,50,55,72,1627139800
3,1685359572,1360946000,66,56,72,1627141200
2,1685359571,1388421000,83,57,72,1627146100
1,1685359571,1401657400,101,58,72,1627148100
5,1685359572,1316103500,56,59,72,1627213200
3,1685359572,1361019600,73,60,72,1627215000
2,1685359571,1388494400,91,61,72,1627216500
1,1685359571,1401727400,110,62,72,1627218000
9,1685359572,1154565300,14,63,72,1627227000
5,1685359572,1316263000,61,64,73,1627378400
