Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685807231,682511700,0,1,33,939181400
2,1685807231,620133900,1,2,34,939277100
4,1685807231,629588200,2,3,36,963437600
6,1685807231,537374400,4,4,38,970720900
18,1685807231,1136670000,6,5,70,1844246500
34,1685807231,1844901100,18,6,113,2784097400
36,1685807231,1820955200,34,7,113,2784325900
37,1685807231,1813849100,36,8,114,2784408400
3,1685807231,3167723900,0,9,165,3500376500
38,1685807231,2530042600,37,10,167,3500677300
71,1685807232,1656394500,38,11,168,3500746300
13,1685807231,2880143200,3,12,168,3500763700
7,1685807231,3738762400,0,13,219,4199296100
19,1685807231,3488654100,13,14,219,4199320500
21,1685807231,3408489800,19,15,219,4199602800
30,1685807231,3270939600,21,16,219,4200461500
113,1685807233,1416890700,71,17,220,4200864200
114,1685807233,1417084500,113,18,221,4201424000
166,1685807234,701091500,114,19,222,4201533800
167,1685807234,701043400,166,20,223,4201668200
168,1685807234,701173200,167,21,224,4201868900
220,1685807235,1232100,168,22,225,4201997700
5,1685807231,3803521400,0,23,225,4202231900
8,1685807231,3680747800,0,24,225,4202927900
31,1685807231,3273796600,30,25,225,4203436700
32,1685807231,3273931500,31,26,225,4203657500
40,1685807232,3021258500,32,27,226,4230283400
53,1685807232,2760031400,40,28,226,4230415000
60,1685807232,2592286700,53,29,226,4230528900
72,1685807232,2368480000,60,30,226,4230648100
99,1685807233,1704023000,72,31,226,4231200500
221,1685807235,29951100,220,32,227,4231281800
222,1685807235,29996500,221,33,228,4231448400
223,1685807235,30197800,222,34,229,4231766200
224,1685807235,30112300,223,35,230,4231910600
39,1685807231,3248772500,18,36,230,4232166800
11,1685807231,3655669400,4,37,230,4232506600
15,1685807231,3557013400,11,38,230,4232616600
225,1685807235,30968100,224,39,231,4232870800
227,1685807235,1758900,225,40,232,4233026100
228,1685807235,3398600,227,41,233,4234802800
229,1685807235,3248900,228,42,234,4234934800
230,1685807235,3238500,229,43,235,4235049600
231,1685807235,2381800,230,44,236,4235183900
232,1685807235,2347500,231,45,237,4235280900
233,1685807235,2284500,232,46,238,4235374900
46,1685807232,2915815100,15,47,238,4235481400
234,1685807235,450470700,233,48,262,4685325800
235,1685807235,450610200,234,49,264,4685576100
236,1685807235,573782000,235,50,277,4808881400
17,1685807231,4102142200,5,51,277,4808976600
29,1685807231,3888510300,17,52,277,4809035000
237,1685807235,574270000,236,53,278,4809493600
33,1685807231,3873906100,21,54,278,4809574400
100,1685807233,2364877200,99,55,285,4892172000
43,1685807232,3794145600,38,56,293,5079228000
68,1685807232,3287386500,43,57,293,5079456200
101,1685807233,2551627700,100,58,293,5079519700
26,1685807231,4163439300,6,59,293,5079584700
51,1685807232,3640340700,26,60,293,5079689000
20,1685807231,4342498200,3,61,293,5080173600
23,1685807231,4193639700,20,62,293,5080253200
42,1685807232,3811214200,33,63,293,5080363100
47,1685807232,3708367900,39,64,293,5080665700
102,1685807233,2551895600,101,65,293,5080873800
103,1685807233,2551876200,102,66,293,5080951700
238,1685807235,846025400,237,67,294,5081345800
132,1685807234,2016674900,47,68,294,5081483700
16,1685807231,4380134900,5,69,294,5081639600
105,1685807233,2411383100,103,70,294,5081838400
239,1685807235,846059900,238,71,295,5081969700
263,1685807235,396608400,239,72,296,5082094300
277,1685807235,273347900,263,73,297,5082168600
9,1685807231,4527586200,8,74,297,5082365200
278,1685807235,272994900,277,75,298,5082436500
294,1685807236,90400900,278,76,299,5171737900
295,1685807236,172724000,294,77,304,5254612600
296,1685807236,207784900,295,78,308,5289811700
297,1685807236,433797200,296,79,324,5515962000
27,1685807231,4599634900,6,80,324,5516292500
74,1685807232,3635972100,27,81,324,5516404600
49,1685807232,5403024100,46,82,416,6818185200
298,1685807236,1735952100,297,83,417,6818329700
299,1685807236,1646908900,298,84,418,6818512500
304,1685807236,1593555800,299,85,419,6818667700
147,1685807234,3504101000,105,86,419,6818747900
148,1685807234,3503555900,147,87,419,6819055800
178,1685807234,4091242700,148,88,520,7792015300
195,1685807234,3891172900,178,89,520,7792283500
10,1685807231,7220234100,9,90,520,7792619500
28,1685807231,6875737400,10,91,520,7792700700
81,1685807232,5755523700,28,92,520,7792981000
308,1685807236,2503661400,304,93,521,7793457300
324,1685807236,2277915900,308,94,522,7793726400
137,1685807234,4699516500,49,95,522,7794558800
25,1685807231,6906560800,6,96,522,7794959200
52,1685807232,6327190400,25,97,522,7795185800
82,1685807232,5756951700,81,98,522,7795376800
183,1685807234,4000782600,82,99,522,7795562200
184,1685807234,4000826700,183,100,522,7795708200
12,1685807231,7202251600,7,101,522,7795819600
24,1685807231,6935254600,12,102,524,7823576700
35,1685807231,6868483100,24,103,524,7823713700
58,1685807232,6206860900,35,104,524,7823905500
417,1685807237,1006288800,324,105,525,7824507200
418,1685807237,1203375200,417,106,549,8021793700
419,1685807237,1203369400,418,107,550,8021960400
521,1685807238,228662400,419,108,551,8022098300
522,1685807238,228598700,521,109,552,8022216100
525,1685807238,198182200,522,110,553,8022314400
262,1685807235,3340279700,195,111,553,8022403500
549,1685807238,701700,525,112,554,8022478800
264,1685807235,3337077600,262,113,554,8022581600
550,1685807238,758200,549,114,555,8022665500
551,1685807238,736800,550,115,556,8022776600
552,1685807238,730700,551,116,557,8022891100
553,1685807238,755100,552,117,558,8023021400
554,1685807238,688700,553,118,559,8023119200
134,1685807234,5342315200,132,119,607,8420351900
138,1685807234,5325586200,137,120,607,8421073500
139,1685807234,5324782800,138,121,607,8421447700
555,1685807238,400258200,554,122,608,8422871700
556,1685807238,400807400,555,123,609,8423532600
557,1685807238,973231500,556,124,638,9343061600
558,1685807238,2316984000,557,125,730,10339927600
559,1685807238,3392250400,558,126,828,11415323300
608,1685807239,2992610500,559,127,829,11415445300
609,1685807239,2992253100,608,128,830,11415633000
638,1685807239,2419734800,609,129,831,11415735800
670,1685807240,2089774900,638,130,833,11433130100
55,1685807232,9914156500,29,131,833,11433381000
86,1685807233,9362246900,55,132,833,11433461400
87,1685807233,9362399100,43,133,833,11433617200
61,1685807232,9730700300,58,134,833,11433729700
206,1685807234,7466171500,61,135,833,11433785600
731,1685807241,1082596300,670,136,834,11433882200
829,1685807242,18648900,731,137,835,11434083500
90,1685807233,9188824900,86,138,835,11434509900
171,1685807234,7866356900,90,139,835,11434590400
172,1685807234,7865608200,171,140,835,11434663900
92,1685807233,9078631900,23,141,835,11434857300
192,1685807234,7590889400,52,142,835,11435014800
193,1685807234,7589489400,192,143,835,11435157100
207,1685807234,7467537200,206,144,835,11435238200
830,1685807242,19757500,829,145,836,11435330400
208,1685807234,7454365500,207,146,836,11435466300
198,1685807234,7502773200,193,147,836,11435615600
185,1685807234,7640619700,184,148,836,11436323900
118,1685807233,8611428300,51,149,836,11436879000
78,1685807232,9460241100,16,150,836,11436974000
119,1685807233,8610877600,118,151,836,11437286700
125,1685807233,8452730800,68,152,836,11437528100
249,1685807235,6975706800,134,153,836,11437612100
250,1685807235,7026883800,249,154,836,11489092700
253,1685807235,6948521800,250,155,836,11489131800
126,1685807233,8504375600,125,156,836,11489289200
173,1685807234,7921615500,172,157,836,11490761700
54,1685807232,10018756600,39,158,836,11490869600
124,1685807233,8510601600,92,159,836,11491058800
150,1685807234,8159697800,119,160,836,11491596600
831,1685807242,87305200,830,161,837,11503033900
833,1685807242,70267600,831,162,838,11503384600
834,1685807242,69855600,833,163,839,11503682100
140,1685807234,8925119900,139,164,888,12024922100
62,1685807232,13782617000,38,165,1081,15508942300
57,1685807232,14477758400,33,166,1112,16027838700
85,1685807233,13965528500,49,167,1112,16027946500
120,1685807233,13160895400,87,168,1112,16028416300
199,1685807234,12097635800,198,169,1112,16030580600
835,1685807242,4597093700,834,170,1113,16031053600
836,1685807242,4609999400,835,171,1116,16045269200
837,1685807242,4542703000,836,172,1117,16045579600
