Witness Weight,Time (ns)
0,178600
2,882200
5,69834600
9,2380579800
14,2381523500
20,2381682400
27,2381846000
35,2382014800
44,2382381400
54,2382695900
65,2382845900
77,2382992200
90,2684795200
104,3163590100
119,3163723800
135,3163907500
152,3164178600
170,3164380800
189,7398744000
209,7399024200
230,7399269000
252,7401140100
275,11455278700
299,11455923800
324,11456126100
350,11456445200
377,11458693500
405,12157436500
410,12157745800
439,12157981000
469,12158137100
475,12159206000
480,12159412100
486,12162975500
517,12946730500
549,12947105100
582,12947326500
616,12947456300
651,12947834500
687,14214621400
724,14215464800
762,14215784600
801,14216133900
841,14216737800
882,15193612100
924,15193954800
967,15194099000
1011,15194344200
1056,15207334600
1102,15210612000
1149,15212189100
1197,17767373300
1246,17767857200
1296,18932370500
1347,18933223300
1399,18933726700
1452,18933877600
1506,23133379500
1513,23134486600
1521,23134845900
1576,23135570800
1632,23135827500
1646,23136088400
1703,23137441600
1761,26525363600
1820,29897495500
1827,29930653800
1887,29932035900
1948,29932602100
2010,30568552800
2073,30869555000
2137,30870374500
2202,30870626800
2268,30871145300
2335,30871651300
2403,50218158900
2472,50220979500
2542,50236387200
2557,50237019300
2628,50237698800
2700,50238229200
2773,50238929000
2789,50827299900
2863,50832444800
2938,50833144300
3014,50835111000
3091,50868435600
3108,53248918500
3186,53252974300
3195,57867474700
