Peer ID,Neighbor ID,Network Delay (ns),Packet Loss (%),Weight
0,15,100000000,0,12341
0,87,100000000,0,12341
0,92,100000000,0,12341
0,16,100000000,0,12341
0,50,100000000,0,12341
0,85,100000000,0,12341
0,18,100000000,0,12341
0,34,100000000,0,12341
1,80,100000000,0,7061
1,46,100000000,0,7061
1,69,100000000,0,7061
1,58,100000000,0,7061
1,76,100000000,0,7061
2,7,100000000,0,5105
2,27,100000000,0,5105
2,55,100000000,0,5105
2,28,100000000,0,5105
2,47,100000000,0,5105
2,16,100000000,0,5105
2,88,100000000,0,5105
3,76,100000000,0,4055
3,20,100000000,0,4055
3,25,100000000,0,4055
3,64,100000000,0,4055
3,39,100000000,0,4055
3,50,100000000,0,4055
4,35,100000000,0,3392
4,37,100000000,0,3392
4,80,100000000,0,3392
4,83,100000000,0,3392
4,29,100000000,0,3392
4,70,100000000,0,3392
4,61,100000000,0,3392
5,35,100000000,0,2932
5,49,100000000,0,2932
5,51,100000000,0,2932
5,39,100000000,0,2932
5,79,100000000,0,2932
5,10,100000000,0,2932
5,73,100000000,0,2932
5,17,100000000,0,2932
5,50,100000000,0,2932
5,40,100000000,0,2932
5,67,100000000,0,2932
5,60,100000000,0,2932
6,99,100000000,0,2591
6,35,100000000,0,2591
6,47,100000000,0,2591
6,80,100000000,0,2591
6,44,100000000,0,2591
6,65,100000000,0,2591
6,51,100000000,0,2591
6,82,100000000,0,2591
7,29,100000000,0,2329
7,90,100000000,0,2329
7,20,100000000,0,2329
7,45,100000000,0,2329
7,95,100000000,0,2329
7,2,100000000,0,2329
7,70,100000000,0,2329
7,83,100000000,0,2329
7,33,100000000,0,2329
7,87,100000000,0,2329
7,59,100000000,0,2329
8,53,100000000,0,2119
8,76,100000000,0,2119
8,79,100000000,0,2119
8,27,100000000,0,2119
8,92,100000000,0,2119
8,23,100000000,0,2119
8,80,100000000,0,2119
8,97,100000000,0,2119
8,19,100000000,0,2119
9,57,100000000,0,1948
9,60,100000000,0,1948
9,67,100000000,0,1948
9,90,100000000,0,1948
9,64,100000000,0,1948
10,5,100000000,0,1805
10,92,100000000,0,1805
10,62,100000000,0,1805
10,30,100000000,0,1805
10,58,100000000,0,1805
10,36,100000000,0,1805
10,86,100000000,0,1805
11,70,100000000,0,1683
11,32,100000000,0,1683
11,99,100000000,0,1683
11,66,100000000,0,1683
11,41,100000000,0,1683
11,63,100000000,0,1683
11,26,100000000,0,1683
11,33,100000000,0,1683
12,34,100000000,0,1579
12,79,100000000,0,1579
12,63,100000000,0,1579
12,77,100000000,0,1579
12,70,100000000,0,1579
12,19,100000000,0,1579
12,80,100000000,0,1579
12,90,100000000,0,1579
12,25,100000000,0,1579
13,54,100000000,0,1488
13,67,100000000,0,1488
13,23,100000000,0,1488
13,42,100000000,0,1488
13,56,100000000,0,1488
13,81,100000000,0,1488
13,61,100000000,0,1488
13,73,100000000,0,1488
13,68,100000000,0,1488
14,28,100000000,0,1408
14,87,100000000,0,1408
14,54,100000000,0,1408
14,56,100000000,0,1408
14,70,100000000,0,1408
14,66,100000000,0,1408
14,47,100000000,0,1408
15,0,100000000,0,1337
15,32,100000000,0,1337
15,27,100000000,0,1337
15,36,100000000,0,1337
15,78,100000000,0,1337
15,85,100000000,0,1337
15,25,100000000,0,1337
15,68,100000000,0,1337
15,30,100000000,0,1337
16,59,100000000,0,1274
16,21,100000000,0,1274
16,2,100000000,0,1274
16,45,100000000,0,1274
16,0,100000000,0,1274
16,65,100000000,0,1274
17,42,100000000,0,1217
17,5,100000000,0,1217
17,48,100000000,0,1217
17,90,100000000,0,1217
17,95,100000000,0,1217
17,97,100000000,0,1217
17,19,100000000,0,1217
18,64,100000000,0,1165
18,97,100000000,0,1165
18,61,100000000,0,1165
18,91,100000000,0,1165
18,59,100000000,0,1165
18,68,100000000,0,1165
18,72,100000000,0,1165
18,44,100000000,0,1165
18,57,100000000,0,1165
18,0,100000000,0,1165
19,23,100000000,0,1119
19,12,100000000,0,1119
19,55,100000000,0,1119
19,91,100000000,0,1119
19,8,100000000,0,1119
19,41,100000000,0,1119
19,66,100000000,0,1119
19,17,100000000,0,1119
19,81,100000000,0,1119
20,81,100000000,0,1076
20,3,100000000,0,1076
20,66,100000000,0,1076
20,37,100000000,0,1076
20,36,100000000,0,1076
20,84,100000000,0,1076
20,7,100000000,0,1076
21,98,100000000,0,1036
21,45,100000000,0,1036
21,33,100000000,0,1036
21,59,100000000,0,1036
21,90,100000000,0,1036
21,63,100000000,0,1036
21,16,100000000,0,1036
21,35,100000000,0,1036
21,47,100000000,0,1036
22,47,100000000,0,1000
22,49,100000000,0,1000
22,75,100000000,0,1000
22,56,100000000,0,1000
23,13,100000000,0,967
23,56,100000000,0,967
23,79,100000000,0,967
23,8,100000000,0,967
23,19,100000000,0,967
23,29,100000000,0,967
23,87,100000000,0,967
23,63,100000000,0,967
24,93,100000000,0,936
24,25,100000000,0,936
24,95,100000000,0,936
24,99,100000000,0,936
24,64,100000000,0,936
24,45,100000000,0,936
24,82,100000000,0,936
24,28,100000000,0,936
25,15,100000000,0,907
25,96,100000000,0,907
25,74,100000000,0,907
25,58,100000000,0,907
25,24,100000000,0,907
25,12,100000000,0,907
25,46,100000000,0,907
25,3,100000000,0,907
25,84,100000000,0,907
26,11,100000000,0,880
26,56,100000000,0,880
26,97,100000000,0,880
26,95,100000000,0,880
26,44,100000000,0,880
26,68,100000000,0,880
26,36,100000000,0,880
26,30,100000000,0,880
27,86,100000000,0,854
27,2,100000000,0,854
27,8,100000000,0,854
27,79,100000000,0,854
27,15,100000000,0,854
27,43,100000000,0,854
28,78,100000000,0,831
28,2,100000000,0,831
28,81,100000000,0,831
28,24,100000000,0,831
28,54,100000000,0,831
28,33,100000000,0,831
28,14,100000000,0,831
29,48,100000000,0,809
29,50,100000000,0,809
29,4,100000000,0,809
29,23,100000000,0,809
29,72,100000000,0,809
29,7,100000000,0,809
29,43,100000000,0,809
29,45,100000000,0,809
30,67,100000000,0,788
30,15,100000000,0,788
30,69,100000000,0,788
30,26,100000000,0,788
30,96,100000000,0,788
30,52,100000000,0,788
30,10,100000000,0,788
31,86,100000000,0,768
31,94,100000000,0,768
31,85,100000000,0,768
31,74,100000000,0,768
32,15,100000000,0,749
32,98,100000000,0,749
32,11,100000000,0,749
32,91,100000000,0,749
32,48,100000000,0,749
32,66,100000000,0,749
32,93,100000000,0,749
32,99,100000000,0,749
32,97,100000000,0,749
33,52,100000000,0,731
33,28,100000000,0,731
33,59,100000000,0,731
33,7,100000000,0,731
33,94,100000000,0,731
33,98,100000000,0,731
33,11,100000000,0,731
33,21,100000000,0,731
34,65,100000000,0,715
34,78,100000000,0,715
34,86,100000000,0,715
34,97,100000000,0,715
34,12,100000000,0,715
34,96,100000000,0,715
34,0,100000000,0,715
35,50,100000000,0,699
35,87,100000000,0,699
35,59,100000000,0,699
35,4,100000000,0,699
35,5,100000000,0,699
35,73,100000000,0,699
35,21,100000000,0,699
35,6,100000000,0,699
35,95,100000000,0,699
36,10,100000000,0,684
36,15,100000000,0,684
36,68,100000000,0,684
36,20,100000000,0,684
36,70,100000000,0,684
36,26,100000000,0,684
36,45,100000000,0,684
36,77,100000000,0,684
37,60,100000000,0,669
37,51,100000000,0,669
37,55,100000000,0,669
37,4,100000000,0,669
37,20,100000000,0,669
38,65,100000000,0,655
38,93,100000000,0,655
38,69,100000000,0,655
38,76,100000000,0,655
38,75,100000000,0,655
38,82,100000000,0,655
38,45,100000000,0,655
39,72,100000000,0,642
39,63,100000000,0,642
39,5,100000000,0,642
39,56,100000000,0,642
39,3,100000000,0,642
39,49,100000000,0,642
39,68,100000000,0,642
39,97,100000000,0,642
39,98,100000000,0,642
40,55,100000000,0,630
40,96,100000000,0,630
40,5,100000000,0,630
40,79,100000000,0,630
40,68,100000000,0,630
40,88,100000000,0,630
41,74,100000000,0,618
41,57,100000000,0,618
41,78,100000000,0,618
41,52,100000000,0,618
41,11,100000000,0,618
41,19,100000000,0,618
42,50,100000000,0,606
42,45,100000000,0,606
42,60,100000000,0,606
42,79,100000000,0,606
42,17,100000000,0,606
42,13,100000000,0,606
43,85,100000000,0,595
43,27,100000000,0,595
43,77,100000000,0,595
43,82,100000000,0,595
43,29,100000000,0,595
43,63,100000000,0,595
43,79,100000000,0,595
44,18,100000000,0,584
44,64,100000000,0,584
44,6,100000000,0,584
44,77,100000000,0,584
44,63,100000000,0,584
44,53,100000000,0,584
44,26,100000000,0,584
45,29,100000000,0,574
45,90,100000000,0,574
45,24,100000000,0,574
45,42,100000000,0,574
45,7,100000000,0,574
45,21,100000000,0,574
