Number of Requested Messages,ns since start
0,230274900
0,260982600
0,426479100
0,478024100
0,546811700
0,683390800
0,814126200
0,1057716600
0,1239700700
0,1242741800
0,1451219000
0,1864717000
0,2336618800
0,2369446700
0,2594608700
0,3028308100
0,3045417700
0,3148999900
0,3250907400
0,3415859700
0,3784475200
0,3864915600
0,4776510200
0,4880611000
0,4955031200
0,5104439900
0,5185069700
0,5278326700
0,5548127500
0,5572143500
0,5929628700
0,5968861000
0,6023246900
0,6129385800
0,6326000800
0,7876257900
0,7954020300
0,8408626500
0,8506075900
0,8667276600
0,8824604000
0,11533664100
0,11909216800
0,12146019200
0,12161289000
0,12309696400
0,12525960000
0,12590386200
0,12783070400
0,14011172400
0,14176577000
0,14357673100
0,14510552000
0,14982241600
0,14989227800
0,15372940400
0,16047216000
0,16548547800
0,17130814900
0,17134672800
0,17662163100
0,19963812700
0,19980196700
0,20504103600
0,20918976800
0,21470854100
0,21474099500
0,21594970600
0,21671882500
0,21820323600
0,21974550400
0,21977950800
0,22060415600
0,23240962300
0,24000356500
0,27453770400
0,27804664800
0,27818474100
0,27934823200
0,27986475500
0,28056231500
0,28183733000
0,28715091400
0,29450247100
0,29464114300
0,29786299900
0,29917988000
0,30785345500
0,30801640800
0,30884526500
0,30976261200
0,33424823100
0,34220688900
0,37344827100
0,37554678000
0,37580075800
0,37737908200
0,37747117600
0,37952723000
0,38012848400
0,38143876500
0,38178838900
0,38351354800
0,39072656100
0,39105155300
0,39270790800
0,39294543100
0,39426060800
0,39633836000
0,39639337100
0,40484827200
0,43837512900
0,43851817500
0,43891621000
0,44025378600
0,44748733900
0,44751233600
0,46213113600
0,46812748500
0,46825327700
0,46856573300
0,46954527600
0,47052865900
0,47304467100
0,47372094300
0,48115206800
0,49469976800
0,49514424200
0,49730271200
0,49761944900
0,49765099600
0,50677498200
0,50724107700
0,50770102300
0,50866310600
0,51075872700
0,51121536700
0,51266724100
0,51523902400
0,51566873100
0,51660492400
0,51699986200
0,51890242900
0,51921808300
0,52203380100
0,52550726300
0,52575911700
0,52699798400
0,52888218000
0,52959980200
0,52983390000
0,53276761700
0,53317230800
0,53527747900
0,53655784700
0,55005227600
0,55548250800
0,55728698800
0,55743897500
0,55775103100
0,56471685500
0,56753478300
0,56755665600
0,56884396100
0,57211405200
0,57238495700
0,57359084600
0,57375703900
0,57741764900
0,57881409200
0,58169887100
0,58183360000
0,61108005200
