Witness Weight,Time (ns)
0,512570500
2,3400469900
5,3400782500
8,3400962800
11,3402213700
15,3402606700
18,3404405300
21,3571884200
26,3573796300
30,3586264800
35,3707163300
41,3713566800
45,3714252200
51,4000670100
56,4002513900
61,4445489400
65,4623633500
72,4623745600
77,4743508700
83,4743755500
90,4793793900
97,5107970200
105,5109863300
112,5110605800
120,5112188500
125,5358281300
129,6523421800
138,6539594500
146,6539811100
151,6540064200
157,6823374700
165,6825275400
173,6827030200
182,7226460700
187,7226694100
193,8759371700
202,8819647700
211,8820502800
221,9184163700
231,9207272900
237,9207458200
245,9611822900
251,10398143600
257,10884972000
262,10887768000
270,12198509800
278,15154538400
289,15537278600
298,15561118200
309,15562941000
318,15563323000
329,15565714800
336,15566224500
344,16885493700
354,16886628500
360,16886980400
370,16887325900
381,16988974300
392,17348990300
403,18297512900
412,18297825800
423,18297896100
435,18298887300
442,18300920200
448,18317634200
457,18367397100
466,18380542100
478,18448515000
488,18448739600
495,18448919300
502,18452993400
515,18455027800
526,18455290700
538,18466402600
544,18497418300
551,18530846100
558,18537669900
568,18621670000
578,18622730700
586,18651956200
597,18652656200
610,18654418900
622,20741311800
630,20744584300
640,22311081400
653,22793575100
662,23038165900
670,23055604200
682,24871808200
691,26053654200
702,31222156100
709,31222397600
717,31807762500
730,34009140700
739,34650548300
753,34978112000
761,34979545300
775,35088287900
786,35149899800
796,35153386500
807,35155359200
816,36077853100
824,36078920100
836,36131174100
849,36131348500
864,36132165300
877,36137708900
889,36138029500
899,36138485700
911,36151793100
921,37757480500
930,38536016400
941,38953766200
953,39472581500
964,41622036500
976,41639017300
990,41747087700
1005,41862439000
1016,41954882500
1029,43697676200
1043,43697932900
1054,44280315000
1068,44727830800
1083,44856764400
1099,49884596800
1106,50025024300
1121,51563390000
1133,51564618900
1145,51565210200
1158,51565519100
1172,52701434100
1184,57170512200
1200,57170858100
1214,57175060000
1227,57176569900
1239,57343566900
1254,57966752400
1265,57967033900
1275,57967309100
1292,57968959700
1305,57971475800
1319,57971743600
1333,57971972400
1348,57972777900
1363,58049770000
1379,58066999300
1389,58105359800
1404,58107692800
1417,58107791900
1431,58108402500
1443,58157349100
1460,58280497700
1478,58281257300
1494,58425101000
