UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,121396300
0,0,0,0,0,0,0,0,0,226922600
0,0,0,0,1,0,0,0,1,265150400
0,0,0,0,1,0,0,0,1,360860600
1,0,0,0,2,0,0,0,3,461692700
1,0,0,0,2,0,0,0,3,561592600
2,0,0,0,6,0,0,0,9,661112900
3,0,0,0,8,0,0,0,12,761415600
4,0,0,0,10,0,0,0,14,861117400
6,0,0,0,13,0,0,0,18,960868300
6,0,0,0,16,0,0,0,22,1061028000
7,0,0,0,21,0,0,0,29,1162220900
7,0,0,0,24,0,0,0,35,1263260400
7,0,0,0,26,0,0,0,38,1360806800
9,0,0,0,32,0,0,0,42,1484285000
12,0,0,0,38,0,0,0,46,1566585400
12,0,0,0,41,0,0,0,50,1668932400
14,0,0,0,47,0,0,0,54,1762462400
16,0,0,0,50,0,0,0,57,1865114100
19,0,0,0,57,0,0,0,64,2014028300
20,0,0,0,60,0,0,0,68,2064913300
20,0,0,0,61,0,0,0,74,2215739500
20,0,0,0,61,0,0,0,74,2283068900
21,0,0,0,69,0,0,0,88,2418627700
21,0,0,0,69,0,0,0,88,2501272600
26,0,0,0,81,0,0,0,97,2563287400
27,0,0,0,87,0,0,0,98,2707806300
28,0,0,0,89,0,0,0,110,2812948000
29,0,0,0,95,0,0,0,115,2877275100
30,0,0,0,104,0,0,0,119,3026150100
30,0,0,0,104,0,0,0,119,3137036400
30,0,0,0,104,0,0,0,119,3194569000
30,0,0,0,104,0,0,0,119,3300250100
31,0,0,0,104,0,0,0,119,3369319900
36,0,0,0,128,0,0,0,149,3475423000
37,0,0,0,133,0,0,0,155,3563507800
37,0,0,0,139,0,0,0,163,3677371500
40,0,0,0,149,0,0,0,168,3760647900
41,0,0,0,156,0,0,0,172,3871728200
42,0,0,0,158,0,0,0,178,3970822900
46,0,0,0,166,0,0,0,188,4134823300
49,0,0,0,176,0,0,0,208,4219229400
49,0,0,0,176,0,0,0,208,4278671500
49,0,0,0,179,0,0,0,217,4364262900
51,0,0,0,195,0,0,0,229,4471504400
51,0,0,0,197,0,0,0,231,4595529500
51,0,0,0,197,0,0,0,232,4701357500
