Witness Weight,Time (ns)
0,9221755900
2,10003549400
5,10003759900
9,10003946600
14,10004779900
20,10005000100
27,10005236800
35,10249584400
44,10457613900
54,13603484900
65,15474466800
77,15474974300
90,29572396100
102,30065879400
116,30066350000
131,30066575300
147,30066782700
164,30067032200
182,30067308800
201,30067519500
221,30067740500
242,30067955900
264,30068013700
287,30068186300
311,30068516600
336,30068704500
362,37156786200
389,37668601100
402,39187389900
430,43381558700
459,43381750600
473,43381964700
503,43382169600
534,43382440000
566,43988725800
599,43989056900
633,44004950800
668,44005139900
704,44005448800
741,44023263200
779,45739028800
818,45741452000
858,45741948700
899,58183572900
941,58609258500
984,58609597000
1028,58631006700
1073,58632213700
1119,58633145600
1166,62071530000
1214,62071876400
1263,63520791300
