Peer ID,Neighbor ID,Network Delay (ns),Packet Loss (%),Weight
0,56,100000000,0,12341
0,91,100000000,0,12341
0,38,100000000,0,12341
0,74,100000000,0,12341
0,35,100000000,0,12341
1,87,100000000,0,7061
1,43,100000000,0,7061
1,45,100000000,0,7061
1,89,100000000,0,7061
1,88,100000000,0,7061
1,96,100000000,0,7061
1,8,100000000,0,7061
1,55,100000000,0,7061
2,60,100000000,0,5105
2,49,100000000,0,5105
2,81,100000000,0,5105
2,5,100000000,0,5105
2,50,100000000,0,5105
2,47,100000000,0,5105
2,72,100000000,0,5105
2,89,100000000,0,5105
3,49,100000000,0,4055
3,48,100000000,0,4055
3,19,100000000,0,4055
3,45,100000000,0,4055
3,65,100000000,0,4055
3,97,100000000,0,4055
3,46,100000000,0,4055
3,27,100000000,0,4055
3,11,100000000,0,4055
4,66,100000000,0,3392
4,32,100000000,0,3392
4,20,100000000,0,3392
4,86,100000000,0,3392
4,16,100000000,0,3392
4,68,100000000,0,3392
4,64,100000000,0,3392
5,2,100000000,0,2932
5,90,100000000,0,2932
5,33,100000000,0,2932
5,55,100000000,0,2932
5,75,100000000,0,2932
5,74,100000000,0,2932
6,13,100000000,0,2591
6,28,100000000,0,2591
6,41,100000000,0,2591
6,91,100000000,0,2591
6,93,100000000,0,2591
6,43,100000000,0,2591
6,39,100000000,0,2591
7,82,100000000,0,2329
7,77,100000000,0,2329
7,12,100000000,0,2329
7,15,100000000,0,2329
7,89,100000000,0,2329
7,73,100000000,0,2329
7,86,100000000,0,2329
7,64,100000000,0,2329
8,1,100000000,0,2119
8,71,100000000,0,2119
8,73,100000000,0,2119
8,15,100000000,0,2119
8,83,100000000,0,2119
8,88,100000000,0,2119
8,42,100000000,0,2119
9,50,100000000,0,1948
9,74,100000000,0,1948
9,93,100000000,0,1948
9,54,100000000,0,1948
9,35,100000000,0,1948
9,25,100000000,0,1948
9,80,100000000,0,1948
9,48,100000000,0,1948
9,72,100000000,0,1948
10,16,100000000,0,1805
10,87,100000000,0,1805
10,43,100000000,0,1805
10,47,100000000,0,1805
10,27,100000000,0,1805
