Witness Weight,Time (ns)
0,4487715300
2,4487823700
5,4487910500
9,4487944200
14,5648069300
20,5651825700
27,5652880600
35,5652988600
44,5653287600
54,5653445900
65,5653578100
77,5653707000
90,5653837100
104,5653987300
119,5654133200
135,8306392600
152,14750762900
170,14750948700
189,14751092600
209,14751249800
230,14751404900
252,16813957000
275,16814030300
299,16814188500
324,16814291300
350,16814416000
377,19177143800
405,19195190400
428,19195317200
452,19195490200
477,19195601800
503,25098717200
532,25582488700
562,25582653600
593,25613180800
625,25613286800
658,26193172700
692,26784537500
727,26785368000
763,26786623500
800,26789229300
838,35656665300
877,35656857000
917,35661104200
958,37755892800
1000,37756124200
1043,37756360200
1087,37760781600
1132,37762478000
1178,39591302100
1205,39591695100
1233,47332468200
1280,49896385800
1309,53297484000
1357,53300566000
1406,53300844200
1456,53301055000
1507,53301518300
1559,53301844000
1612,53302040100
1666,53302333000
