UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,391357000
1,0,0,0,2,0,0,0,7,677834300
1,0,0,0,3,0,0,0,9,736592400
2,0,0,0,4,0,0,0,10,846923600
3,0,0,0,8,0,0,0,15,941859300
7,0,0,0,14,0,0,0,21,1168338300
7,0,0,0,14,0,0,0,21,1195367000
7,0,0,0,14,0,0,0,21,1246651800
7,0,0,0,15,0,0,0,26,1389044600
10,0,0,0,26,0,0,0,45,1462832500
12,0,0,0,31,0,0,0,47,1534480500
15,0,0,0,41,0,0,0,65,1795429200
19,0,0,0,50,0,0,0,72,2078027700
19,0,0,0,50,0,0,0,72,2268502300
19,0,0,0,50,0,0,0,72,2491249600
33,0,0,0,100,0,0,0,158,3607294900
33,0,0,0,101,0,0,0,194,4345689300
33,0,0,0,101,0,0,0,194,4354781900
46,0,0,0,151,0,0,0,216,4451492400
46,0,0,0,152,0,0,0,216,4869342600
46,0,0,0,152,0,0,0,216,5200014700
60,0,0,0,217,0,0,0,292,5601646900
60,0,0,0,218,0,0,0,297,6635268400
60,0,0,0,218,0,0,0,297,6667847800
60,0,0,0,218,0,0,0,297,7191216600
60,0,0,0,219,0,0,0,297,8761713200
119,0,0,0,422,0,0,0,753,12107867100
119,0,0,0,424,0,0,0,781,13320313100
119,0,0,0,424,0,0,0,791,14140325800
119,0,0,0,425,0,0,0,791,14284509300
119,0,0,0,425,0,0,0,884,15214107500
119,0,0,0,425,0,0,0,884,15328156800
119,0,0,0,425,0,0,0,884,15375664600
119,0,0,0,425,0,0,0,884,15456603800
120,0,0,0,426,0,0,0,884,15821515400
120,0,0,0,427,0,0,0,1018,16179469500
128,0,0,0,447,0,0,0,1160,17435950300
144,0,0,0,486,0,0,0,1204,18475569000
144,0,0,0,487,0,0,0,1246,18648878500
144,0,0,0,487,0,0,0,1246,18740818300
144,0,0,0,489,0,0,0,1262,19155842200
144,0,0,0,489,0,0,0,1262,19398827900
144,0,0,0,489,0,0,0,1262,19637725400
159,0,0,0,631,0,0,0,1488,21985528600
159,0,0,0,631,0,0,0,1488,21996977400
159,0,0,0,631,0,0,0,1488,22126102600
160,0,0,0,631,0,0,0,1488,22306335900
163,0,0,0,789,0,0,0,1737,25924348800
180,0,0,0,789,0,0,0,1737,26312637300
180,0,0,0,793,0,0,0,1809,27974638500
180,0,0,0,795,0,0,0,1876,28262445000
180,0,0,0,795,0,0,0,1876,28415221800
180,0,0,0,795,0,0,0,1876,28502828800
180,0,0,0,797,0,0,0,1888,29664849700
180,0,0,0,797,0,0,0,1951,30002271800
187,0,0,0,861,0,0,0,2077,31342771500
190,0,0,0,904,0,0,0,2137,32101676900
190,0,0,0,905,0,0,0,2137,32219075000
190,0,0,0,905,0,0,0,2156,33456093000
190,0,0,0,906,0,0,0,2207,33574993900
190,0,0,0,906,0,0,0,2207,33885199700
190,0,0,0,906,0,0,0,2207,33999820300
190,0,0,0,907,0,0,0,2207,34175839800
190,0,0,0,907,0,0,0,2243,34447056000
191,0,0,0,940,0,0,0,2345,35899190800
191,0,0,0,966,0,0,0,2461,37648630600
193,0,0,0,1027,0,0,0,2469,37837287100
194,0,0,0,1054,0,0,0,2474,37982998300
194,0,0,0,1055,0,0,0,2487,38261033200
194,0,0,0,1055,0,0,0,2487,38307647300
194,0,0,0,1055,0,0,0,2487,38437516900
194,0,0,0,1081,0,0,0,2566,39169182200
194,0,0,0,1081,0,0,0,2566,39559826300
194,0,0,0,1082,0,0,0,2566,39817415900
194,0,0,0,1123,0,0,0,2675,41017838900
194,0,0,0,1125,0,0,0,2731,42511057100
194,0,0,0,1125,0,0,0,2731,42738116500
194,0,0,0,1126,0,0,0,2739,43016058100
194,0,0,0,1126,0,0,0,2739,44461096200
194,0,0,0,1126,0,0,0,2739,44891181200
194,0,0,0,1127,0,0,0,2855,44920951900
194,0,0,0,1127,0,0,0,2855,44959811500
194,0,0,0,1127,0,0,0,2855,45212007600
194,0,0,0,1127,0,0,0,2855,45279506400
194,0,0,0,1127,0,0,0,2855,45354845600
196,0,0,0,1197,0,0,0,2921,46358901800
197,0,0,0,1224,0,0,0,2968,47718476600
197,0,0,0,1252,0,0,0,3045,49188947100
197,0,0,0,1253,0,0,0,3045,49573520900
197,0,0,0,1253,0,0,0,3045,49689700600
197,0,0,0,1253,0,0,0,3045,49720403200
197,0,0,0,1253,0,0,0,3045,49768150300
197,0,0,0,1253,0,0,0,3093,49966497300
197,0,0,0,1253,0,0,0,3093,50073481600
197,0,0,0,1254,0,0,0,3152,50305728500
197,0,0,0,1254,0,0,0,3152,50406620500
197,0,0,0,1254,0,0,0,3152,51983259000
197,0,0,0,1267,0,0,0,3306,53734865400
197,0,0,0,1269,0,0,0,3339,54768321100
198,0,0,0,1297,0,0,0,3424,55471645400
198,0,0,0,1297,0,0,0,3424,55593465500
198,0,0,0,1297,0,0,0,3424,56129450000
198,0,0,0,1297,0,0,0,3440,56306632100
198,0,0,0,1300,0,0,0,3525,57586319200
198,0,0,0,1317,0,0,0,3663,60000850800
198,0,0,0,1317,0,0,0,3663,61142658800
