Witness Weight,Time (ns)
0,200500
2,609100
5,203665800
9,203881300
14,204024000
20,204200300
27,206268000
35,362834500
44,494776300
54,495048400
65,561919500
77,562092000
90,608343200
104,608663300
119,1485499500
135,1485630400
152,1487953600
168,1488323700
186,1488811500
203,1488931100
222,1489037300
242,1569530600
263,1569708700
285,1572036600
308,1574964100
332,1630192700
357,1685089700
383,1685310400
410,1943103300
438,1955738500
467,2176573500
497,2176879100
528,2269566300
560,2271515900
568,3256374400
601,3256753100
635,3257061900
670,3257150900
706,3259555800
743,3259740000
781,3380363300
820,3380715700
860,3392131600
901,3392526600
943,3392680500
986,3405983000
1030,3423579700
1075,3423739200
1121,3423881200
1168,3424784000
1216,3425275800
1265,3910595000
1315,3911744600
1366,3992238500
1418,3993426800
1471,4244788200
1525,4255968000
1580,4256397400
1636,4372851700
1693,4556645100
1751,4558520500
1810,4558782200
1870,4768861400
1931,4770018200
1993,4770342000
2056,4823703800
2120,4824175100
2185,4824930300
2194,5424123900
2260,5424475800
2327,5424729300
2395,5428082400
2464,5441698400
2534,5442514300
2605,5468340800
2677,5690090300
2750,5869439600
2824,5872471600
2899,6335912500
2975,6336216600
3052,6338312900
3130,6338503600
3209,6352825300
3289,6353180600
3370,6353469200
3452,6417837100
3535,6419675600
3619,6597834600
3704,6711345100
3714,6713672300
3800,7480039600
3887,7480756500
3975,7481761800
4064,7489960000
4154,7754284200
4245,7844823200
4337,7845806700
4430,7847665000
4524,7851151500
4542,7862628200
4637,8090073700
4733,8090429400
4830,8091087200
4928,8091646800
5027,8091968600
5127,8487933900
5228,8491157900
5330,8649131500
5433,8665004800
5537,9389581400
5642,9417315000
5748,9417600000
5855,9483199400
5963,9938185700
6072,9941831100
6182,9944253900
6293,9960857300
6405,9961678600
6518,10056092900
6632,10060817800
6747,10143352200
6863,10355604400
6980,10656482400
7098,10760151100
7217,10760532900
7337,10953145900
7458,10953631700
7580,11231753500
7703,11390785500
7827,11397290900
7952,11411732200
8078,11622753100
8205,12257397500
8333,12258009600
8462,12258217900
8592,12259775200
8723,12260140100
8855,12260433000
8988,12309212900
9122,12310518500
9257,12311881900
9393,12321691700
9530,12322127000
9668,12322655000
9807,12322898100
9947,12323429600
10088,12328196800
10230,12392508400
10373,12494250600
10517,13016442400
10662,13045401400
10808,13048630600
10955,13440809900
11103,13456442200
11252,13459100400
11402,13492255800
11553,13498884500
11705,13522025400
11716,13559842800
11869,13560187400
12023,13599323000
12178,13600019500
12334,13642763300
12491,14516076600
12649,14516621700
12808,14670605800
12968,14671520300
13129,14685720000
13291,14686121900
13454,14686437200
13618,14714186300
13783,14715869600
13949,14729273200
14116,14729908600
14284,14773691400
14453,14792351900
14623,14792704400
14794,15184376400
14806,15321892500
14978,15322189200
15151,15656491600
15325,16179467500
15500,16222347100
15676,16224055000
15853,16235985200
16031,16239994600
16210,16242220900
16390,16363686900
16571,16595463000
16753,16595867000
16936,16599018900
17120,16601520700
17305,16603972300
17491,16611528800
17678,16702580500
17866,17365977200
18055,17384984100
18245,17385595100
18436,17410454300
18628,17411011300
18821,17412120700
19015,17412902300
19210,17413452500
19406,17432629000
19603,17981851700
19801,17982335100
20000,17984461600
20200,18288971200
20401,18300947400
20603,18301375700
20622,18891252800
20825,18893270200
21029,18897103700
21234,18901391600
21440,18902247400
21647,19363743500
21855,19365738800
21875,20427554000
22084,20429649800
22294,20431000600
22505,20433000900
22717,20440738500
22930,20569230100
23144,20581138600
23359,20621784200
23575,20626053100
23792,20813911800
24010,20814438600
24229,20815951400
24449,20816601700
24670,20817162900
24892,20817897000
25115,20820450800
25339,21801015100
25564,21803071300
25790,21895258800
26017,22214578400
26245,22223316200
26474,22225628500
26704,22226994600
26935,22228624300
27167,22230223000
27400,22339800200
27634,22342743300
27869,22343401400
28105,22343790900
28342,22602170500
28580,22603069800
28819,22876395600
28832,22879810400
29072,23153210300
29313,23154783000
29555,23158765800
29798,23159329300
30042,23173971800
30287,23175153700
30533,23185646100
