Witness Weight,Time (ns)
0,2661580800
2,10423653100
5,10423824300
9,10864040100
14,11339979900
20,12209507900
27,12209592800
35,14994617500
44,14994747500
54,15813409000
65,16021368100
77,16021645900
90,16021979200
104,16022179900
119,19295525800
135,23531473100
152,23531658300
170,28394110400
189,28399997100
209,28400920100
230,28412680900
252,28413111800
275,29287726800
299,33074612800
324,33936898400
350,33939140000
377,33939313200
405,45333904400
434,45334073500
464,45334229200
495,45334499900
