Number of Requested Messages,ns since start
0,106429200
0,156190800
0,255140400
0,355441500
0,456599600
0,559671200
0,705462200
0,773642300
0,855586400
0,955290900
0,1054933100
0,1154676200
0,1255543500
0,1354287100
0,1455210800
0,1555505200
0,1734701700
0,1812173100
0,1892139900
0,1955281100
0,2059205100
0,2160994800
0,2257259000
0,2355679300
0,2455289900
0,2570525500
0,2662756100
0,2757499100
0,2858004300
0,2984951100
0,3057351600
0,3189610400
0,3282505700
0,3355244500
0,3464797000
0,3591785100
0,3701928300
0,3755450000
0,3856399100
0,3955165800
0,4084268100
0,4155600000
0,4255766000
0,4503470500
0,4513256500
0,4684853800
0,4802415700
0,4831905000
0,4871875700
0,4964713500
0,5063136200
0,5166385600
0,5319029900
0,5359168200
0,5455634700
0,5588660900
0,5696679000
0,5756260200
0,5855133600
0,5956741300
0,6061495300
0,6160049700
0,6272044400
0,6368099300
0,6470216200
0,6563450100
0,6659672600
0,6756687400
0,6863591600
0,7048169500
0,7058760000
0,7176121400
0,7286304900
0,7382226500
0,7459308500
0,7555814900
0,7782714000
0,7819671500
0,7860626700
0,7977847400
0,8098901600
0,8217944800
0,8300642900
0,8379210600
0,8455915900
0,8555276700
0,8672033600
0,8755651200
0,8857980600
0,8962928900
0,9113904400
0,9159345800
0,9285764100
0,9377053800
0,9491816400
0,9565140500
0,9696846800
0,9843619500
0,9972314600
0,9989093300
0,10063632200
0,10165879500
0,10331974100
0,10386896600
0,10472939000
0,10563486900
0,10678033200
0,10756006400
0,10868153500
0,10956699200
0,11069945000
0,11193370100
0,11259566300
0,11380668900
0,11485707100
0,11637078800
0,11700531800
0,11760450700
0,11855412400
0,11967967800
0,12077057100
0,12207446100
0,12318739700
0,12490500700
0,12495739100
0,12583440300
0,12735676300
0,12794531900
0,12958211700
0,12976801200
0,13126965200
0,13212831900
0,13268672500
0,13614608500
0,13724257400
0,13770678900
0,13992321500
0,14112353400
0,14153568700
0,14166168300
0,14411611300
0,14427512800
0,14483281500
0,14766198000
0,14848196600
0,14873562100
0,14984536500
0,15222112700
0,15234499700
0,15297307200
0,15394283700
0,15460760900
0,15592852300
0,15736473900
0,15773862700
0,15925894800
0,15966339400
0,16117669400
0,16245934900
0,16308930200
0,16403611800
0,16461989000
0,16564790000
0,16668548300
0,16864855600
0,17069187900
0,17103136100
0,17179345000
0,17415774900
0,17449432100
0,17726444200
0,17920263200
0,17927521500
0,18131408500
0,18147989600
0,18199114500
0,18419054100
0,18447226000
0,18496959400
0,18568360700
0,18713216600
0,18824655600
0,18874197200
0,18991066600
0,19060488800
0,19201719000
0,19319299700
0,19432453200
0,19487890600
0,19601880700
0,19665970900
0,19782571700
0,19913356200
0,19960898800
0,20271135400
0,20287015800
0,20360788200
0,20481496200
0,20737045500
0,21590702600
0,21642896700
0,21680837000
0,21780710100
0,21897454000
0,21978288200
0,22161787800
0,22165356000
0,22410529500
0,22787367600
0,22807560300
0,22879637200
0,23121779500
0,23359611000
0,23499985700
0,23787585800
0,23808947200
0,23978012400
0,24184212500
0,24216931000
0,24312365700
0,24489114300
0,24624091300
0,24739119400
0,24755850900
0,25273783300
0,25312670600
0,25357445700
0,25507828100
0,25606342800
0,25698122500
0,25803727000
0,25874854600
0,25970565600
0,26101305100
0,26170159100
0,26464375000
0,26497024800
0,26582814800
0,26767933900
0,27017230900
0,27158462500
0,27193640100
0,27411856600
0,27518867700
0,27885933200
0,27890876200
0,27987375400
0,28182534900
0,28187143900
0,28335645300
0,28413357000
0,28660722500
0,28704426600
0,28807003700
0,28849163700
0,28927373300
0,29046650200
0,29064732300
0,29444474000
0,29558403900
0,29594407100
0,29704407100
0,29816240500
0,30022920900
0,30064751900
0,30356077000
0,30363302200
0,30558752000
0,30573749500
0,30722762900
0,30768656000
0,30907814900
0,31072764900
0,31228650600
0,31278911600
0,31422454100
0,31512275600
0,31666913400
0,32042365700
0,32116015100
0,32162150300
0,32245729500
0,32279188000
0,32777768700
0,32785090900
0,33140536200
0,33346392500
0,33444161800
0,33808776700
0,33812044800
0,34639207700
0,35467908700
0,35484846600
0,35573846300
0,35702139300
0,36785176200
0,36821067500
0,36907275500
0,37687224600
0,37697852600
0,37815695300
0,37975960800
0,38087287400
0,38575929300
0,38619773200
0,38685942100
0,38935613000
0,40752169200
0,40762070600
0,40856829000
0,40881681300
0,41783582600
0,41795224700
0,41859826400
0,42114596900
0,42457379700
0,42460289600
0,43389957000
0,43428217700
0,43478007600
0,43807253100
0,43836786900
0,44930757200
0,44973824200
0,45014829000
0,45903492700
0,46105360200
0,46208854000
0,46276500800
0,46356310300
0,46482747000
0,46572941300
0,47011912600
0,47200295200
0,48505533200
0,48702903700
0,48817321800
0,48979532900
0,49018957100
0,49834053900
0,49931070300
0,50105692100
0,51532781400
0,53000070000
0,53501263300
0,53547826400
0,53605018700
0,53832861400
0,53885421100
0,53932811700
0,53972904500
0,54194374600
0,54211366400
0,54314302900
0,54371621300
0,54569668000
0,54738991600
0,54758650000
0,55671824100
0,56304844900
0,56780504200
0,56807755500
0,57081928200
0,57122354000
0,57245998800
0,57401353500
0,57695645000
0,57704006400
0,57841108400
0,57966976100
0,57982036100
0,58167181500
0,58332541600
0,58334976800
0,58358844400
0,58652754500
0,58655897700
0,58660881700
0,58810414700
0,59356603900
0,59492220200
0,60435602900
0,60730653900
